,External,Year,session 1,session 2,test 1,forum_Q_phase1,forum_A_phase1,office_hours_phase1,dropped_after_test_1
106,0,2,18,21,5,1.32,5.94,1.6500000000000001,0
107,1,1,14,57,1,2.64,2.31,1.32,0
108,0,3,13,7,5,9.24,1.6500000000000001,2.31,0
109,1,3,82,90,4,1.6500000000000001,1.32,0.33,0
110,1,1,60,16,4,0.33,1.6500000000000001,0.66,0
111,1,1,31,56,4,1.0,0.5,0.0,0
112,1,3,27,43,3,1.0,0.0,1.0,1
113,1,1,23,35,2,1.5,0.0,0.0,0
114,1,3,92,96,1,0.99,1.32,0.0,0
115,0,3,3,11,5,0.66,0.66,0.33,0
116,1,3,95,71,1,4.95,1.32,1.32,0
117,0,1,2,13,4,2.97,5.61,1.98,0
118,1,3,10,89,2,2.31,0.0,0.66,0
119,0,2,18,6,4,8.25,1.98,2.31,0
120,0,1,15,16,4,8.58,5.94,1.32,0
121,1,2,41,67,1,3.3000000000000003,1.6500000000000001,0.33,0
122,0,2,2,6,1,1.32,0.99,0.66,0
123,0,1,3,20,4,4.95,5.28,2.64,0
124,0,3,9,16,5,0.33,0.66,0.33,0
125,1,2,62,43,5,5.94,2.97,1.6500000000000001,0
126,1,2,2,6,4,7.590000000000001,3.6300000000000003,1.32,0
127,0,3,6,14,1,1.32,0.33,0.66,0
128,1,3,17,3,4,2.0,0.0,1.0,1
129,0,3,90,14,4,0.0,0.0,0.0,0
130,0,3,2,10,1,0.33,0.99,0.33,0
131,0,3,66,1,1,0.66,2.64,0.99,0
132,1,3,7,12,5,0.99,0.33,0.66,0
133,1,1,8,29,5,3.96,1.6500000000000001,1.6500000000000001,0
134,1,1,62,84,3,2.64,2.64,1.6500000000000001,0
135,0,1,66,75,4,2.0,2.0,1.0,0
136,1,2,72,28,4,4.0,1.6,0.0,0
137,0,2,0,24,5,0.0,2.0,0.0,1
138,1,3,21,77,3,1.6500000000000001,2.97,1.32,0
139,1,1,96,33,4,2.97,3.6300000000000003,0.33,0
140,1,3,25,59,1,2.97,2.64,1.32,0
141,1,2,57,46,4,0.0,0.5,0.5,0
142,0,1,50,19,5,5.28,4.95,0.66,0
143,1,3,61,84,4,0.0,0.0,0.0,0
144,1,3,63,50,4,3.2,1.2000000000000002,0.0,0
145,0,3,5,9,5,9.24,3.96,1.98,0
146,1,3,53,59,4,2.64,0.99,0.0,0
147,0,1,3,56,2,2.64,1.98,1.6500000000000001,0
148,0,1,66,94,5,4.95,2.97,0.99,0
149,0,1,49,86,5,2.64,1.32,1.98,0
150,0,2,1,15,1,1.32,0.66,0.33,0
151,1,1,15,90,2,2.8000000000000003,0.8,0.0,0
152,1,3,1,13,5,2.8000000000000003,1.6,0.0,0
153,0,3,1,7,1,1.32,0.66,0.66,0
154,1,3,27,72,3,2.31,2.97,1.6500000000000001,0
155,0,2,6,3,1,1.32,0.99,0.66,0
156,0,2,75,61,1,5.61,3.3000000000000003,1.6500000000000001,0
157,1,3,3,2,1,0.0,0.33,0.33,0
158,1,3,11,60,1,3.3000000000000003,1.98,0.66,0
159,0,2,99,44,1,5.61,3.3000000000000003,0.99,0
160,1,1,11,10,5,2.0,0.0,0.0,1
161,1,3,42,71,2,4.29,2.64,1.6500000000000001,0
162,1,3,3,54,1,5.61,4.29,0.66,0
163,0,3,5,10,1,0.99,0.66,0.66,0
164,1,1,15,31,5,2.64,2.31,0.33,0
165,1,1,34,33,2,0.33,6.930000000000001,0.66,0
166,1,1,51,42,3,0.5,0.0,0.0,0
167,1,1,48,43,3,0.5,0.5,0.5,0
168,0,2,79,49,1,3.96,1.6500000000000001,1.32,0
169,1,3,18,81,1,6.2700000000000005,5.61,1.98,0
170,0,3,56,23,2,4.0,0.4,0.4,0
171,0,3,4,14,1,0.0,0.66,0.66,0
172,0,3,73,68,4,1.98,1.98,1.32,0
173,1,2,45,73,5,2.8000000000000003,1.2000000000000002,0.4,0
174,0,3,79,95,4,2.8000000000000003,0.8,0.0,0
175,0,3,3,12,1,0.99,0.66,0.66,0
176,1,2,50,68,1,2.97,1.6500000000000001,1.6500000000000001,0
177,1,2,92,51,2,2.31,3.3000000000000003,1.6500000000000001,0
178,1,3,96,0,2,2.64,1.98,0.66,0
179,0,3,80,88,5,4.29,1.98,1.32,0
180,1,3,58,56,3,0.5,0.5,0.5,0
181,0,1,97,34,1,6.2700000000000005,3.6300000000000003,1.6500000000000001,0
182,0,3,2,16,2,0.33,0.66,0.33,0
183,1,2,6,13,2,1.32,0.66,0.66,0
184,0,3,5,10,5,0.33,0.99,0.33,0
185,1,1,9,15,5,1.98,4.29,1.6500000000000001,0
186,0,3,61,57,1,2.5,1.5,0.0,0
187,1,3,96,80,5,5.61,2.97,0.99,0
188,1,3,1,45,1,4.62,0.99,0.99,0
189,0,1,11,3,4,1.32,3.96,2.64,0
190,0,2,64,32,1,2.97,2.64,1.32,0
191,0,2,42,48,4,3.6300000000000003,6.2700000000000005,1.98,0
192,1,2,41,59,4,2.0,0.0,0.5,0
193,1,3,1,85,3,0.0,1.2000000000000002,0.0,0
194,1,3,19,66,1,3.96,5.61,1.6500000000000001,0
195,1,1,41,74,3,3.96,0.99,0.66,0
196,0,1,3,15,5,4.95,2.64,1.6500000000000001,0
197,1,3,61,99,2,3.96,1.6500000000000001,0.33,0
198,0,2,6,8,1,0.66,0.66,0.33,0
199,0,2,4,11,4,3.6300000000000003,0.99,1.98,0
200,1,3,70,66,3,4.62,2.64,0.99,0
201,1,2,12,6,4,2.0,0.0,1.0,1
202,1,3,58,39,5,2.64,2.97,2.97,0
203,1,1,27,29,3,3.0,0.0,0.0,1
204,1,3,69,98,4,1.6500000000000001,3.3000000000000003,0.99,0
205,1,1,28,40,2,1.5,0.0,0.0,0
206,0,2,21,71,3,1.6500000000000001,4.62,1.32,0
207,0,3,93,55,1,3.6300000000000003,1.32,1.32,0
208,1,2,80,18,3,4.29,0.0,0.99,0
209,1,3,6,14,5,1.32,0.99,0.66,0
210,1,3,20,54,1,4.62,2.64,1.32,0
211,0,2,52,52,4,2.5,2.0,0.5,0
212,0,1,26,9,5,4.62,0.99,1.32,0
213,0,3,23,84,4,5.28,3.3000000000000003,1.6500000000000001,0
214,1,3,5,49,1,3.3000000000000003,1.6500000000000001,0.33,0
215,1,1,22,41,5,1.5,0.0,0.5,0
216,1,3,73,98,1,1.98,0.99,0.99,0
217,1,3,59,74,1,4.62,2.31,0.66,0
218,0,3,96,46,1,5.61,7.92,2.31,0
219,1,1,42,79,2,1.2000000000000002,0.4,0.4,0
220,0,3,8,8,1,0.33,0.33,0.66,0
221,1,1,34,45,5,2.0,0.0,0.0,0
222,1,3,99,87,2,1.98,1.6500000000000001,0.99,0
223,1,1,18,2,4,0.0,0.0,1.0,1
224,0,3,83,24,3,0.66,7.260000000000001,1.6500000000000001,0
225,1,3,97,38,1,6.2700000000000005,1.98,1.32,0
226,1,3,5,2,1,0.66,0.99,0.33,0
227,1,3,50,50,1,2.97,1.6500000000000001,0.99,0
228,1,3,37,53,1,0.99,1.6500000000000001,0.0,0
229,0,3,21,27,5,1.0,1.0,0.0,1
230,1,3,72,60,3,1.6500000000000001,2.64,0.99,0
231,1,1,2,3,4,6.6000000000000005,6.2700000000000005,2.64,0
232,1,3,54,72,1,1.6500000000000001,0.99,0.0,0
233,0,3,27,68,4,0.5,1.5,0.5,0
234,0,3,17,7,4,6.930000000000001,3.96,2.64,0
235,1,3,53,69,1,4.29,1.6500000000000001,1.6500000000000001,0
236,1,2,94,52,5,1.6500000000000001,1.32,0.66,0
237,1,3,56,28,2,0.5,0.5,0.5,0
238,0,3,5,4,2,1.32,0.99,0.33,0
239,1,2,19,44,1,0.66,1.6500000000000001,0.99,0
240,0,2,56,34,5,0.99,2.64,2.31,0
241,1,3,19,3,4,0.0,1.32,0.33,0
242,1,3,7,59,3,5.61,6.6000000000000005,1.98,0
243,0,1,5,11,5,6.2700000000000005,5.94,2.64,0
244,0,3,4,15,1,0.33,0.33,0.66,0
245,0,2,77,88,3,0.0,6.6000000000000005,0.33,0
246,1,3,23,90,3,4.62,3.3000000000000003,2.64,0
247,1,2,68,20,4,1.6,0.4,0.4,0
248,0,2,5,12,5,7.92,6.2700000000000005,1.98,0
249,1,2,22,39,5,1.0,0.0,0.5,0
250,1,3,63,74,1,0.99,0.66,0.66,0
251,0,3,41,76,5,0.4,0.4,0.8,0
252,0,3,14,18,4,7.92,2.97,2.31,0
253,0,3,9,16,2,1.32,0.99,0.33,0
254,1,1,86,25,1,3.96,2.31,0.0,0
255,1,3,44,77,5,4.95,2.97,0.66,0
256,1,3,9,10,1,1.32,0.33,0.33,0
257,0,2,88,31,2,1.2000000000000002,0.0,0.0,0
258,1,3,45,70,1,4.95,2.64,1.6500000000000001,0
259,1,1,20,41,4,0.0,0.0,1.0,1
260,1,3,59,58,1,2.31,1.32,0.33,0
261,0,2,0,24,2,3.0,2.0,0.0,1
262,0,3,4,21,5,1.0,1.0,1.0,1
263,1,3,41,73,3,1.98,7.590000000000001,1.32,0
264,1,3,68,69,5,2.31,2.97,1.32,0
265,0,3,59,75,3,0.5,0.0,0.5,0
266,1,2,58,31,2,4.95,1.32,0.99,0
267,1,3,86,39,4,1.6500000000000001,0.66,0.0,0
268,1,2,86,63,1,2.97,1.32,0.33,0
269,1,1,15,4,4,6.930000000000001,2.97,1.6500000000000001,0
270,0,1,4,11,4,8.91,3.96,2.64,0
271,0,3,62,36,1,5.94,2.31,0.99,0
272,1,3,19,61,5,5.61,2.97,0.66,0
273,1,2,62,69,1,1.6500000000000001,1.32,1.6500000000000001,0
274,0,3,11,24,4,2.64,2.97,2.64,0
275,1,2,83,79,1,1.32,3.6300000000000003,0.66,0
276,1,2,45,36,3,2.0,0.5,0.0,0
277,0,2,2,22,5,1.6500000000000001,3.6300000000000003,2.64,0
278,0,3,96,63,1,1.6,0.8,1.2000000000000002,0
279,0,1,6,5,5,3.3000000000000003,5.28,1.32,0
280,0,3,3,14,1,0.0,0.66,0.66,0
281,1,3,32,40,3,3.6,0.8,0.4,0
282,1,1,16,15,4,3.0,1.0,0.0,1
283,1,2,80,82,3,5.28,2.31,1.32,0
284,0,3,68,78,5,2.5,0.5,0.0,0
285,1,1,48,50,1,0.5,0.0,0.5,0
286,0,1,65,49,1,5.94,2.64,1.6500000000000001,0
287,0,3,13,27,4,8.58,4.62,2.31,0
288,0,3,9,10,1,1.32,0.99,0.33,0
289,1,3,73,92,2,2.64,1.6500000000000001,0.33,0
290,0,1,44,27,3,4.95,7.260000000000001,2.31,0
291,1,1,30,26,1,5.28,3.6300000000000003,2.64,0
292,1,1,97,68,4,4.95,3.6300000000000003,0.99,0
293,0,3,3,15,5,0.0,0.99,0.66,0
294,1,3,2,16,1,1.32,0.66,0.66,0
295,1,2,93,90,1,4.95,3.3000000000000003,0.99,0
296,0,2,2,9,5,0.33,0.99,0.33,0
297,0,3,94,68,3,2.97,3.6300000000000003,0.99,0
298,1,3,97,35,2,1.6,1.6,0.0,0
299,1,3,8,4,1,0.0,0.99,0.33,0
300,0,3,35,56,4,2.0,1.0,0.0,0
301,0,2,7,17,5,2.97,2.64,2.64,0
302,1,1,20,40,3,2.0,0.5,0.5,0
303,0,3,3,16,5,1.32,0.66,0.33,0
304,1,2,13,53,1,4.29,1.6500000000000001,0.99,0
305,0,2,4,13,2,5.0,0.0,0.0,1
306,1,3,18,6,4,4.0,1.0,0.0,1
307,1,1,28,8,4,3.0,1.0,1.0,1
308,1,3,7,9,5,0.33,0.99,0.66,0
309,1,2,93,46,3,2.64,1.6500000000000001,1.32,0
310,0,3,12,8,5,6.0,2.0,1.0,1
311,1,2,8,0,5,2.0,0.0,1.0,1
312,1,2,82,68,1,4.62,2.31,1.32,0
313,0,3,4,3,5,8.91,1.6500000000000001,1.32,0
314,1,1,54,26,3,0.5,1.0,0.5,0
315,0,2,4,11,1,0.33,0.99,0.66,0
316,1,3,75,68,1,3.96,2.31,0.66,0
317,1,3,60,57,1,3.96,2.31,0.99,0
318,0,3,59,65,3,0.0,0.0,1.0,0
319,0,3,3,11,2,0.0,0.66,0.66,0
320,0,3,2,9,2,0.33,0.99,0.66,0
321,0,2,9,25,4,0.99,3.3000000000000003,1.98,0
322,0,3,6,12,1,0.0,0.99,0.33,0
323,0,1,10,21,5,3.96,6.2700000000000005,1.98,0
324,1,1,57,2,1,0.33,1.98,0.66,0
325,1,1,51,22,3,0.0,1.0,0.0,0
326,0,2,8,23,4,1.98,3.6300000000000003,1.32,0
327,1,3,2,20,4,3.6300000000000003,1.32,0.33,0
328,1,1,20,78,5,1.6,0.8,0.0,0
329,0,3,8,1,1,0.99,0.99,0.33,0
330,1,3,67,63,5,2.31,2.31,1.6500000000000001,0
331,1,1,16,81,4,0.99,3.6300000000000003,0.99,0
332,1,3,55,75,1,3.3000000000000003,2.64,1.6500000000000001,0
333,0,2,18,8,5,7.92,5.61,1.32,0
334,0,2,6,19,5,3.96,3.3000000000000003,1.32,0
335,0,3,5,12,1,0.0,0.33,0.66,0
336,0,3,9,2,5,1.32,0.33,0.33,0
337,1,3,77,93,3,0.99,1.6500000000000001,0.99,0
338,0,3,5,15,1,0.99,0.99,0.66,0
339,1,3,6,3,1,1.32,0.66,0.33,0
340,0,3,80,35,5,4.29,0.99,0.33,0
341,0,3,3,14,1,0.66,0.66,0.66,0
342,0,3,44,56,4,2.4000000000000004,0.4,0.8,0
343,0,3,75,57,2,1.6500000000000001,1.32,1.32,0
344,1,3,35,42,1,0.0,0.5,0.5,0
345,1,3,77,94,5,6.2700000000000005,1.32,1.6500000000000001,0
346,1,1,6,15,4,1.0,0.0,0.0,1
347,0,3,8,6,1,0.0,0.99,0.33,0
348,1,2,4,74,5,1.2000000000000002,1.2000000000000002,0.0,0
349,1,1,21,34,5,1.0,1.0,0.0,1
350,0,1,47,11,4,1.98,7.590000000000001,0.99,0
351,0,2,17,4,4,4.29,4.95,1.6500000000000001,0
352,0,2,29,68,2,3.0,1.0,1.0,0
353,1,2,98,54,2,3.96,0.99,0.33,0
354,1,2,22,36,4,1.5,0.5,0.5,0
355,0,3,68,66,1,1.5,1.5,0.5,0
356,0,3,7,1,2,1.32,0.33,0.66,0
357,0,3,7,10,1,0.0,0.99,0.33,0
358,1,3,27,63,5,2.97,1.98,1.6500000000000001,0
359,0,3,77,70,1,2.64,5.94,1.98,0
360,0,2,43,67,1,1.0,1.5,0.5,0
361,1,1,15,1,4,2.0,0.0,0.0,1
362,1,1,8,11,4,3.96,4.95,1.98,0
363,0,3,6,34,2,2.0,2.0,1.0,1
364,1,1,54,51,2,0.0,1.0,0.0,0
365,1,3,86,78,2,2.31,1.98,0.66,0
366,0,2,99,89,1,3.3000000000000003,2.64,1.32,0
367,1,2,50,32,2,0.5,0.5,0.5,0
368,0,3,51,29,4,0.33,1.98,2.31,0
369,1,3,76,77,1,1.6500000000000001,2.97,0.66,0
370,1,2,29,57,4,1.5,0.5,0.0,0
371,1,1,28,29,4,4.62,1.6500000000000001,0.33,0
372,0,3,2,6,1,1.32,0.33,0.33,0
373,1,2,30,60,4,4.62,2.64,0.66,0
374,1,2,97,57,3,5.28,5.61,0.33,0
375,0,3,62,56,3,0.0,2.0,1.0,0
376,1,1,43,17,4,0.99,1.98,0.0,0
377,1,2,75,76,1,1.32,3.6300000000000003,1.32,0
378,1,3,44,63,1,2.64,2.97,0.66,0
379,0,3,2,3,2,0.99,0.66,0.66,0
380,0,2,8,17,5,8.58,1.98,2.31,0
381,1,1,28,58,2,3.96,2.64,0.99,0
382,0,3,7,7,5,0.33,0.33,0.66,0
383,0,1,50,84,4,0.5,2.0,0.5,0
384,0,2,9,23,4,5.61,1.6500000000000001,2.64,0
385,1,2,48,12,1,4.95,6.2700000000000005,0.33,0
386,0,2,96,67,5,3.5,2.0,1.0,0
387,1,1,43,46,4,1.5,0.0,0.0,0
388,0,3,3,2,1,0.33,0.33,0.66,0
389,0,2,95,13,5,0.33,1.98,2.64,0
390,1,1,0,6,5,1.0,0.0,0.0,1
391,1,2,18,9,4,2.64,0.99,2.31,0
392,1,2,65,75,1,0.99,0.99,0.66,0
393,1,1,18,29,2,3.0,1.0,1.0,1
394,1,2,54,29,1,0.5,0.0,0.0,0
395,0,1,4,4,5,3.6300000000000003,0.99,1.6500000000000001,0
396,0,2,1,27,5,7.590000000000001,1.32,1.6500000000000001,0
397,1,1,3,34,5,2.31,0.99,0.33,0
398,0,2,3,3,2,1.32,0.66,0.33,0
399,0,2,59,23,1,0.0,3.96,2.31,0
400,0,3,11,7,2,6.0,0.0,1.0,1
401,1,3,44,65,1,5.61,1.6500000000000001,1.6500000000000001,0
402,1,1,23,70,1,4.62,5.94,0.66,0
403,1,3,48,52,1,4.29,2.97,1.32,0
404,1,2,38,39,4,3.3000000000000003,1.32,0.0,0
405,1,3,33,56,4,0.5,0.0,0.5,0
406,1,3,24,75,5,3.6300000000000003,2.31,1.32,0
407,1,1,99,67,1,4.0,1.6,0.0,0
408,1,1,24,51,5,3.6300000000000003,1.6500000000000001,1.6500000000000001,0
409,1,2,59,34,3,0.5,1.0,0.5,0
410,1,2,58,59,5,3.6300000000000003,1.6500000000000001,0.66,0
411,0,3,3,16,2,1.32,0.33,0.66,0
412,1,3,14,55,2,5.61,1.6500000000000001,1.32,0
413,1,3,57,31,1,2.31,1.98,0.33,0
414,1,2,52,41,3,0.0,0.0,0.0,0
415,1,1,46,66,1,1.98,1.6500000000000001,0.66,0
416,1,3,89,18,2,2.0,1.2000000000000002,0.4,0
417,1,1,41,35,4,2.0,0.5,0.0,0
418,0,3,24,38,5,4.0,1.0,0.0,1
419,0,3,4,27,4,5.94,4.62,1.98,0
420,1,2,71,60,5,3.3000000000000003,2.97,1.32,0
421,1,1,36,26,5,3.2,0.0,0.0,0
422,1,2,12,1,5,1.0,0.0,1.0,1
423,1,2,73,52,2,3.6300000000000003,7.92,0.33,0
424,1,2,79,77,4,5.94,0.99,0.99,0
425,0,1,15,3,5,9.24,2.64,1.98,0
426,0,3,84,17,2,3.2,1.6,1.2000000000000002,0
427,1,1,91,30,1,3.3000000000000003,1.6500000000000001,0.0,0
428,0,2,4,4,5,0.0,0.33,0.33,0
429,0,3,7,8,1,0.66,0.66,0.33,0
430,1,3,73,57,3,5.28,1.6500000000000001,1.32,0
431,1,2,6,76,2,3.6,0.0,0.0,0
432,0,2,8,16,1,0.99,0.66,0.33,0
433,0,2,19,14,4,2.64,3.6300000000000003,1.6500000000000001,0
434,1,3,56,57,2,3.6300000000000003,2.64,0.99,0
435,1,2,42,37,5,0.0,0.0,0.5,0
436,0,2,9,3,2,0.33,0.99,0.33,0
437,1,1,75,57,4,3.6,0.4,0.4,0
438,0,3,5,6,1,0.66,0.66,0.33,0
439,0,2,48,54,1,0.0,1.0,0.0,0
440,1,3,44,71,5,4.95,1.98,1.32,0
441,1,1,94,37,4,2.64,0.99,1.6500000000000001,0
442,1,3,7,7,3,3.0,0.0,0.0,1
443,1,1,11,15,5,3.0,1.0,1.0,1
444,1,3,70,37,1,2.31,0.66,0.66,0
445,0,1,67,74,4,3.96,2.31,0.99,0
446,0,1,5,26,5,5.28,6.2700000000000005,1.32,0
447,0,1,77,86,4,4.29,4.62,0.99,0
448,0,2,5,12,2,0.66,0.33,0.33,0
449,1,2,6,10,5,3.0,1.0,1.0,1
450,1,2,70,1,2,2.97,1.32,1.98,0
451,1,1,30,52,2,0.0,0.5,0.5,0
452,1,3,23,77,1,2.64,1.6500000000000001,1.6500000000000001,0
453,1,1,75,71,1,6.2700000000000005,1.6500000000000001,0.99,0
454,1,1,3,6,4,0.0,0.0,0.0,1
455,1,3,75,31,1,4.29,0.99,0.66,0
456,1,3,43,68,2,5.61,2.64,0.99,0
457,1,2,59,16,1,0.33,0.33,0.0,0
458,1,2,15,3,5,7.260000000000001,6.2700000000000005,1.98,0
459,0,2,4,7,1,0.66,0.99,0.33,0
460,1,1,16,18,2,0.0,1.0,1.0,1
461,1,1,84,54,1,4.62,2.64,0.33,0
462,1,1,24,28,2,2.8000000000000003,0.0,0.4,0
463,1,1,16,8,4,0.0,0.0,1.0,1
464,0,1,91,51,1,1.0,1.0,0.0,0
465,0,2,6,5,5,0.0,0.99,0.33,0
466,0,3,5,10,5,0.33,0.99,0.66,0
467,1,1,15,26,5,8.91,0.99,2.64,0
468,0,1,6,15,5,3.3000000000000003,4.62,1.6500000000000001,0
469,1,2,8,2,2,0.0,0.99,0.66,0
470,0,3,16,16,5,3.3000000000000003,3.3000000000000003,2.31,0
471,1,1,58,44,1,0.5,0.0,0.0,0
472,1,1,35,10,1,4.4,1.2000000000000002,0.0,0
473,0,3,11,20,5,3.0,0.0,1.0,1
474,0,1,67,35,3,1.98,7.92,0.33,0
475,1,3,46,76,5,4.95,2.31,1.6500000000000001,0
476,1,3,19,48,4,0.0,2.0,0.0,1
477,1,3,49,65,5,3.6300000000000003,1.98,0.99,0
478,1,3,14,22,1,3.6,0.0,0.0,0
479,0,2,17,24,5,1.6500000000000001,0.99,1.32,0
480,0,3,28,76,4,5.28,7.260000000000001,1.98,0
481,1,1,10,17,5,7.92,4.95,2.64,0
482,1,2,73,69,5,2.4000000000000004,0.4,0.0,0
483,1,1,26,97,4,0.99,7.590000000000001,1.6500000000000001,0
484,1,2,87,33,1,2.31,1.6500000000000001,0.99,0
485,0,3,2,40,1,2.8000000000000003,1.6,0.4,0
486,1,1,66,66,1,1.98,1.6500000000000001,1.6500000000000001,0
487,1,3,70,66,4,3.3000000000000003,1.6500000000000001,0.99,0
488,0,2,4,12,2,0.99,0.99,0.66,0
489,1,1,52,36,1,0.0,1.0,0.5,0
490,1,3,85,65,4,3.6300000000000003,1.98,0.99,0
491,0,2,67,67,1,1.0,1.5,0.5,0
