,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,final_dropout
36,0,3,86,76,2,82.0,41.0,3.0,65.0,5.0,83.0,5.0,5.0,2.0,16,3,2,0
40,0,3,6,7,4,59.0,34.0,5.0,49.0,1.0,75.0,1.0,1.0,3.0,29,17,7,0
41,0,1,65,56,3,11.0,7.0,5.0,10.0,3.0,66.0,3.0,2.0,5.0,16,24,7,0
42,0,3,12,3,5,50.0,42.0,4.0,70.0,4.0,68.0,3.0,1.0,3.0,7,14,5,0
43,0,3,90,44,1,89.0,4.0,1.0,47.0,1.0,52.0,1.0,2.0,4.0,10,9,5,0
45,1,3,1,87,5,76.0,46.0,2.0,2.0,4.0,23.0,3.0,2.0,4.0,11,4,1,1
47,0,2,13,13,5,26.0,47.0,5.0,97.0,3.0,84.0,2.0,2.0,3.0,11,17,8,0
48,0,2,49,66,4,11.0,97.0,1.0,74.0,3.0,10.0,1.0,1.0,3.0,14,15,2,0
51,0,2,5,9,5,11.0,26.0,4.0,34.0,4.0,21.0,1.0,1.0,3.0,2,1,2,0
52,1,1,54,52,4,75.0,56.0,2.0,41.0,1.0,90.0,5.0,3.0,1.0,14,7,3,0
54,0,1,43,69,5,8.0,68.0,4.0,88.0,2.0,53.0,2.0,5.0,4.0,19,20,1,0
56,1,3,95,66,5,67.0,51.0,2.0,31.0,1.0,44.0,5.0,2.0,1.0,8,3,2,0
58,1,1,17,17,4,41.0,33.0,5.0,51.0,2.0,28.0,3.0,2.0,2.0,24,5,4,0
59,1,2,41,54,5,62.0,55.0,1.0,45.0,4.0,93.0,3.0,5.0,2.0,7,7,2,0
61,0,1,46,82,2,14.0,56.0,5.0,16.0,3.0,54.0,4.0,5.0,5.0,6,20,6,0
62,0,2,2,7,1,11.0,8.0,2.0,40.0,2.0,21.0,3.0,5.0,2.0,0,1,1,0
63,1,3,44,58,5,88.0,41.0,2.0,57.0,2.0,97.0,4.0,1.0,1.0,15,6,5,0
64,0,3,3,15,1,8.0,40.0,3.0,29.0,4.0,24.0,5.0,1.0,1.0,2,1,2,0
66,0,3,45,79,2,67.0,55.0,4.0,85.0,1.0,4.0,5.0,5.0,1.0,4,9,6,0
68,1,3,4,83,5,81.0,98.0,4.0,1.0,4.0,28.0,3.0,1.0,5.0,11,4,3,1
69,0,3,5,10,5,3.0,21.0,1.0,38.0,1.0,28.0,1.0,2.0,1.0,2,1,2,0
71,1,1,34,79,1,88.0,64.0,3.0,41.0,5.0,55.0,3.0,1.0,1.0,14,5,5,0
72,1,2,19,57,5,43.0,33.0,3.0,69.0,2.0,60.0,1.0,2.0,1.0,6,19,3,0
74,1,3,4,3,2,13.0,22.0,2.0,45.0,1.0,27.0,3.0,5.0,1.0,0,2,1,0
75,1,2,27,48,4,80.0,94.0,2.0,61.0,1.0,1.0,2.0,1.0,3.0,5,1,6,0
76,0,3,4,6,1,5.0,55.0,2.0,41.0,1.0,25.0,2.0,4.0,2.0,4,3,2,0
78,0,3,6,14,5,8.0,32.0,3.0,34.0,2.0,26.0,1.0,3.0,1.0,1,3,2,0
79,1,2,88,50,1,58.0,24.0,4.0,7.0,5.0,63.0,4.0,3.0,1.0,16,11,5,0
80,0,3,5,14,1,5.0,55.0,2.0,35.0,1.0,24.0,2.0,1.0,2.0,0,1,1,0
81,1,3,6,8,2,6.0,16.0,3.0,25.0,2.0,24.0,1.0,2.0,4.0,0,1,2,0
82,0,3,17,52,5,43.0,16.0,1.0,55.0,1.0,17.0,3.0,5.0,4.0,10,8,1,0
84,1,3,43,7,1,99.0,52.0,5.0,17.0,4.0,10.0,1.0,3.0,5.0,4,1,3,1
85,0,2,16,4,4,22.0,44.0,4.0,45.0,3.0,72.0,5.0,1.0,2.0,25,4,4,0
86,1,3,48,3,2,66.0,71.0,5.0,43.0,4.0,55.0,1.0,5.0,4.0,9,5,3,0
88,0,3,88,54,3,84.0,74.0,1.0,72.0,5.0,88.0,4.0,1.0,1.0,16,10,3,0
91,1,1,33,53,2,69.0,27.0,2.0,15.0,2.0,1.0,4.0,5.0,5.0,6,4,0,1
92,0,2,6,22,4,53.0,42.0,4.0,56.0,1.0,89.0,5.0,2.0,3.0,20,17,6,0
93,1,2,90,60,2,83.0,94.0,5.0,55.0,1.0,43.0,5.0,2.0,5.0,16,9,2,0
94,0,2,3,2,5,12.0,34.0,5.0,40.0,2.0,24.0,1.0,5.0,1.0,3,2,1,0
95,1,2,75,69,2,52.0,14.0,1.0,27.0,4.0,94.0,1.0,2.0,1.0,11,9,2,0
96,0,2,3,11,1,5.0,22.0,4.0,33.0,4.0,27.0,1.0,3.0,2.0,1,2,1,0
97,1,1,21,75,3,88.0,55.0,3.0,28.0,1.0,36.0,5.0,4.0,4.0,4,4,1,1
98,1,2,73,15,2,61.0,37.0,1.0,89.0,5.0,43.0,4.0,2.0,3.0,13,4,3,0
99,1,3,16,63,5,64.0,27.0,2.0,59.0,5.0,77.0,3.0,5.0,2.0,9,5,3,0
100,1,3,84,80,1,35.0,47.0,1.0,42.0,4.0,39.0,2.0,5.0,4.0,14,3,0,1
101,1,3,4,5,1,1.0,18.0,4.0,29.0,2.0,24.0,1.0,1.0,3.0,3,3,1,0
103,0,3,5,3,4,20.0,51.0,4.0,56.0,3.0,92.0,1.0,3.0,2.0,9,19,7,0
105,0,3,84,78,5,81.0,86.0,4.0,9.0,3.0,91.0,2.0,1.0,4.0,15,7,1,0
106,0,2,18,21,5,46.0,37.0,2.0,96.0,2.0,70.0,1.0,5.0,1.0,4,18,5,0
107,1,1,14,57,1,95.0,75.0,1.0,66.0,2.0,64.0,5.0,5.0,2.0,8,7,4,0
108,0,3,13,7,5,53.0,31.0,3.0,98.0,3.0,28.0,5.0,3.0,3.0,28,5,7,0
109,1,3,82,90,4,29.0,55.0,3.0,6.0,1.0,24.0,3.0,1.0,1.0,5,4,1,0
110,1,1,60,16,4,15.0,43.0,1.0,52.0,3.0,22.0,2.0,5.0,3.0,1,5,2,1
114,1,3,92,96,1,47.0,6.0,3.0,21.0,4.0,0.0,5.0,4.0,5.0,3,4,0,1
115,0,3,3,11,5,4.0,37.0,3.0,26.0,4.0,23.0,1.0,1.0,1.0,2,2,1,0
116,1,3,95,71,1,43.0,28.0,5.0,57.0,1.0,84.0,5.0,5.0,4.0,15,4,4,0
117,0,1,2,13,4,44.0,30.0,4.0,60.0,3.0,60.0,2.0,2.0,2.0,9,17,6,0
118,1,3,10,89,2,30.0,64.0,3.0,59.0,2.0,47.0,2.0,3.0,4.0,7,0,2,1
119,0,2,18,6,4,28.0,31.0,5.0,77.0,2.0,41.0,2.0,2.0,2.0,25,6,7,0
120,0,1,15,16,4,55.0,47.0,2.0,55.0,1.0,79.0,3.0,2.0,3.0,26,18,4,0
121,1,2,41,67,1,8.0,85.0,5.0,37.0,4.0,5.0,4.0,5.0,3.0,10,5,1,1
122,0,2,2,6,1,4.0,55.0,5.0,25.0,5.0,28.0,4.0,5.0,1.0,4,3,2,0
123,0,1,3,20,4,22.0,46.0,4.0,70.0,5.0,71.0,4.0,3.0,3.0,15,16,8,0
124,0,3,9,16,5,2.0,37.0,1.0,31.0,1.0,27.0,1.0,1.0,4.0,1,2,1,0
125,1,2,62,43,5,73.0,99.0,2.0,9.0,4.0,53.0,3.0,4.0,3.0,18,9,5,0
126,1,2,2,6,4,53.0,33.0,4.0,75.0,3.0,33.0,2.0,1.0,4.0,23,11,4,0
127,0,3,6,14,1,1.0,41.0,4.0,25.0,2.0,29.0,2.0,4.0,3.0,4,1,2,0
130,0,3,2,10,1,6.0,46.0,1.0,36.0,1.0,23.0,4.0,1.0,2.0,1,3,1,0
131,0,3,66,1,1,99.0,70.0,2.0,94.0,3.0,22.0,5.0,5.0,1.0,2,8,3,0
132,1,3,7,12,5,3.0,33.0,3.0,42.0,2.0,20.0,5.0,3.0,4.0,3,1,2,0
133,1,1,8,29,5,58.0,47.0,3.0,50.0,5.0,78.0,1.0,4.0,2.0,12,5,5,0
134,1,1,62,84,3,51.0,84.0,1.0,36.0,3.0,21.0,1.0,2.0,3.0,8,8,5,0
138,1,3,21,77,3,50.0,55.0,2.0,16.0,3.0,97.0,3.0,3.0,5.0,5,9,4,0
139,1,1,96,33,4,89.0,67.0,1.0,20.0,3.0,64.0,5.0,2.0,3.0,9,11,1,0
140,1,3,25,59,1,50.0,55.0,2.0,91.0,3.0,50.0,3.0,5.0,4.0,9,8,4,0
142,0,1,50,19,5,32.0,48.0,3.0,30.0,3.0,71.0,1.0,1.0,4.0,16,15,2,0
145,0,3,5,9,5,46.0,45.0,4.0,57.0,2.0,52.0,3.0,2.0,3.0,28,12,6,0
146,1,3,53,59,4,19.0,13.0,3.0,44.0,4.0,16.0,5.0,5.0,3.0,8,3,0,1
147,0,1,3,56,2,51.0,53.0,3.0,18.0,1.0,75.0,2.0,1.0,3.0,8,6,5,0
148,0,1,66,94,5,82.0,55.0,5.0,42.0,4.0,48.0,4.0,2.0,2.0,15,9,3,0
149,0,1,49,86,5,28.0,7.0,4.0,22.0,2.0,27.0,5.0,1.0,3.0,8,4,6,0
150,0,2,1,15,1,8.0,16.0,5.0,35.0,1.0,25.0,1.0,3.0,3.0,4,2,1,0
153,0,3,1,7,1,2.0,11.0,3.0,37.0,2.0,27.0,1.0,2.0,2.0,4,2,2,0
154,1,3,27,72,3,64.0,64.0,3.0,84.0,5.0,72.0,2.0,5.0,1.0,7,9,5,0
155,0,2,6,3,1,3.0,44.0,3.0,36.0,1.0,24.0,2.0,2.0,4.0,4,3,2,0
156,0,2,75,61,1,79.0,71.0,4.0,79.0,4.0,76.0,1.0,4.0,4.0,17,10,5,0
157,1,3,3,2,1,12.0,54.0,4.0,41.0,4.0,26.0,1.0,5.0,3.0,0,1,1,0
158,1,3,11,60,1,50.0,78.0,3.0,53.0,4.0,67.0,4.0,5.0,2.0,10,6,2,0
159,0,2,99,44,1,81.0,18.0,4.0,38.0,4.0,77.0,3.0,1.0,1.0,17,10,3,0
161,1,3,42,71,2,61.0,33.0,2.0,46.0,4.0,70.0,3.0,5.0,4.0,13,8,5,0
162,1,3,3,54,1,17.0,65.0,5.0,32.0,2.0,39.0,1.0,1.0,3.0,17,13,2,0
163,0,3,5,10,1,7.0,42.0,2.0,37.0,2.0,24.0,1.0,3.0,4.0,3,2,2,0
164,1,1,15,31,5,54.0,4.0,1.0,98.0,5.0,26.0,5.0,3.0,5.0,8,7,1,0
165,1,1,34,33,2,20.0,63.0,4.0,31.0,4.0,28.0,3.0,4.0,1.0,1,21,2,0
168,0,2,79,49,1,65.0,40.0,1.0,19.0,4.0,53.0,3.0,2.0,1.0,12,5,4,0
169,1,3,18,81,1,59.0,17.0,1.0,49.0,5.0,22.0,1.0,4.0,1.0,19,17,6,0
171,0,3,4,14,1,1.0,48.0,4.0,31.0,2.0,22.0,1.0,1.0,4.0,0,2,2,0
172,0,3,73,68,4,71.0,60.0,1.0,17.0,1.0,23.0,1.0,1.0,4.0,6,6,4,0
175,0,3,3,12,1,9.0,14.0,5.0,27.0,4.0,23.0,1.0,4.0,1.0,3,2,2,0
176,1,2,50,68,1,95.0,72.0,2.0,33.0,2.0,85.0,4.0,5.0,1.0,9,5,5,0
177,1,2,92,51,2,42.0,34.0,2.0,67.0,3.0,52.0,5.0,2.0,5.0,7,10,5,0
178,1,3,96,0,2,72.0,68.0,1.0,22.0,2.0,37.0,1.0,2.0,4.0,8,6,2,0
179,0,3,80,88,5,70.0,37.0,3.0,70.0,2.0,98.0,5.0,1.0,5.0,13,6,4,0
181,0,1,97,34,1,72.0,4.0,4.0,78.0,1.0,30.0,1.0,2.0,3.0,19,11,5,0
182,0,3,2,16,2,12.0,8.0,2.0,25.0,1.0,21.0,1.0,2.0,3.0,1,2,1,0
183,1,2,6,13,2,8.0,43.0,3.0,45.0,2.0,20.0,1.0,3.0,3.0,4,2,2,0
184,0,3,5,10,5,13.0,53.0,5.0,39.0,1.0,27.0,4.0,1.0,2.0,1,3,1,0
185,1,1,9,15,5,30.0,38.0,4.0,57.0,5.0,49.0,1.0,5.0,4.0,6,13,5,0
187,1,3,96,80,5,18.0,48.0,4.0,81.0,2.0,63.0,2.0,1.0,1.0,17,9,3,0
188,1,3,1,45,1,66.0,69.0,3.0,1.0,1.0,14.0,4.0,2.0,4.0,14,3,3,1
189,0,1,11,3,4,31.0,48.0,2.0,62.0,2.0,29.0,3.0,2.0,2.0,4,12,8,0
190,0,2,64,32,1,78.0,82.0,3.0,50.0,2.0,63.0,3.0,1.0,5.0,9,8,4,0
191,0,2,42,48,4,90.0,53.0,4.0,98.0,2.0,90.0,3.0,2.0,1.0,11,19,6,0
194,1,3,19,66,1,14.0,58.0,3.0,67.0,5.0,34.0,2.0,2.0,1.0,12,17,5,0
195,1,1,41,74,3,37.0,40.0,4.0,4.0,5.0,14.0,3.0,4.0,4.0,12,3,2,1
196,0,1,3,15,5,41.0,50.0,2.0,56.0,1.0,36.0,2.0,2.0,3.0,15,8,5,0
197,1,3,61,99,2,40.0,92.0,3.0,57.0,3.0,86.0,3.0,3.0,1.0,12,5,1,0
198,0,2,6,8,1,8.0,55.0,1.0,35.0,1.0,23.0,1.0,4.0,1.0,2,2,1,0
199,0,2,4,11,4,31.0,52.0,5.0,97.0,3.0,61.0,1.0,2.0,4.0,11,3,6,0
200,1,3,70,66,3,54.0,68.0,4.0,50.0,5.0,94.0,1.0,5.0,1.0,14,8,3,0
202,1,3,58,39,5,20.0,47.0,3.0,3.0,4.0,5.0,2.0,2.0,5.0,8,9,9,0
204,1,3,69,98,4,40.0,24.0,1.0,57.0,5.0,56.0,1.0,1.0,3.0,5,10,3,0
206,0,2,21,71,3,89.0,36.0,4.0,79.0,4.0,35.0,5.0,2.0,2.0,5,14,4,0
207,0,3,93,55,1,54.0,99.0,1.0,71.0,1.0,60.0,1.0,2.0,5.0,11,4,4,0
208,1,2,80,18,3,24.0,4.0,3.0,24.0,3.0,38.0,5.0,1.0,4.0,13,0,3,1
209,1,3,6,14,5,3.0,49.0,2.0,26.0,5.0,20.0,1.0,2.0,3.0,4,3,2,0
210,1,3,20,54,1,94.0,34.0,1.0,8.0,1.0,72.0,2.0,5.0,2.0,14,8,4,0
212,0,1,26,9,5,93.0,65.0,2.0,50.0,5.0,63.0,1.0,2.0,3.0,14,3,4,0
213,0,3,23,84,4,21.0,35.0,2.0,50.0,4.0,19.0,1.0,3.0,4.0,16,10,5,0
214,1,3,5,49,1,70.0,5.0,4.0,19.0,1.0,3.0,3.0,4.0,5.0,10,5,1,1
216,1,3,73,98,1,53.0,73.0,1.0,70.0,3.0,48.0,1.0,2.0,4.0,6,3,3,0
217,1,3,59,74,1,99.0,58.0,2.0,42.0,2.0,95.0,1.0,3.0,1.0,14,7,2,0
218,0,3,96,46,1,89.0,78.0,4.0,36.0,2.0,51.0,5.0,5.0,3.0,17,24,7,0
220,0,3,8,8,1,9.0,24.0,3.0,31.0,2.0,23.0,1.0,1.0,1.0,1,1,2,0
222,1,3,99,87,2,72.0,42.0,1.0,0.0,4.0,28.0,1.0,2.0,3.0,6,5,3,0
224,0,3,83,24,3,14.0,52.0,5.0,93.0,4.0,3.0,2.0,3.0,1.0,2,22,5,0
225,1,3,97,38,1,9.0,56.0,5.0,3.0,2.0,8.0,3.0,3.0,1.0,19,6,4,0
226,1,3,5,2,1,1.0,30.0,1.0,37.0,1.0,29.0,1.0,3.0,3.0,2,3,1,0
227,1,3,50,50,1,50.0,66.0,5.0,76.0,5.0,57.0,1.0,3.0,2.0,9,5,3,0
228,1,3,37,53,1,56.0,45.0,3.0,46.0,3.0,32.0,5.0,1.0,2.0,3,5,0,1
230,1,3,72,60,3,81.0,6.0,5.0,18.0,1.0,38.0,3.0,5.0,2.0,5,8,3,0
231,1,1,2,3,4,29.0,52.0,4.0,60.0,5.0,83.0,3.0,2.0,3.0,20,19,8,0
232,1,3,54,72,1,67.0,75.0,4.0,38.0,2.0,53.0,4.0,3.0,5.0,5,3,0,1
234,0,3,17,7,4,23.0,34.0,4.0,69.0,4.0,48.0,3.0,2.0,1.0,21,12,8,0
235,1,3,53,69,1,79.0,36.0,1.0,89.0,1.0,82.0,1.0,1.0,4.0,13,5,5,0
236,1,2,94,52,5,57.0,34.0,1.0,17.0,1.0,99.0,5.0,2.0,4.0,5,4,2,0
238,0,3,5,4,2,11.0,56.0,3.0,49.0,1.0,28.0,1.0,3.0,3.0,4,3,1,0
239,1,2,19,44,1,55.0,31.0,3.0,72.0,1.0,33.0,2.0,3.0,4.0,2,5,3,1
240,0,2,56,34,5,92.0,63.0,1.0,49.0,2.0,75.0,4.0,1.0,2.0,3,8,7,0
241,1,3,19,3,4,52.0,54.0,1.0,28.0,3.0,20.0,5.0,4.0,4.0,0,4,1,1
242,1,3,7,59,3,79.0,88.0,3.0,20.0,2.0,73.0,4.0,1.0,5.0,17,20,6,0
243,0,1,5,11,5,59.0,42.0,4.0,59.0,5.0,62.0,3.0,3.0,4.0,19,18,8,0
244,0,3,4,15,1,4.0,17.0,2.0,34.0,4.0,28.0,1.0,1.0,3.0,1,1,2,0
245,0,2,77,88,3,19.0,22.0,3.0,34.0,2.0,2.0,1.0,5.0,4.0,0,20,1,0
246,1,3,23,90,3,93.0,37.0,3.0,40.0,1.0,57.0,4.0,4.0,1.0,14,10,8,0
248,0,2,5,12,5,43.0,42.0,5.0,72.0,3.0,41.0,3.0,2.0,2.0,24,19,6,0
250,1,3,63,74,1,12.0,98.0,2.0,28.0,5.0,31.0,1.0,4.0,4.0,3,2,2,1
252,0,3,14,18,4,36.0,54.0,4.0,50.0,2.0,57.0,1.0,2.0,4.0,24,9,7,0
253,0,3,9,16,2,11.0,8.0,3.0,24.0,2.0,24.0,1.0,2.0,3.0,4,3,1,0
254,1,1,86,25,1,27.0,43.0,4.0,18.0,4.0,23.0,5.0,5.0,4.0,12,7,0,1
255,1,3,44,77,5,96.0,47.0,2.0,53.0,2.0,83.0,4.0,5.0,1.0,15,9,2,0
256,1,3,9,10,1,7.0,35.0,4.0,35.0,1.0,28.0,1.0,4.0,2.0,4,1,1,0
258,1,3,45,70,1,72.0,41.0,3.0,67.0,5.0,58.0,3.0,5.0,1.0,15,8,5,0
260,1,3,59,58,1,65.0,77.0,3.0,32.0,5.0,48.0,4.0,1.0,1.0,7,4,1,0
263,1,3,41,73,3,88.0,4.0,5.0,67.0,3.0,79.0,3.0,3.0,3.0,6,23,4,0
264,1,3,68,69,5,65.0,76.0,2.0,62.0,2.0,96.0,2.0,3.0,2.0,7,9,4,0
266,1,2,58,31,2,68.0,67.0,1.0,75.0,5.0,17.0,3.0,1.0,3.0,15,4,3,0
267,1,3,86,39,4,70.0,38.0,3.0,19.0,1.0,27.0,2.0,5.0,5.0,5,2,0,1
268,1,2,86,63,1,90.0,63.0,1.0,86.0,2.0,74.0,1.0,5.0,2.0,9,4,1,0
269,1,1,15,4,4,40.0,39.0,3.0,76.0,2.0,30.0,1.0,2.0,2.0,21,9,5,0
270,0,1,4,11,4,48.0,48.0,4.0,97.0,3.0,52.0,2.0,1.0,4.0,27,12,8,0
271,0,3,62,36,1,58.0,88.0,4.0,14.0,5.0,78.0,1.0,5.0,4.0,18,7,3,0
272,1,3,19,61,5,62.0,74.0,2.0,49.0,3.0,54.0,1.0,5.0,1.0,17,9,2,0
273,1,2,62,69,1,43.0,17.0,1.0,7.0,5.0,35.0,3.0,2.0,1.0,5,4,5,0
274,0,3,11,24,4,41.0,52.0,3.0,89.0,3.0,85.0,1.0,3.0,2.0,8,9,8,0
275,1,2,83,79,1,40.0,73.0,4.0,29.0,2.0,55.0,3.0,1.0,4.0,4,11,2,0
277,0,2,2,22,5,28.0,51.0,4.0,80.0,3.0,98.0,5.0,2.0,3.0,5,11,8,0
279,0,1,6,5,5,40.0,50.0,4.0,48.0,5.0,70.0,2.0,5.0,1.0,10,16,4,0
280,0,3,3,14,1,8.0,15.0,4.0,39.0,1.0,25.0,1.0,3.0,3.0,0,2,2,0
283,1,2,80,82,3,66.0,49.0,1.0,55.0,1.0,56.0,5.0,2.0,1.0,16,7,4,0
286,0,1,65,49,1,89.0,81.0,5.0,24.0,5.0,26.0,5.0,2.0,4.0,18,8,5,0
287,0,3,13,27,4,26.0,43.0,4.0,55.0,3.0,45.0,3.0,4.0,3.0,26,14,7,0
288,0,3,9,10,1,13.0,56.0,2.0,44.0,2.0,27.0,2.0,4.0,3.0,4,3,1,0
289,1,3,73,92,2,56.0,60.0,5.0,70.0,5.0,83.0,2.0,1.0,3.0,8,5,1,0
290,0,1,44,27,3,33.0,38.0,5.0,94.0,2.0,85.0,1.0,1.0,1.0,15,22,7,0
291,1,1,30,26,1,98.0,21.0,2.0,84.0,4.0,32.0,1.0,2.0,3.0,16,11,8,0
292,1,1,97,68,4,68.0,9.0,2.0,49.0,2.0,54.0,5.0,3.0,5.0,15,11,3,0
293,0,3,3,15,5,2.0,32.0,2.0,31.0,4.0,27.0,1.0,2.0,4.0,0,3,2,0
294,1,3,2,16,1,12.0,55.0,3.0,44.0,4.0,26.0,3.0,3.0,1.0,4,2,2,0
295,1,2,93,90,1,73.0,18.0,3.0,23.0,5.0,86.0,1.0,2.0,2.0,15,10,3,0
296,0,2,2,9,5,8.0,28.0,2.0,26.0,5.0,20.0,1.0,3.0,1.0,1,3,1,0
297,0,3,94,68,3,73.0,71.0,2.0,42.0,1.0,39.0,1.0,1.0,3.0,9,11,3,0
299,1,3,8,4,1,10.0,12.0,5.0,37.0,2.0,29.0,4.0,3.0,3.0,0,3,1,0
301,0,2,7,17,5,48.0,31.0,3.0,47.0,1.0,95.0,1.0,5.0,3.0,9,8,8,0
303,0,3,3,16,5,8.0,48.0,2.0,37.0,1.0,27.0,1.0,1.0,4.0,4,2,1,0
304,1,2,13,53,1,83.0,69.0,1.0,94.0,5.0,65.0,3.0,3.0,1.0,13,5,3,0
308,1,3,7,9,5,8.0,26.0,4.0,47.0,1.0,28.0,1.0,3.0,2.0,1,3,2,0
309,1,2,93,46,3,18.0,56.0,1.0,78.0,4.0,9.0,5.0,1.0,1.0,8,5,4,0
312,1,2,82,68,1,82.0,37.0,2.0,21.0,5.0,53.0,1.0,5.0,1.0,14,7,4,0
313,0,3,4,3,5,33.0,42.0,2.0,85.0,3.0,57.0,2.0,2.0,3.0,27,5,4,0
315,0,2,4,11,1,8.0,51.0,3.0,28.0,2.0,24.0,2.0,2.0,1.0,1,3,2,0
316,1,3,75,68,1,72.0,83.0,1.0,33.0,2.0,49.0,1.0,1.0,1.0,12,7,2,0
317,1,3,60,57,1,99.0,66.0,1.0,26.0,5.0,57.0,3.0,5.0,1.0,12,7,3,0
319,0,3,3,11,2,3.0,16.0,2.0,32.0,1.0,20.0,1.0,1.0,3.0,0,2,2,0
320,0,3,2,9,2,11.0,26.0,3.0,37.0,2.0,23.0,1.0,4.0,3.0,1,3,2,0
321,0,2,9,25,4,49.0,36.0,4.0,88.0,3.0,77.0,4.0,1.0,4.0,3,10,6,0
322,0,3,6,12,1,2.0,30.0,2.0,47.0,4.0,26.0,2.0,5.0,1.0,0,3,1,0
323,0,1,10,21,5,31.0,36.0,3.0,47.0,3.0,77.0,2.0,2.0,2.0,12,19,6,0
324,1,1,57,2,1,24.0,6.0,4.0,45.0,1.0,15.0,5.0,3.0,4.0,1,6,2,1
326,0,2,8,23,4,45.0,53.0,4.0,50.0,5.0,30.0,4.0,2.0,4.0,6,11,4,0
327,1,3,2,20,4,4.0,51.0,3.0,17.0,4.0,27.0,3.0,1.0,5.0,11,4,1,1
329,0,3,8,1,1,13.0,49.0,3.0,47.0,1.0,25.0,5.0,4.0,1.0,3,3,1,0
330,1,3,67,63,5,68.0,50.0,1.0,78.0,2.0,89.0,3.0,5.0,1.0,7,7,5,0
331,1,1,16,81,4,98.0,2.0,1.0,47.0,4.0,10.0,1.0,5.0,1.0,3,11,3,0
332,1,3,55,75,1,72.0,76.0,1.0,92.0,5.0,64.0,1.0,5.0,1.0,10,8,5,0
333,0,2,18,8,5,21.0,32.0,5.0,66.0,3.0,96.0,1.0,4.0,4.0,24,17,4,0
334,0,2,6,19,5,28.0,35.0,5.0,77.0,2.0,92.0,3.0,5.0,4.0,12,10,4,0
335,0,3,5,12,1,13.0,42.0,3.0,49.0,1.0,29.0,1.0,3.0,1.0,0,1,2,0
336,0,3,9,2,5,13.0,17.0,1.0,27.0,5.0,26.0,4.0,1.0,4.0,4,1,1,0
337,1,3,77,93,3,77.0,58.0,2.0,68.0,2.0,79.0,5.0,1.0,3.0,3,5,3,0
338,0,3,5,15,1,8.0,32.0,5.0,27.0,2.0,27.0,4.0,1.0,3.0,3,3,2,0
339,1,3,6,3,1,13.0,19.0,1.0,47.0,1.0,27.0,2.0,1.0,1.0,4,2,1,0
340,0,3,80,35,5,62.0,92.0,2.0,38.0,2.0,53.0,1.0,1.0,2.0,13,3,1,0
341,0,3,3,14,1,5.0,40.0,2.0,31.0,4.0,25.0,2.0,3.0,3.0,2,2,2,0
