,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout
77,N,third,7,37,B,,,,,,,,,,2,2,0,Y
78,N,third,6,14,F,8,32,C,34,B,26,A,C,A,1,3,2,N
79,Y,second,88,50,A,58,24,D,7,F,63,D,C,A,16,11,5,N
80,N,third,5,14,A,5,55,B,35,A,24,B,A,B,0,1,1,N
81,Y,third,6,8,B,6,16,C,25,B,24,A,B,D,0,1,2,N
82,N,third,17,52,F,43,16,A,55,A,17,C,F,D,10,8,1,N
83,Y,second,51,41,A,64,4,F,,,,,,,1,0,1,Y
84,Y,third,43,7,A,99,52,F,17,D,10,A,C,F,4,1,3,Y
85,N,second,16,4,D,22,44,D,45,C,72,F,A,B,25,4,4,N
86,Y,third,48,3,B,66,71,F,43,D,55,A,F,D,9,5,3,N
87,Y,second,41,54,D,44,12,F,,,,,,,2,0,0,Y
88,N,third,88,54,C,84,74,A,72,F,88,D,A,A,16,10,3,N
89,Y,first,47,15,B,68,67,B,15,D,,,,,8,2,0,Y
90,Y,second,31,52,D,19,42,F,,,,,,,0,1,0,Y
91,Y,first,33,53,B,69,27,B,15,B,1,D,F,F,6,4,0,Y
92,N,second,6,22,D,53,42,D,56,A,89,F,B,C,20,17,6,N
93,Y,second,90,60,B,83,94,F,55,A,43,F,B,F,16,9,2,N
94,N,second,3,2,F,12,34,F,40,B,24,A,F,A,3,2,1,N
95,Y,second,75,69,B,52,14,A,27,D,94,A,B,A,11,9,2,N
96,N,second,3,11,A,5,22,D,33,D,27,A,C,B,1,2,1,N
97,Y,first,21,75,C,88,55,C,28,A,36,F,D,D,4,4,1,Y
98,Y,second,73,15,B,61,37,A,89,F,43,D,B,C,13,4,3,N
99,Y,third,16,63,F,64,27,B,59,F,77,C,F,B,9,5,3,N
100,Y,third,84,80,A,35,47,A,42,D,39,B,F,D,14,3,0,Y
101,Y,third,4,5,A,1,18,D,29,B,24,A,A,C,3,3,1,N
102,Y,third,32,38,D,21,50,F,,,,,,,1,0,0,Y
103,N,third,5,3,D,20,51,D,56,C,92,A,C,B,9,19,7,N
104,N,third,15,38,D,48,49,B,90,D,,,,,9,3,2,Y
105,N,third,84,78,F,81,86,D,9,C,91,B,A,D,15,7,1,N
106,N,second,18,21,F,46,37,B,96,B,70,A,F,A,4,18,5,N
107,Y,first,14,57,A,95,75,A,66,B,64,F,F,B,8,7,4,N
108,N,third,13,7,F,53,31,C,98,C,28,F,C,C,28,5,7,N
109,Y,third,82,90,D,29,55,C,6,A,24,C,A,A,5,4,1,N
110,Y,first,60,16,D,15,43,A,52,C,22,B,F,C,1,5,2,Y
111,Y,first,31,56,D,7,44,D,,,,,,,2,1,0,Y
112,Y,third,27,43,C,,,,,,,,,,1,0,1,Y
113,Y,first,23,35,B,2,42,F,,,,,,,3,0,0,Y
114,Y,third,92,96,A,47,6,C,21,D,0,F,D,F,3,4,0,Y
115,N,third,3,11,F,4,37,C,26,D,23,A,A,A,2,2,1,N
116,Y,third,95,71,A,43,28,F,57,A,84,F,F,D,15,4,4,N
117,N,first,2,13,D,44,30,D,60,C,60,B,B,B,9,17,6,N
118,Y,third,10,89,B,30,64,C,59,B,47,B,C,D,7,0,2,Y
119,N,second,18,6,D,28,31,F,77,B,41,B,B,B,25,6,7,N
120,N,first,15,16,D,55,47,B,55,A,79,C,B,C,26,18,4,N
121,Y,second,41,67,A,8,85,F,37,D,5,D,F,C,10,5,1,Y
122,N,second,2,6,A,4,55,F,25,F,28,D,F,A,4,3,2,N
123,N,first,3,20,D,22,46,D,70,F,71,D,C,C,15,16,8,N
124,N,third,9,16,F,2,37,A,31,A,27,A,A,D,1,2,1,N
125,Y,second,62,43,F,73,99,B,9,D,53,C,D,C,18,9,5,N
126,Y,second,2,6,D,53,33,D,75,C,33,B,A,D,23,11,4,N
127,N,third,6,14,A,1,41,D,25,B,29,B,D,C,4,1,2,N
128,Y,third,17,3,D,,,,,,,,,,2,0,1,Y
129,N,third,90,14,D,93,29,A,77,D,,,,,0,0,0,Y
130,N,third,2,10,A,6,46,A,36,A,23,D,A,B,1,3,1,N
131,N,third,66,1,A,99,70,B,94,C,22,F,F,A,2,8,3,N
132,Y,third,7,12,F,3,33,C,42,B,20,F,C,D,3,1,2,N
133,Y,first,8,29,F,58,47,C,50,F,78,A,D,B,12,5,5,N
134,Y,first,62,84,C,51,84,A,36,C,21,A,B,C,8,8,5,N
135,N,first,66,75,D,61,66,A,,,,,,,4,4,2,Y
136,Y,second,72,28,D,34,76,D,46,D,,,,,10,4,0,Y
137,N,second,0,24,F,,,,,,,,,,0,2,0,Y
138,Y,third,21,77,C,50,55,B,16,C,97,C,C,F,5,9,4,N
139,Y,first,96,33,D,89,67,A,20,C,64,F,B,C,9,11,1,N
140,Y,third,25,59,A,50,55,B,91,C,50,C,F,D,9,8,4,N
141,Y,second,57,46,D,62,4,F,,,,,,,0,1,1,Y
142,N,first,50,19,F,32,48,C,30,C,71,A,A,D,16,15,2,N
143,Y,third,61,84,D,48,11,C,49,D,,,,,0,0,0,Y
144,Y,third,63,50,D,1,30,B,23,C,,,,,8,3,0,Y
145,N,third,5,9,F,46,45,D,57,B,52,C,B,C,28,12,6,N
146,Y,third,53,59,D,19,13,C,44,D,16,F,F,C,8,3,0,Y
147,N,first,3,56,B,51,53,C,18,A,75,B,A,C,8,6,5,N
148,N,first,66,94,F,82,55,F,42,D,48,D,B,B,15,9,3,N
149,N,first,49,86,F,28,7,D,22,B,27,F,A,C,8,4,6,N
150,N,second,1,15,A,8,16,F,35,A,25,A,C,C,4,2,1,N
151,Y,first,15,90,B,2,9,B,37,C,,,,,7,2,0,Y
152,Y,third,1,13,F,40,28,F,28,F,,,,,7,4,0,Y
153,N,third,1,7,A,2,11,C,37,B,27,A,B,B,4,2,2,N
154,Y,third,27,72,C,64,64,C,84,F,72,B,F,A,7,9,5,N
155,N,second,6,3,A,3,44,C,36,A,24,B,B,D,4,3,2,N
156,N,second,75,61,A,79,71,D,79,D,76,A,D,D,17,10,5,N
157,Y,third,3,2,A,12,54,D,41,D,26,A,F,C,0,1,1,N
158,Y,third,11,60,A,50,78,C,53,D,67,D,F,B,10,6,2,N
159,N,second,99,44,A,81,18,D,38,D,77,C,A,A,17,10,3,N
160,Y,first,11,10,F,,,,,,,,,,2,0,0,Y
161,Y,third,42,71,B,61,33,B,46,D,70,C,F,D,13,8,5,N
162,Y,third,3,54,A,17,65,F,32,B,39,A,A,C,17,13,2,N
163,N,third,5,10,A,7,42,B,37,B,24,A,C,D,3,2,2,N
164,Y,first,15,31,F,54,4,A,98,F,26,F,C,F,8,7,1,N
165,Y,first,34,33,B,20,63,D,31,D,28,C,D,A,1,21,2,N
166,Y,first,51,42,C,32,2,F,,,,,,,1,0,0,Y
167,Y,first,48,43,C,43,16,F,,,,,,,1,1,1,Y
168,N,second,79,49,A,65,40,A,19,D,53,C,B,A,12,5,4,N
169,Y,third,18,81,A,59,17,A,49,F,22,A,D,A,19,17,6,N
170,N,third,56,23,B,18,77,B,73,F,,,,,10,1,1,Y
171,N,third,4,14,A,1,48,D,31,B,22,A,A,D,0,2,2,N
172,N,third,73,68,D,71,60,A,17,A,23,A,A,D,6,6,4,N
173,Y,second,45,73,F,34,30,D,38,D,,,,,7,3,1,Y
174,N,third,79,95,D,27,62,C,87,F,,,,,7,2,0,Y
175,N,third,3,12,A,9,14,F,27,D,23,A,D,A,3,2,2,N
176,Y,second,50,68,A,95,72,B,33,B,85,D,F,A,9,5,5,N
177,Y,second,92,51,B,42,34,B,67,C,52,F,B,F,7,10,5,N
178,Y,third,96,0,B,72,68,A,22,B,37,A,B,D,8,6,2,N
179,N,third,80,88,F,70,37,C,70,B,98,F,A,F,13,6,4,N
180,Y,third,58,56,C,41,1,F,,,,,,,1,1,1,Y
181,N,first,97,34,A,72,4,D,78,A,30,A,B,C,19,11,5,N
182,N,third,2,16,B,12,8,B,25,A,21,A,B,C,1,2,1,N
183,Y,second,6,13,B,8,43,C,45,B,20,A,C,C,4,2,2,N
184,N,third,5,10,F,13,53,F,39,A,27,D,A,B,1,3,1,N
185,Y,first,9,15,F,30,38,D,57,F,49,A,F,D,6,13,5,N
186,N,third,61,57,A,45,61,D,,,,,,,5,3,0,Y
187,Y,third,96,80,F,18,48,D,81,B,63,B,A,A,17,9,3,N
188,Y,third,1,45,A,66,69,C,1,A,14,D,B,D,14,3,3,Y
189,N,first,11,3,D,31,48,B,62,B,29,C,B,B,4,12,8,N
190,N,second,64,32,A,78,82,C,50,B,63,C,A,F,9,8,4,N
191,N,second,42,48,D,90,53,D,98,B,90,C,B,A,11,19,6,N
192,Y,second,41,59,D,31,17,F,,,,,,,4,0,1,Y
193,Y,third,1,85,C,22,26,A,20,C,,,,,0,3,0,Y
194,Y,third,19,66,A,14,58,C,67,F,34,B,B,A,12,17,5,N
195,Y,first,41,74,C,37,40,D,4,F,14,C,D,D,12,3,2,Y
196,N,first,3,15,F,41,50,B,56,A,36,B,B,C,15,8,5,N
197,Y,third,61,99,B,40,92,C,57,C,86,C,C,A,12,5,1,N
198,N,second,6,8,A,8,55,A,35,A,23,A,D,A,2,2,1,N
199,N,second,4,11,D,31,52,F,97,C,61,A,B,D,11,3,6,N
200,Y,third,70,66,C,54,68,D,50,F,94,A,F,A,14,8,3,N
201,Y,second,12,6,D,,,,,,,,,,2,0,1,Y
202,Y,third,58,39,F,20,47,C,3,D,5,B,B,F,8,9,9,N
203,Y,first,27,29,C,,,,,,,,,,3,0,0,Y
204,Y,third,69,98,D,40,24,A,57,F,56,A,A,C,5,10,3,N
205,Y,first,28,40,B,45,32,F,,,,,,,3,0,0,Y
206,N,second,21,71,C,89,36,D,79,D,35,F,B,B,5,14,4,N
207,N,third,93,55,A,54,99,A,71,A,60,A,B,F,11,4,4,N
208,Y,second,80,18,C,24,4,C,24,C,38,F,A,D,13,0,3,Y
209,Y,third,6,14,F,3,49,B,26,F,20,A,B,C,4,3,2,N
210,Y,third,20,54,A,94,34,A,8,A,72,B,F,B,14,8,4,N
211,N,second,52,52,D,52,86,F,,,,,,,5,4,1,Y
212,N,first,26,9,F,93,65,B,50,F,63,A,B,C,14,3,4,N
213,N,third,23,84,D,21,35,B,50,D,19,A,C,D,16,10,5,N
214,Y,third,5,49,A,70,5,D,19,A,3,C,D,F,10,5,1,Y
215,Y,first,22,41,F,34,16,D,,,,,,,3,0,1,Y
216,Y,third,73,98,A,53,73,A,70,C,48,A,B,D,6,3,3,N
217,Y,third,59,74,A,99,58,B,42,B,95,A,C,A,14,7,2,N
218,N,third,96,46,A,89,78,D,36,B,51,F,F,C,17,24,7,N
219,Y,first,42,79,B,53,6,B,35,D,,,,,3,1,1,Y
220,N,third,8,8,A,9,24,C,31,B,23,A,A,A,1,1,2,N
221,Y,first,34,45,F,32,5,D,,,,,,,4,0,0,Y
222,Y,third,99,87,B,72,42,A,0,D,28,A,B,C,6,5,3,N
223,Y,first,18,2,D,,,,,,,,,,0,0,1,Y
224,N,third,83,24,C,14,52,F,93,D,3,B,C,A,2,22,5,N
225,Y,third,97,38,A,9,56,F,3,B,8,C,C,A,19,6,4,N
226,Y,third,5,2,A,1,30,A,37,A,29,A,C,C,2,3,1,N
227,Y,third,50,50,A,50,66,F,76,F,57,A,C,B,9,5,3,N
228,Y,third,37,53,A,56,45,C,46,C,32,F,A,B,3,5,0,Y
229,N,third,21,27,F,,,,,,,,,,1,1,0,Y
230,Y,third,72,60,C,81,6,F,18,A,38,C,F,B,5,8,3,N
231,Y,first,2,3,D,29,52,D,60,F,83,C,B,C,20,19,8,N
232,Y,third,54,72,A,67,75,D,38,B,53,D,C,F,5,3,0,Y
233,N,third,27,68,D,58,87,D,,,,,,,1,3,1,Y
234,N,third,17,7,D,23,34,D,69,D,48,C,B,A,21,12,8,N
235,Y,third,53,69,A,79,36,A,89,A,82,A,A,D,13,5,5,N
236,Y,second,94,52,F,57,34,A,17,A,99,F,B,D,5,4,2,N
237,Y,third,56,28,B,26,1,F,,,,,,,1,1,1,Y
238,N,third,5,4,B,11,56,C,49,A,28,A,C,C,4,3,1,N
239,Y,second,19,44,A,55,31,C,72,A,33,B,C,D,2,5,3,Y
240,N,second,56,34,F,92,63,A,49,B,75,D,A,B,3,8,7,N
241,Y,third,19,3,D,52,54,A,28,C,20,F,D,D,0,4,1,Y
242,Y,third,7,59,C,79,88,C,20,B,73,D,A,F,17,20,6,N
243,N,first,5,11,F,59,42,D,59,F,62,C,C,D,19,18,8,N
244,N,third,4,15,A,4,17,B,34,D,28,A,A,C,1,1,2,N
245,N,second,77,88,C,19,22,C,34,B,2,A,F,D,0,20,1,N
246,Y,third,23,90,C,93,37,C,40,A,57,D,D,A,14,10,8,N
247,Y,second,68,20,D,65,63,C,41,F,,,,,4,1,1,Y
248,N,second,5,12,F,43,42,F,72,C,41,C,B,B,24,19,6,N
249,Y,second,22,39,F,30,0,D,,,,,,,2,0,1,Y
250,Y,third,63,74,A,12,98,B,28,F,31,A,D,D,3,2,2,Y
251,N,third,41,76,F,94,17,A,56,C,,,,,1,1,2,Y
252,N,third,14,18,D,36,54,D,50,B,57,A,B,D,24,9,7,N
253,N,third,9,16,B,11,8,C,24,B,24,A,B,C,4,3,1,N
254,Y,first,86,25,A,27,43,D,18,D,23,F,F,D,12,7,0,Y
255,Y,third,44,77,F,96,47,B,53,B,83,D,F,A,15,9,2,N
256,Y,third,9,10,A,7,35,D,35,A,28,A,D,B,4,1,1,N
257,N,second,88,31,B,39,42,C,71,D,,,,,3,0,0,Y
258,Y,third,45,70,A,72,41,C,67,F,58,C,F,A,15,8,5,N
259,Y,first,20,41,D,,,,,,,,,,0,0,1,Y
260,Y,third,59,58,A,65,77,C,32,F,48,D,A,A,7,4,1,N
261,N,second,0,24,B,,,,,,,,,,3,2,0,Y
262,N,third,4,21,F,,,,,,,,,,1,1,1,Y
263,Y,third,41,73,C,88,4,F,67,C,79,C,C,C,6,23,4,N
264,Y,third,68,69,F,65,76,B,62,B,96,B,C,B,7,9,4,N
265,N,third,59,75,C,78,96,F,,,,,,,1,0,1,Y
266,Y,second,58,31,B,68,67,A,75,F,17,C,A,C,15,4,3,N
267,Y,third,86,39,D,70,38,C,19,A,27,B,F,F,5,2,0,Y
268,Y,second,86,63,A,90,63,A,86,B,74,A,F,B,9,4,1,N
269,Y,first,15,4,D,40,39,C,76,B,30,A,B,B,21,9,5,N
270,N,first,4,11,D,48,48,D,97,C,52,B,A,D,27,12,8,N
271,N,third,62,36,A,58,88,D,14,F,78,A,F,D,18,7,3,N
272,Y,third,19,61,F,62,74,B,49,C,54,A,F,A,17,9,2,N
273,Y,second,62,69,A,43,17,A,7,F,35,C,B,A,5,4,5,N
274,N,third,11,24,D,41,52,C,89,C,85,A,C,B,8,9,8,N
275,Y,second,83,79,A,40,73,D,29,B,55,C,A,D,4,11,2,N
276,Y,second,45,36,C,15,12,F,,,,,,,4,1,0,Y
277,N,second,2,22,F,28,51,D,80,C,98,F,B,C,5,11,8,N
278,N,third,96,63,A,44,29,C,94,D,,,,,4,2,3,Y
279,N,first,6,5,F,40,50,D,48,F,70,B,F,A,10,16,4,N
280,N,third,3,14,A,8,15,D,39,A,25,A,C,C,0,2,2,N
281,Y,third,32,40,C,10,12,F,32,F,,,,,9,2,1,Y
282,Y,first,16,15,D,,,,,,,,,,3,1,0,Y
283,Y,second,80,82,C,66,49,A,55,A,56,F,B,A,16,7,4,N
284,N,third,68,78,F,54,30,D,,,,,,,5,1,0,Y
285,Y,first,48,50,A,27,47,D,,,,,,,1,0,1,Y
286,N,first,65,49,A,89,81,F,24,F,26,F,B,D,18,8,5,N
287,N,third,13,27,D,26,43,D,55,C,45,C,D,C,26,14,7,N
288,N,third,9,10,A,13,56,B,44,B,27,B,D,C,4,3,1,N
289,Y,third,73,92,B,56,60,F,70,F,83,B,A,C,8,5,1,N
290,N,first,44,27,C,33,38,F,94,B,85,A,A,A,15,22,7,N
291,Y,first,30,26,A,98,21,B,84,D,32,A,B,C,16,11,8,N
292,Y,first,97,68,D,68,9,B,49,B,54,F,C,F,15,11,3,N
293,N,third,3,15,F,2,32,B,31,D,27,A,B,D,0,3,2,N
294,Y,third,2,16,A,12,55,C,44,D,26,C,C,A,4,2,2,N
295,Y,second,93,90,A,73,18,C,23,F,86,A,B,B,15,10,3,N
296,N,second,2,9,F,8,28,B,26,F,20,A,C,A,1,3,1,N
297,N,third,94,68,C,73,71,B,42,A,39,A,A,C,9,11,3,N
298,Y,third,97,35,B,46,82,B,37,D,,,,,4,4,0,Y
299,Y,third,8,4,A,10,12,F,37,B,29,D,C,C,0,3,1,N
300,N,third,35,56,D,76,83,C,,,,,,,4,2,0,Y
301,N,second,7,17,F,48,31,C,47,A,95,A,F,C,9,8,8,N
302,Y,first,20,40,C,21,39,C,,,,,,,4,1,1,Y
303,N,third,3,16,F,8,48,B,37,A,27,A,A,D,4,2,1,N
304,Y,second,13,53,A,83,69,A,94,F,65,C,C,A,13,5,3,N
305,N,second,4,13,B,,,,,,,,,,5,0,0,Y
306,Y,third,18,6,D,,,,,,,,,,4,1,0,Y
307,Y,first,28,8,D,,,,,,,,,,3,1,1,Y
308,Y,third,7,9,F,8,26,D,47,A,28,A,C,B,1,3,2,N
309,Y,second,93,46,C,18,56,A,78,D,9,F,A,A,8,5,4,N
310,N,third,12,8,F,,,,,,,,,,6,2,1,Y
311,Y,second,8,0,F,,,,,,,,,,2,0,1,Y
312,Y,second,82,68,A,82,37,B,21,F,53,A,F,A,14,7,4,N
313,N,third,4,3,F,33,42,B,85,C,57,B,B,C,27,5,4,N
314,Y,first,54,26,C,55,8,F,,,,,,,1,2,1,Y
315,N,second,4,11,A,8,51,C,28,B,24,B,B,A,1,3,2,N
316,Y,third,75,68,A,72,83,A,33,B,49,A,A,A,12,7,2,N
317,Y,third,60,57,A,99,66,A,26,F,57,C,F,A,12,7,3,N
318,N,third,59,65,C,78,99,D,,,,,,,0,0,2,Y
319,N,third,3,11,B,3,16,B,32,A,20,A,A,C,0,2,2,N
320,N,third,2,9,B,11,26,C,37,B,23,A,D,C,1,3,2,N
321,N,second,9,25,D,49,36,D,88,C,77,D,A,D,3,10,6,N
322,N,third,6,12,A,2,30,B,47,D,26,B,F,A,0,3,1,N
323,N,first,10,21,F,31,36,C,47,C,77,B,B,B,12,19,6,N
324,Y,first,57,2,A,24,6,D,45,A,15,F,C,D,1,6,2,Y
325,Y,first,51,22,C,58,19,D,,,,,,,0,2,0,Y
326,N,second,8,23,D,45,53,D,50,F,30,D,B,D,6,11,4,N
327,Y,third,2,20,D,4,51,C,17,D,27,C,A,F,11,4,1,Y
328,Y,first,20,78,F,15,48,F,18,D,,,,,4,2,0,Y
329,N,third,8,1,A,13,49,C,47,A,25,F,D,A,3,3,1,N
330,Y,third,67,63,F,68,50,A,78,B,89,C,F,A,7,7,5,N
331,Y,first,16,81,D,98,2,A,47,D,10,A,F,A,3,11,3,N
332,Y,third,55,75,A,72,76,A,92,F,64,A,F,A,10,8,5,N
333,N,second,18,8,F,21,32,F,66,C,96,A,D,D,24,17,4,N
334,N,second,6,19,F,28,35,F,77,B,92,C,F,D,12,10,4,N
335,N,third,5,12,A,13,42,C,49,A,29,A,C,A,0,1,2,N
336,N,third,9,2,F,13,17,A,27,F,26,D,A,D,4,1,1,N
337,Y,third,77,93,C,77,58,B,68,B,79,F,A,C,3,5,3,N
338,N,third,5,15,A,8,32,F,27,B,27,D,A,C,3,3,2,N
339,Y,third,6,3,A,13,19,A,47,A,27,B,A,A,4,2,1,N
340,N,third,80,35,F,62,92,B,38,B,53,A,A,B,13,3,1,N
341,N,third,3,14,A,5,40,B,31,D,25,B,C,C,2,2,2,N
342,N,third,44,56,D,31,15,B,94,B,,,,,6,1,2,Y
343,N,third,75,57,B,83,5,A,29,A,31,A,A,C,5,4,4,N
344,Y,third,35,42,A,28,12,F,,,,,,,0,1,1,Y
345,Y,third,77,94,F,80,51,A,28,A,55,A,B,A,19,4,5,N
346,Y,first,6,15,D,,,,,,,,,,1,0,0,Y
347,N,third,8,6,A,2,33,C,45,D,26,A,A,D,0,3,1,N
348,Y,second,4,74,F,13,38,D,14,F,,,,,3,3,0,Y
349,Y,first,21,34,F,,,,,,,,,,1,1,0,Y
350,N,first,47,11,D,44,78,A,70,F,80,B,C,D,6,23,3,N
351,N,second,17,4,D,56,36,D,58,A,98,B,B,B,13,15,5,N
352,N,second,29,68,B,58,78,C,,,,,,,6,2,2,Y
353,Y,second,98,54,B,46,56,A,57,C,62,A,F,A,12,3,1,N
354,Y,second,22,36,D,40,33,F,,,,,,,3,1,1,Y
355,N,third,68,66,A,83,83,D,,,,,,,3,3,1,Y
356,N,third,7,1,B,8,14,A,41,A,22,B,A,D,4,1,2,N
357,N,third,7,10,A,9,21,A,44,B,24,A,B,A,0,3,1,N
358,Y,third,27,63,F,60,45,B,61,F,71,D,D,B,9,6,5,N
359,N,third,77,70,A,82,92,A,66,F,82,F,B,A,8,18,6,N
360,N,second,43,67,A,54,91,D,,,,,,,2,3,1,Y
361,Y,first,15,1,D,,,,,,,,,,2,0,0,Y
362,Y,first,8,11,D,51,31,D,86,D,73,F,F,B,12,15,6,N
363,N,third,6,34,B,,,,,,,,,,2,2,1,Y
364,Y,first,54,51,B,55,1,D,,,,,,,0,2,0,Y
365,Y,third,86,78,B,56,42,A,80,A,48,D,D,A,7,6,2,N
366,N,second,99,89,A,47,11,B,0,F,88,A,F,D,10,8,4,N
367,Y,second,50,32,B,59,10,F,,,,,,,1,1,1,Y
368,N,third,51,29,D,62,45,C,13,B,33,C,B,F,1,6,7,N
369,Y,third,76,77,A,69,67,B,49,F,91,D,C,A,5,9,2,N
370,Y,second,29,57,D,14,21,F,,,,,,,3,1,0,Y
371,Y,first,28,29,D,64,2,C,19,F,19,B,C,F,14,5,1,Y
372,N,third,2,6,A,4,26,D,47,A,27,A,D,A,4,1,1,N
