,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout,test 1_numeric,test 2_numeric,test 3_numeric,ind cw_numeric,group cw_numeric,final grade_numeric,attendance_quality,attendance_rate,attendance_score,forum_engagement,engagement_score,last_test_before_dropout,avg_test_score,engagement_level
33,0,third,1.0,6.0,A,3.0,39.0,A,33.0,A,22.0,A,F,C,2,2,2,0,4.0,4.0,4.0,4.0,0.0,2.0,0.1733333333333333,1.0,0.1733333333333333,4,0.15664302600472813,,4.0,very low
34,0,third,6.0,2.0,F,4.0,49.0,D,33.0,B,21.0,B,A,A,3,2,1,0,0.0,1.0,3.0,3.0,4.0,4.0,0.19166666666666668,1.0,0.19166666666666668,5,0.14997044917257685,,1.3333333333333333,very low
35,1,second,57.0,4.0,D,70.0,5.0,D,64.0,C,70.0,F,F,F,12,0,3,1,1.0,1.0,2.0,0.0,0.0,0.0,0.45,1.0,0.45,12,0.3682624113475177,2.0,,low
36,0,third,86.0,76.0,B,82.0,41.0,C,65.0,F,83.0,F,F,B,16,3,2,0,3.0,2.0,0.0,0.0,0.0,3.0,0.7216666666666667,1.0,0.7216666666666667,19,0.5265543735224586,,1.6666666666666667,high
37,0,third,13.0,8.0,F,,,,,,,,,,3,2,1,1,0.0,,,,,,0.105,0.3333333333333333,0.034999999999999996,5,0.0716371158392435,0.0,,very low
38,0,third,52.0,18.0,A,50.0,20.0,C,79.0,F,,,,,3,2,2,1,4.0,2.0,0.0,,,,0.43799999999999994,0.8333333333333334,0.365,5,0.2588593380614657,0.0,,low
39,0,third,40.0,62.0,C,64.0,9.0,F,,,,,,,0,3,1,1,2.0,0.0,,,,,0.4375,0.6666666666666666,0.29166666666666663,3,0.1872044917257683,0.0,,low
40,0,third,6.0,7.0,D,59.0,34.0,F,49.0,A,75.0,A,A,C,29,17,7,0,1.0,0.0,4.0,4.0,4.0,2.0,0.38333333333333336,1.0,0.38333333333333336,46,0.6408392434988179,,1.6666666666666667,high
41,0,first,65.0,56.0,C,11.0,7.0,F,10.0,C,66.0,C,B,F,16,24,7,0,2.0,0.0,2.0,2.0,3.0,0.0,0.35833333333333334,1.0,0.35833333333333334,40,0.5900413711583924,,1.3333333333333333,high
42,0,third,12.0,3.0,F,50.0,42.0,D,70.0,D,68.0,C,A,C,7,14,5,0,0.0,1.0,1.0,2.0,4.0,2.0,0.4083333333333334,1.0,0.4083333333333334,21,0.44932033096926716,,0.6666666666666666,medium
43,0,third,90.0,44.0,A,89.0,4.0,A,47.0,A,52.0,A,B,D,10,9,5,0,4.0,4.0,4.0,4.0,3.0,1.0,0.5433333333333333,1.0,0.5433333333333333,19,0.5040543735224586,,4.0,high
44,1,first,44.0,79.0,A,81.0,,C,43.0,F,,,,,0,3,1,1,4.0,2.0,0.0,,,,0.6175,0.6666666666666666,0.4116666666666667,3,0.24720449172576833,0.0,,low
45,1,third,1.0,87.0,F,76.0,46.0,B,2.0,D,23.0,C,B,D,11,4,1,1,0.0,3.0,1.0,2.0,3.0,1.0,0.39166666666666666,1.0,0.39166666666666666,15,0.31380023640661936,1.0,,low
46,1,third,10.0,45.0,F,,,,,,,,,,4,0,0,1,0.0,,,,,,0.275,0.3333333333333333,0.09166666666666667,4,0.07136524822695035,0.0,,very low
47,0,second,13.0,13.0,F,26.0,47.0,F,97.0,C,84.0,B,B,C,11,17,8,0,0.0,0.0,2.0,3.0,3.0,2.0,0.4666666666666666,1.0,0.4666666666666666,28,0.5898345153664303,,0.6666666666666666,high
48,0,second,49.0,66.0,D,11.0,97.0,A,74.0,C,10.0,A,A,C,14,15,2,0,1.0,4.0,2.0,4.0,4.0,2.0,0.5116666666666666,1.0,0.5116666666666666,29,0.48538416075650115,,2.3333333333333335,medium
49,1,third,59.0,47.0,C,27.0,16.0,F,,,,,,,0,2,0,1,2.0,0.0,,,,,0.3725,0.6666666666666666,0.24833333333333332,2,0.13693262411347518,0.0,,very low
50,1,first,23.0,1.0,F,,,,,,,,,,2,1,1,1,0.0,,,,,,0.12,0.3333333333333333,0.039999999999999994,3,0.06137115839243498,0.0,,very low
51,0,second,5.0,9.0,F,11.0,26.0,D,34.0,D,21.0,A,A,C,2,1,2,0,0.0,1.0,1.0,4.0,4.0,2.0,0.17666666666666667,1.0,0.17666666666666667,3,0.15192671394799054,,0.6666666666666666,very low
52,1,first,54.0,52.0,D,75.0,56.0,B,41.0,A,90.0,F,C,A,14,7,3,0,1.0,3.0,4.0,0.0,2.0,4.0,0.6133333333333334,1.0,0.6133333333333334,21,0.5073758865248227,,2.6666666666666665,high
53,1,first,59.0,56.0,D,43.0,20.0,F,,,,,,,0,2,0,1,1.0,0.0,,,,,0.445,0.6666666666666666,0.29666666666666663,2,0.16109929078014182,0.0,,very low
54,0,first,43.0,69.0,F,8.0,68.0,D,88.0,B,53.0,B,F,D,19,20,1,0,0.0,1.0,3.0,3.0,0.0,1.0,0.5483333333333333,1.0,0.5483333333333333,39,0.5453250591016549,,1.3333333333333333,high
55,0,third,17.0,6.0,F,,,,,,,,,,6,0,0,1,0.0,,,,,,0.115,0.3333333333333333,0.03833333333333333,6,0.05746453900709219,0.0,,very low
56,1,third,95.0,66.0,F,67.0,51.0,B,31.0,A,44.0,F,B,A,8,3,2,0,0.0,3.0,4.0,0.0,3.0,4.0,0.59,1.0,0.59,11,0.40965721040189124,,2.3333333333333335,medium
57,1,third,52.0,35.0,A,52.0,13.0,F,,,,,,,0,0,0,1,4.0,0.0,,,,,0.38,0.6666666666666666,0.2533333333333333,0,0.12666666666666665,0.0,,very low
58,1,first,17.0,17.0,D,41.0,33.0,F,51.0,B,28.0,C,B,B,24,5,4,0,1.0,0.0,3.0,2.0,3.0,3.0,0.3116666666666667,1.0,0.3116666666666667,29,0.4298286052009457,,1.3333333333333333,medium
59,1,second,41.0,54.0,F,62.0,55.0,A,45.0,D,93.0,C,F,B,7,7,2,0,0.0,4.0,1.0,2.0,0.0,3.0,0.5833333333333334,1.0,0.5833333333333334,14,0.4254728132387707,,1.6666666666666667,medium
60,0,third,26.0,71.0,F,20.0,30.0,A,83.0,F,,,,,3,1,1,1,0.0,4.0,0.0,,,,0.46,0.8333333333333334,0.38333333333333336,4,0.23942080378250594,0.0,,low
61,0,first,46.0,82.0,B,14.0,56.0,F,16.0,C,54.0,D,F,F,6,20,6,0,3.0,0.0,2.0,1.0,0.0,0.0,0.44666666666666666,1.0,0.44666666666666666,26,0.5226241134751772,,1.6666666666666667,high
62,0,second,2.0,7.0,A,11.0,8.0,B,40.0,B,21.0,C,F,B,0,1,1,0,4.0,3.0,3.0,2.0,0.0,3.0,0.14833333333333334,1.0,0.14833333333333334,1,0.10277186761229315,,3.3333333333333335,very low
63,1,third,44.0,58.0,F,88.0,41.0,B,57.0,B,97.0,D,A,A,15,6,5,0,0.0,3.0,3.0,1.0,4.0,4.0,0.6416666666666667,1.0,0.6416666666666667,21,0.5659869976359339,,2.0,high
64,0,third,3.0,15.0,A,8.0,40.0,C,29.0,D,24.0,F,A,A,2,1,2,0,4.0,2.0,1.0,0.0,4.0,4.0,0.19833333333333333,1.0,0.19833333333333333,3,0.16276004728132387,,2.3333333333333335,very low
65,0,third,24.0,37.0,B,,,,,,,,,,1,2,0,1,3.0,,,,,,0.305,0.3333333333333333,0.10166666666666666,3,0.0699822695035461,3.0,,very low
66,0,third,45.0,79.0,B,67.0,55.0,D,85.0,A,4.0,F,F,A,4,9,6,0,3.0,1.0,4.0,0.0,0.0,4.0,0.5583333333333333,1.0,0.5583333333333333,13,0.49547872340425536,,2.6666666666666665,high
67,1,third,30.0,59.0,D,17.0,30.0,F,,,,,,,2,1,1,1,1.0,0.0,,,,,0.34,0.6666666666666666,0.22666666666666668,3,0.15470449172576833,0.0,,very low
68,1,third,4.0,83.0,F,81.0,98.0,D,1.0,D,28.0,C,A,F,11,4,3,1,0.0,1.0,1.0,2.0,4.0,0.0,0.49166666666666664,1.0,0.49166666666666664,15,0.4082446808510638,1.0,,medium
69,0,third,5.0,10.0,F,3.0,21.0,A,38.0,A,28.0,A,B,A,2,1,2,0,0.0,4.0,4.0,4.0,3.0,4.0,0.175,1.0,0.175,3,0.1510933806146572,,2.6666666666666665,very low
70,1,second,62.0,36.0,A,14.0,16.0,A,28.0,D,,,,,5,1,1,1,4.0,4.0,1.0,,,,0.312,0.8333333333333334,0.26,6,0.19052009456264776,1.0,,low
71,1,first,34.0,79.0,A,88.0,64.0,C,41.0,F,55.0,C,A,A,14,5,5,0,4.0,2.0,0.0,2.0,4.0,4.0,0.6016666666666667,1.0,0.6016666666666667,19,0.5332210401891253,,2.0,high
72,1,second,19.0,57.0,F,43.0,33.0,C,69.0,B,60.0,A,B,A,6,19,3,0,0.0,2.0,3.0,4.0,3.0,4.0,0.4683333333333334,1.0,0.4683333333333334,25,0.46040780141843973,,1.6666666666666667,medium
73,1,second,22.0,20.0,F,,,,,,,,,,3,1,1,1,0.0,,,,,,0.21,0.3333333333333333,0.06999999999999999,4,0.08275413711583925,0.0,,very low
74,1,third,4.0,3.0,B,13.0,22.0,B,45.0,A,27.0,C,F,A,0,2,1,0,3.0,3.0,4.0,2.0,0.0,4.0,0.19,1.0,0.19,2,0.12998817966903073,,3.3333333333333335,very low
75,1,second,27.0,48.0,D,80.0,94.0,B,61.0,A,1.0,B,A,C,5,1,6,0,1.0,3.0,4.0,3.0,4.0,2.0,0.5183333333333333,1.0,0.5183333333333333,6,0.43079787234042555,,2.6666666666666665,medium
76,0,third,4.0,6.0,A,5.0,55.0,B,41.0,A,25.0,B,D,B,4,3,2,0,4.0,3.0,4.0,3.0,1.0,3.0,0.22666666666666668,1.0,0.22666666666666668,7,0.2024586288416076,,3.6666666666666665,low
77,0,third,7.0,37.0,B,,,,,,,,,,2,2,0,1,3.0,,,,,,0.22,0.3333333333333333,0.07333333333333333,4,0.06219858156028368,3.0,,very low
78,0,third,6.0,14.0,F,8.0,32.0,C,34.0,B,26.0,A,C,A,1,3,2,0,0.0,2.0,3.0,4.0,2.0,4.0,0.2,1.0,0.2,4,0.1699763593380615,,1.6666666666666667,low
79,1,second,88.0,50.0,A,58.0,24.0,D,7.0,F,63.0,D,C,A,16,11,5,0,4.0,1.0,0.0,1.0,2.0,4.0,0.48333333333333334,1.0,0.48333333333333334,27,0.5251182033096927,,1.6666666666666667,high
80,0,third,5.0,14.0,A,5.0,55.0,B,35.0,A,24.0,B,A,B,0,1,1,0,4.0,3.0,4.0,3.0,4.0,3.0,0.23,1.0,0.23,1,0.14360520094562648,,3.6666666666666665,very low
81,1,third,6.0,8.0,B,6.0,16.0,C,25.0,B,24.0,A,B,D,0,1,2,0,3.0,2.0,3.0,4.0,3.0,1.0,0.14166666666666666,1.0,0.14166666666666666,1,0.12166075650118202,,2.6666666666666665,very low
82,0,third,17.0,52.0,F,43.0,16.0,A,55.0,A,17.0,C,F,D,10,8,1,0,0.0,4.0,4.0,2.0,0.0,1.0,0.33333333333333337,1.0,0.33333333333333337,18,0.3037825059101655,,2.6666666666666665,low
83,1,second,51.0,41.0,A,64.0,4.0,F,,,,,,,1,0,1,1,4.0,0.0,,,,,0.4,0.6666666666666666,0.26666666666666666,1,0.16193853427895982,0.0,,very low
84,1,third,43.0,7.0,A,99.0,52.0,F,17.0,D,10.0,A,C,F,4,1,3,1,4.0,0.0,1.0,4.0,2.0,0.0,0.38,1.0,0.38,5,0.2885815602836879,1.0,,low
85,0,second,16.0,4.0,D,22.0,44.0,D,45.0,C,72.0,F,A,B,25,4,4,0,1.0,1.0,2.0,0.0,4.0,3.0,0.3383333333333334,1.0,0.3383333333333334,29,0.443161938534279,,1.3333333333333333,medium
86,1,third,48.0,3.0,B,66.0,71.0,F,43.0,D,55.0,A,F,D,9,5,3,0,3.0,0.0,1.0,4.0,0.0,1.0,0.4766666666666666,1.0,0.4766666666666666,14,0.39436170212765953,,1.3333333333333333,medium
87,1,second,41.0,54.0,D,44.0,12.0,F,,,,,,,2,0,0,1,1.0,0.0,,,,,0.3775,0.6666666666666666,0.25166666666666665,2,0.13859929078014183,0.0,,very low
88,0,third,88.0,54.0,C,84.0,74.0,A,72.0,F,88.0,D,A,A,16,10,3,0,2.0,4.0,0.0,1.0,4.0,4.0,0.7666666666666667,1.0,0.7666666666666667,26,0.6159574468085106,,2.0,high
89,1,first,47.0,15.0,B,68.0,67.0,B,15.0,D,,,,,8,2,0,1,3.0,3.0,1.0,,,,0.424,0.8333333333333334,0.35333333333333333,10,0.24049645390070923,1.0,,low
90,1,second,31.0,52.0,D,19.0,42.0,F,,,,,,,0,1,0,1,1.0,0.0,,,,,0.36,0.6666666666666666,0.24,1,0.12638297872340426,0.0,,very low
91,1,first,33.0,53.0,B,69.0,27.0,B,15.0,B,1.0,D,F,F,6,4,0,1,3.0,3.0,3.0,1.0,0.0,0.0,0.33,1.0,0.33,10,0.22882978723404257,3.0,,low
92,0,second,6.0,22.0,D,53.0,42.0,D,56.0,A,89.0,F,B,C,20,17,6,0,1.0,1.0,4.0,0.0,3.0,2.0,0.44666666666666666,1.0,0.44666666666666666,37,0.5928368794326241,,2.0,high
93,1,second,90.0,60.0,B,83.0,94.0,F,55.0,A,43.0,F,B,F,16,9,2,0,3.0,0.0,4.0,0.0,3.0,0.0,0.7083333333333333,1.0,0.7083333333333333,25,0.5581855791962174,,2.3333333333333335,high
94,0,second,3.0,2.0,F,12.0,34.0,F,40.0,B,24.0,A,F,A,3,2,1,0,0.0,0.0,3.0,4.0,0.0,4.0,0.19166666666666668,1.0,0.19166666666666668,5,0.14997044917257685,,1.0,very low
95,1,second,75.0,69.0,B,52.0,14.0,A,27.0,D,94.0,A,B,A,11,9,2,0,3.0,4.0,1.0,4.0,3.0,4.0,0.5516666666666666,1.0,0.5516666666666666,20,0.4479373522458629,,2.6666666666666665,medium
96,0,second,3.0,11.0,A,5.0,22.0,D,33.0,D,27.0,A,C,B,1,2,1,0,4.0,1.0,1.0,4.0,2.0,3.0,0.16833333333333333,1.0,0.16833333333333333,3,0.12553782505910166,,2.0,very low
97,1,first,21.0,75.0,C,88.0,55.0,C,28.0,A,36.0,F,D,D,4,4,1,1,2.0,2.0,4.0,0.0,1.0,1.0,0.505,1.0,0.505,8,0.32578605200945626,4.0,,low
98,1,second,73.0,15.0,B,61.0,37.0,A,89.0,F,43.0,D,B,C,13,4,3,0,3.0,4.0,0.0,1.0,3.0,2.0,0.53,1.0,0.53,17,0.440177304964539,,2.3333333333333335,medium
99,1,third,16.0,63.0,F,64.0,27.0,B,59.0,F,77.0,C,F,B,9,5,3,0,0.0,3.0,0.0,2.0,0.0,3.0,0.51,1.0,0.51,14,0.41102836879432625,,1.0,medium
100,1,third,84.0,80.0,A,35.0,47.0,A,42.0,D,39.0,B,F,D,14,3,0,1,4.0,4.0,1.0,3.0,0.0,1.0,0.545,1.0,0.545,17,0.38101063829787235,1.0,,medium
101,1,third,4.0,5.0,A,1.0,18.0,D,29.0,B,24.0,A,A,C,3,3,1,0,4.0,1.0,3.0,4.0,4.0,2.0,0.135,1.0,0.135,6,0.12802009456264776,,2.6666666666666665,very low
102,1,third,32.0,38.0,D,21.0,50.0,F,,,,,,,1,0,0,1,1.0,0.0,,,,,0.3525,0.6666666666666666,0.235,1,0.12388297872340424,0.0,,very low
103,0,third,5.0,3.0,D,20.0,51.0,D,56.0,C,92.0,A,C,B,9,19,7,0,1.0,1.0,2.0,4.0,2.0,3.0,0.37833333333333335,1.0,0.37833333333333335,28,0.5234456264775413,,1.3333333333333333,high
104,0,third,15.0,38.0,D,48.0,49.0,B,90.0,D,,,,,9,3,2,1,1.0,3.0,1.0,,,,0.48,0.8333333333333334,0.4,12,0.3210401891252955,1.0,,low
105,0,third,84.0,78.0,F,81.0,86.0,D,9.0,C,91.0,B,A,D,15,7,1,0,0.0,1.0,2.0,3.0,4.0,1.0,0.715,1.0,0.715,22,0.5201477541371159,,1.0,high
106,0,second,18.0,21.0,F,46.0,37.0,B,96.0,B,70.0,A,F,A,4,18,5,0,0.0,3.0,3.0,4.0,0.0,4.0,0.48,1.0,0.48,22,0.4915366430260047,,2.0,medium
107,1,first,14.0,57.0,A,95.0,75.0,A,66.0,B,64.0,F,F,B,8,7,4,0,4.0,4.0,3.0,0.0,0.0,3.0,0.6183333333333334,1.0,0.6183333333333334,15,0.4938002364066194,,3.6666666666666665,high
108,0,third,13.0,7.0,F,53.0,31.0,C,98.0,C,28.0,F,C,C,28,5,7,0,0.0,2.0,2.0,0.0,2.0,2.0,0.38333333333333336,1.0,0.38333333333333336,33,0.5578605200945627,,1.3333333333333333,high
109,1,third,82.0,90.0,D,29.0,55.0,C,6.0,A,24.0,C,A,A,5,4,1,0,1.0,2.0,4.0,2.0,4.0,4.0,0.4766666666666666,1.0,0.4766666666666666,9,0.3180023640661938,,2.3333333333333335,low
110,1,first,60.0,16.0,D,15.0,43.0,A,52.0,C,22.0,B,F,C,1,5,2,1,1.0,4.0,2.0,3.0,0.0,2.0,0.3466666666666666,1.0,0.3466666666666666,6,0.25607565011820327,2.0,,low
111,1,first,31.0,56.0,D,7.0,44.0,D,,,,,,,2,1,0,1,1.0,1.0,,,,,0.345,0.6666666666666666,0.22999999999999998,3,0.13414893617021276,1.0,,very low
112,1,third,27.0,43.0,C,,,,,,,,,,1,0,1,1,2.0,,,,,,0.35,0.3333333333333333,0.11666666666666665,1,0.08693853427895981,2.0,,very low
113,1,first,23.0,35.0,B,2.0,42.0,F,,,,,,,3,0,0,1,3.0,0.0,,,,,0.255,0.6666666666666666,0.16999999999999998,3,0.10414893617021276,0.0,,very low
114,1,third,92.0,96.0,A,47.0,6.0,C,21.0,D,,F,D,F,3,4,0,1,4.0,2.0,1.0,0.0,1.0,0.0,0.524,0.8333333333333334,0.4366666666666667,7,0.2630141843971631,1.0,,low
115,0,third,3.0,11.0,F,4.0,37.0,C,26.0,D,23.0,A,A,A,2,2,1,0,0.0,2.0,1.0,4.0,4.0,4.0,0.1733333333333333,1.0,0.1733333333333333,4,0.1344208037825059,,1.0,very low
116,1,third,95.0,71.0,A,43.0,28.0,F,57.0,A,84.0,F,F,D,15,4,4,0,4.0,0.0,4.0,0.0,0.0,1.0,0.63,1.0,0.63,19,0.5251654846335697,,2.6666666666666665,high
117,0,first,2.0,13.0,D,44.0,30.0,D,60.0,C,60.0,B,B,B,9,17,6,0,1.0,1.0,2.0,3.0,3.0,3.0,0.3483333333333334,1.0,0.3483333333333334,26,0.47345744680851065,,1.3333333333333333,medium
118,1,third,10.0,89.0,B,30.0,64.0,C,59.0,B,47.0,B,C,D,7,0,2,1,3.0,2.0,3.0,3.0,2.0,1.0,0.49833333333333335,1.0,0.49833333333333335,7,0.3382919621749409,3.0,,low
119,0,second,18.0,6.0,D,28.0,31.0,F,77.0,B,41.0,B,B,B,25,6,7,0,1.0,0.0,3.0,3.0,3.0,3.0,0.335,1.0,0.335,31,0.5209278959810875,,1.3333333333333333,high
120,0,first,15.0,16.0,D,55.0,47.0,B,55.0,A,79.0,C,B,C,26,18,4,0,1.0,3.0,4.0,2.0,3.0,2.0,0.445,1.0,0.445,44,0.5922399527186761,,2.6666666666666665,high
121,1,second,41.0,67.0,A,8.0,85.0,F,37.0,D,5.0,D,F,C,10,5,1,1,4.0,0.0,1.0,1.0,0.0,2.0,0.405,1.0,0.405,15,0.320466903073286,1.0,,low
122,0,second,2.0,6.0,A,4.0,55.0,F,25.0,F,28.0,D,F,A,4,3,2,0,4.0,0.0,0.0,1.0,0.0,4.0,0.2,1.0,0.2,7,0.18912529550827423,,1.3333333333333333,low
123,0,first,3.0,20.0,D,22.0,46.0,D,70.0,F,71.0,D,C,C,15,16,8,0,1.0,1.0,0.0,1.0,2.0,2.0,0.38666666666666666,1.0,0.38666666666666666,31,0.568983451536643,,0.6666666666666666,high
124,0,third,9.0,16.0,F,2.0,37.0,A,31.0,A,27.0,A,A,D,1,2,1,0,0.0,4.0,4.0,4.0,4.0,1.0,0.2033333333333333,1.0,0.2033333333333333,3,0.14303782505910165,,2.6666666666666665,very low
125,1,second,62.0,43.0,F,73.0,99.0,B,9.0,D,53.0,C,D,C,18,9,5,0,0.0,3.0,1.0,2.0,1.0,2.0,0.565,1.0,0.565,27,0.565951536643026,,1.3333333333333333,high
126,1,second,2.0,6.0,D,53.0,33.0,D,75.0,C,33.0,B,A,D,23,11,4,0,1.0,1.0,2.0,3.0,4.0,1.0,0.33666666666666667,1.0,0.33666666666666667,34,0.4742434988179669,,1.3333333333333333,medium
