,External,Year,session 1,session 2,test 1
276,Y,second,45,36,C
277,N,second,2,22,F
278,N,third,96,63,A
279,N,first,6,5,F
280,N,third,3,14,A
281,Y,third,32,40,C
282,Y,first,16,15,D
283,Y,second,80,82,C
284,N,third,68,78,F
285,Y,first,48,50,A
286,N,first,65,49,A
287,N,third,13,27,D
288,N,third,9,10,A
289,Y,third,73,92,B
290,N,first,44,27,C
291,Y,first,30,26,A
292,Y,first,97,68,D
293,N,third,3,15,F
294,Y,third,2,16,A
295,Y,second,93,90,A
296,N,second,2,9,F
297,N,third,94,68,C
298,Y,third,97,35,B
299,Y,third,8,4,A
300,N,third,35,56,D
301,N,second,7,17,F
302,Y,first,20,40,C
303,N,third,3,16,F
304,Y,second,13,53,A
305,N,second,4,13,B
306,Y,third,18,6,D
307,Y,first,28,8,D
308,Y,third,7,9,F
309,Y,second,93,46,C
310,N,third,12,8,F
311,Y,second,8,0,F
312,Y,second,82,68,A
313,N,third,4,3,F
314,Y,first,54,26,C
315,N,second,4,11,A
316,Y,third,75,68,A
317,Y,third,60,57,A
318,N,third,59,65,C
319,N,third,3,11,B
320,N,third,2,9,B
321,N,second,9,25,D
322,N,third,6,12,A
323,N,first,10,21,F
324,Y,first,57,2,A
325,Y,first,51,22,C
326,N,second,8,23,D
327,Y,third,2,20,D
328,Y,first,20,78,F
329,N,third,8,1,A
330,Y,third,67,63,F
331,Y,first,16,81,D
332,Y,third,55,75,A
333,N,second,18,8,F
334,N,second,6,19,F
335,N,third,5,12,A
336,N,third,9,2,F
337,Y,third,77,93,C
338,N,third,5,15,A
339,Y,third,6,3,A
340,N,third,80,35,F
341,N,third,3,14,A
342,N,third,44,56,D
343,N,third,75,57,B
344,Y,third,35,42,A
345,Y,third,77,94,F
346,Y,first,6,15,D
347,N,third,8,6,A
348,Y,second,4,74,F
349,Y,first,21,34,F
350,N,first,47,11,D
351,N,second,17,4,D
352,N,second,29,68,B
353,Y,second,98,54,B
354,Y,second,22,36,D
355,N,third,68,66,A
356,N,third,7,1,B
357,N,third,7,10,A
358,Y,third,27,63,F
359,N,third,77,70,A
360,N,second,43,67,A
361,Y,first,15,1,D
362,Y,first,8,11,D
363,N,third,6,34,B
364,Y,first,54,51,B
365,Y,third,86,78,B
366,N,second,99,89,A
367,Y,second,50,32,B
368,N,third,51,29,D
369,Y,third,76,77,A
370,Y,second,29,57,D
371,Y,first,28,29,D
372,N,third,2,6,A
373,Y,second,30,60,D
374,Y,second,97,57,C
375,N,third,62,56,C
376,Y,first,43,17,D
377,Y,second,75,76,A
378,Y,third,44,63,A
379,N,third,2,3,B
380,N,second,8,17,F
381,Y,first,28,58,B
382,N,third,7,7,F
383,N,first,50,84,D
384,N,second,9,23,D
385,Y,second,48,12,A
386,N,second,96,67,F
387,Y,first,43,46,D
388,N,third,3,2,A
389,N,second,95,13,F
390,Y,first,0,6,F
391,Y,second,18,9,D
392,Y,second,65,75,A
393,Y,first,18,29,B
394,Y,second,54,29,A
395,N,first,4,4,F
396,N,second,1,27,F
397,Y,first,3,34,F
398,N,second,3,3,B
399,N,second,59,23,A
400,N,third,11,7,B
401,Y,third,44,65,A
402,Y,first,23,70,A
403,Y,third,48,52,A
404,Y,second,38,39,D
405,Y,third,33,56,D
406,Y,third,24,75,F
407,Y,first,99,67,A
408,Y,first,24,51,F
409,Y,second,59,34,C
410,Y,second,58,59,F
411,N,third,3,16,B
412,Y,third,14,55,B
413,Y,third,57,31,A
414,Y,second,52,41,C
415,Y,first,46,66,A
416,Y,third,89,18,B
417,Y,first,41,35,D
418,N,third,24,38,F
419,N,third,4,27,D
420,Y,second,71,60,F
421,Y,first,36,26,F
422,Y,second,12,1,F
423,Y,second,73,52,B
424,Y,second,79,77,D
425,N,first,15,3,F
426,N,third,84,17,B
427,Y,first,91,30,A
428,N,second,4,4,F
429,N,third,7,8,A
430,Y,third,73,57,C
431,Y,second,6,76,B
432,N,second,8,16,A
433,N,second,19,14,D
434,Y,third,56,57,B
435,Y,second,42,37,F
436,N,second,9,3,B
437,Y,first,75,57,D
438,N,third,5,6,A
439,N,second,48,54,A
440,Y,third,44,71,F
441,Y,first,94,37,D
442,Y,third,7,7,C
443,Y,first,11,15,F
444,Y,third,70,37,A
445,N,first,67,74,D
446,N,first,5,26,F
447,N,first,77,86,D
448,N,second,5,12,B
449,Y,second,6,10,F
450,Y,second,70,1,B
451,Y,first,30,52,B
452,Y,third,23,77,A
453,Y,first,75,71,A
454,Y,first,3,6,D
455,Y,third,75,31,A
456,Y,third,43,68,B
457,Y,second,59,16,A
458,Y,second,15,3,F
459,N,second,4,7,A
460,Y,first,16,18,B
461,Y,first,84,54,A
462,Y,first,24,28,B
463,Y,first,16,8,D
464,N,first,91,51,A
465,N,second,6,5,F
466,N,third,5,10,F
467,Y,first,15,26,F
468,N,first,6,15,F
469,Y,second,8,2,B
470,N,third,16,16,F
471,Y,first,58,44,A
472,Y,first,35,10,A
473,N,third,11,20,F
474,N,first,67,35,C
475,Y,third,46,76,F
476,Y,third,19,48,D
477,Y,third,49,65,F
478,Y,third,14,22,A
479,N,second,17,24,F
480,N,third,28,76,D
481,Y,first,10,17,F
482,Y,second,73,69,F
483,Y,first,26,97,D
484,Y,second,87,33,A
485,N,third,2,40,A
486,Y,first,66,66,A
487,Y,third,70,66,D
488,N,second,4,12,B
489,Y,first,52,36,A
490,Y,third,85,65,D
491,N,second,67,67,A
492,N,first,2,26,D
493,N,first,71,2,D
494,Y,third,58,78,F
495,Y,second,4,16,A
496,Y,second,71,85,A
497,Y,third,4,10,B
498,N,second,71,70,C
499,N,second,70,66,B
500,Y,second,57,59,C
501,Y,third,62,59,D
502,Y,second,28,50,D
503,Y,second,27,10,D
504,Y,third,57,66,B
505,Y,third,45,50,A
506,Y,second,97,37,B
507,Y,first,10,21,F
508,Y,third,42,7,B
509,N,second,5,12,F
510,Y,first,19,12,F
511,Y,first,8,11,F
512,Y,first,26,68,B
513,N,third,3,15,F
514,Y,second,96,53,C
515,Y,third,25,54,B
516,N,third,61,62,B
517,Y,first,14,94,C
518,N,first,9,11,F
519,Y,third,55,52,D
520,Y,second,8,8,D
521,Y,first,12,5,F
522,Y,third,77,51,A
523,Y,first,3,24,F
524,Y,first,14,27,F
525,N,third,46,79,A
526,Y,third,11,73,B
527,Y,third,12,68,F
528,Y,third,1,79,A
529,N,second,4,32,B
530,N,second,20,74,B
531,Y,second,76,82,F
532,Y,third,78,72,F
533,Y,second,17,20,F
534,N,third,3,96,F
535,Y,third,49,54,D
536,Y,third,64,10,B
537,Y,third,16,76,F
538,Y,second,84,74,A
539,Y,second,56,51,B
540,Y,second,95,63,C
541,N,first,93,79,C
542,Y,second,41,12,F
543,N,third,32,68,A
544,N,third,7,25,F
545,Y,first,55,25,C
546,N,first,18,12,D
547,Y,third,59,70,C
548,Y,third,35,56,B
549,Y,third,31,97,A
550,Y,first,50,36,D
551,Y,first,58,25,A
552,Y,third,18,23,D
553,Y,third,32,44,A
554,N,second,33,67,A
555,N,third,80,38,C
556,Y,second,60,57,B
557,Y,third,77,70,A
558,Y,first,66,7,A
559,Y,third,34,73,A
560,N,second,70,15,B
561,Y,first,53,98,B
562,Y,third,8,23,A
563,N,third,94,55,A
564,Y,second,41,48,C
565,N,third,9,4,A
566,N,third,6,11,A
567,Y,second,53,43,D
568,N,third,13,23,F
569,Y,first,61,86,A
570,Y,third,5,14,C
571,Y,first,52,28,D
572,Y,third,5,10,F
573,Y,third,1,4,A
574,Y,second,86,66,C
575,N,second,29,21,A
576,Y,second,53,62,A
577,N,second,18,25,F
578,Y,third,54,85,D
579,Y,third,39,66,B
580,N,third,5,13,A
581,Y,first,84,14,F
582,N,third,56,80,A
583,Y,third,66,69,F
584,N,first,7,4,D
585,Y,first,69,35,D
586,N,third,8,16,B
587,N,first,2,18,F
588,Y,third,53,66,A
589,Y,first,2,57,A
590,N,second,62,92,C
591,Y,third,9,12,A
592,Y,third,61,62,D
593,Y,third,47,9,A
594,N,second,77,33,F
595,N,first,13,13,F
596,Y,third,67,62,C
597,Y,third,40,73,B
598,Y,first,67,49,A
599,Y,third,13,57,F
600,Y,first,69,77,C
601,Y,first,54,49,A
602,N,first,40,36,C
603,Y,third,91,51,B
604,N,second,1,1,A
605,N,first,81,56,A
606,Y,third,23,35,A
607,Y,first,58,15,A
608,Y,third,42,75,C
609,Y,third,8,23,D
610,Y,third,74,68,F
611,Y,first,84,32,B
612,Y,second,58,54,B
613,N,third,40,50,B
614,Y,third,50,27,B
615,N,third,2,7,F
616,N,third,10,1,F
617,Y,third,16,58,C
618,N,third,3,10,F
619,Y,second,30,37,B
620,Y,third,56,10,C
621,N,first,10,20,F
622,Y,second,15,13,D
623,Y,second,1,6,F
624,Y,third,31,42,D
625,Y,third,61,78,B
626,Y,third,86,3,A
627,Y,second,26,26,C
628,Y,first,8,23,F
629,N,third,95,80,A
630,N,second,12,12,D
631,N,third,6,7,A
632,Y,third,59,86,D
633,Y,second,23,27,B
634,Y,first,18,8,A
635,Y,second,18,63,B
636,N,second,19,2,D
637,Y,second,13,24,D
638,Y,first,97,35,C
639,Y,third,80,52,A
640,N,second,5,3,A
641,Y,second,51,31,D
642,Y,second,94,78,D
643,Y,first,19,14,C
644,Y,first,24,15,A
645,N,second,99,38,D
646,Y,third,10,55,A
647,Y,second,25,13,D
648,N,second,46,61,A
649,Y,second,88,14,D
650,N,third,14,18,D
651,Y,second,17,81,A
652,Y,third,69,31,A
653,Y,second,30,21,F
654,N,third,8,6,F
655,N,third,27,49,C
656,N,third,75,74,F
657,N,second,71,94,F
658,N,second,95,84,A
659,Y,second,8,7,A
660,Y,third,67,62,C
661,N,first,4,23,D
662,Y,second,17,28,F
663,Y,third,16,77,B
664,Y,second,52,98,D
665,N,third,8,9,A
666,N,third,9,12,A
667,N,second,19,16,D
668,Y,third,45,58,B
669,N,first,72,78,B
670,N,second,9,7,F
671,Y,second,76,27,D
672,N,first,3,9,D
673,Y,third,77,71,C
674,Y,second,19,14,F
675,N,second,34,9,B
676,N,first,5,23,D
677,Y,third,53,43,C
678,Y,third,48,73,C
679,Y,third,43,22,B
680,Y,first,6,86,F
681,Y,second,27,57,C
682,Y,third,19,26,D
683,N,third,8,1,F
684,N,third,8,14,A
685,Y,third,67,58,D
686,N,third,8,15,A
687,N,second,12,76,F
688,N,first,10,27,F
689,Y,first,82,81,C
690,N,first,12,7,F
691,Y,second,54,46,C
692,N,second,88,43,C
693,Y,third,39,44,D
694,Y,third,10,46,B
695,N,second,3,6,D
696,Y,third,20,32,A
697,N,second,5,15,A
698,N,second,2,17,F
699,N,first,63,96,D
700,Y,second,45,75,B
701,N,third,20,43,A
702,Y,first,70,99,D
703,N,first,96,47,A
704,Y,first,82,84,A
705,Y,second,9,33,C
706,Y,first,46,37,B
707,Y,second,78,59,B
708,Y,third,97,87,C
709,N,third,63,73,A
710,Y,second,57,27,B
711,N,first,10,12,D
712,Y,third,25,76,A
713,N,second,18,12,D
714,N,first,67,76,A
715,Y,first,58,31,B
716,N,second,23,6,B
717,Y,second,95,34,C
718,Y,second,87,2,A
719,Y,second,48,64,A
720,N,second,97,33,A
721,Y,third,1,6,F
722,N,second,94,33,A
723,Y,third,59,99,A
724,N,second,8,6,B
725,Y,second,80,76,A
726,N,first,96,90,A
727,Y,third,83,70,A
728,N,second,16,0,B
729,N,third,6,6,B
730,N,third,19,29,F
731,Y,second,93,38,D
732,N,third,89,6,A
733,Y,third,14,52,A
734,Y,second,35,60,A
735,Y,third,37,6,D
736,Y,first,17,0,F
737,N,third,19,31,B
738,Y,second,92,53,A
739,N,third,86,47,A
740,N,first,12,20,D
741,N,second,60,92,A
742,N,second,96,65,A
743,Y,third,53,20,C
744,Y,second,88,65,F
745,Y,third,12,10,D
746,N,second,64,62,A
747,Y,second,37,57,A
748,Y,first,56,46,B
749,Y,third,7,11,F
750,N,third,59,58,B
751,Y,first,90,79,A
752,Y,first,23,9,B
753,N,third,5,20,C
754,N,third,77,63,A
755,Y,first,24,95,A
756,N,third,68,79,C
757,Y,second,86,45,A
758,N,second,1,2,B
759,Y,second,86,41,B
760,Y,second,95,45,C
761,Y,first,66,13,A
762,Y,third,10,71,A
763,N,third,2,15,F
764,Y,third,69,55,C
765,Y,third,9,65,B
766,Y,third,88,46,B
767,Y,second,40,25,B
768,Y,second,92,49,F
769,N,first,6,17,F
770,N,first,63,38,F
771,N,first,80,10,D
772,Y,first,89,41,A
773,Y,first,22,38,B
774,N,third,26,66,C
775,Y,second,25,27,B
776,Y,third,44,51,F
777,Y,second,70,71,C
778,Y,second,9,2,B
779,N,third,5,4,A
780,Y,second,27,50,C
781,N,third,90,96,B
782,N,third,11,16,F
783,N,third,6,8,B
784,N,first,7,8,D
785,Y,third,79,5,D
786,Y,third,92,91,D
787,Y,third,33,35,A
788,N,third,7,13,F
789,N,third,7,4,F
790,Y,third,25,75,D
791,Y,third,41,51,A
792,Y,third,55,71,F
793,Y,third,64,68,A
794,Y,first,52,27,C
795,N,third,8,14,B
796,Y,third,41,51,B
797,Y,third,36,39,D
798,Y,second,6,3,B
799,Y,third,14,22,F
800,N,third,1,10,A
801,N,second,27,98,B
802,Y,third,31,40,F
803,N,second,6,8,A
804,Y,first,1,3,F
805,Y,second,79,98,C
806,N,third,8,41,A
807,N,first,73,89,A
808,N,second,1,8,B
809,N,second,79,38,C
810,Y,second,29,75,A
811,Y,third,62,57,A
812,Y,second,79,10,C
813,Y,first,6,23,F
814,Y,third,53,14,F
815,Y,second,80,3,B
816,Y,third,40,56,F
817,N,third,97,94,B
818,N,second,1,3,F
819,N,third,8,8,F
820,Y,first,47,51,A
821,N,third,44,23,C
822,Y,first,54,28,C
823,Y,second,5,27,F
824,N,first,5,20,D
825,Y,third,38,78,B
826,N,second,15,5,D
827,N,third,5,12,A
828,Y,first,7,15,A
829,Y,third,53,20,A
830,Y,second,57,51,F
831,N,third,9,12,A
832,N,second,42,49,C
833,Y,third,75,92,C
834,Y,third,66,62,F
835,N,second,64,37,A
836,Y,third,41,57,B
837,N,third,82,25,D
838,Y,second,1,25,D
839,Y,first,4,76,C
840,Y,first,48,50,D
841,Y,third,6,13,B
842,N,third,18,22,F
843,Y,first,9,7,C
844,N,second,24,50,B
845,Y,first,43,38,B
846,Y,second,33,59,C
847,Y,third,46,79,B
848,Y,third,4,15,F
849,Y,third,34,53,C
850,N,second,66,99,D
851,Y,first,3,18,D
852,Y,second,58,50,A
853,N,third,5,1,A
854,N,first,78,61,B
855,Y,third,25,30,C
856,Y,first,85,72,F
857,N,third,7,8,F
858,Y,second,14,6,B
859,Y,third,55,36,C
860,Y,third,93,75,C
861,Y,first,92,14,B
862,N,second,99,86,D
863,Y,third,36,14,D
864,Y,third,24,53,F
865,Y,third,13,82,B
866,Y,second,51,40,A
867,Y,third,94,24,D
868,N,third,5,10,F
869,N,second,95,43,C
870,Y,first,36,39,C
871,Y,first,40,50,F
872,N,third,8,12,F
873,N,first,16,2,F
874,N,second,84,96,F
875,Y,third,85,79,A
876,Y,second,85,52,C
877,Y,third,6,8,A
878,Y,first,56,31,B
879,Y,third,6,6,A
880,Y,second,73,75,F
881,Y,first,55,27,C
882,Y,third,18,43,F
883,N,first,25,85,D
884,N,first,20,43,F
885,Y,third,67,79,D
886,Y,third,11,39,C
887,Y,third,17,71,B
888,N,second,40,30,C
889,Y,first,11,17,F
890,Y,third,55,68,F
891,Y,third,20,59,D
892,N,third,10,11,D
893,Y,second,3,12,F
894,N,first,33,62,C
895,Y,second,10,57,F
896,N,third,8,2,A
897,N,second,51,12,C
898,Y,second,93,41,F
899,Y,third,94,17,B
900,Y,second,93,2,A
901,Y,third,2,16,A
902,N,third,5,2,F
903,N,first,1,23,D
904,N,second,3,4,D
905,Y,third,92,17,D
906,Y,first,16,16,F
907,Y,third,80,66,C
908,Y,third,23,47,D
909,Y,first,59,32,C
910,Y,second,7,43,F
911,Y,second,96,56,F
912,N,third,31,93,C
913,Y,first,29,5,C
914,Y,first,33,37,D
915,Y,second,77,70,C
916,Y,first,69,69,D
917,N,third,80,71,A
918,N,third,63,59,C
919,Y,first,76,71,B
920,N,third,91,84,D
921,Y,third,26,26,F
922,N,first,12,22,D
923,Y,third,65,15,A
924,Y,first,68,25,A
925,N,third,5,15,A
926,N,first,55,57,F
927,Y,first,8,1,F
928,N,second,69,59,A
929,Y,third,21,53,A
930,Y,third,59,38,C
931,Y,third,55,47,D
932,Y,second,6,14,B
933,N,third,9,16,B
934,Y,third,76,34,B
935,Y,third,39,63,F
936,Y,third,69,50,C
937,Y,third,97,34,A
938,N,third,9,14,A
939,Y,third,6,1,A
940,N,first,65,69,C
941,N,third,2,11,A
942,N,third,21,39,F
943,Y,first,7,61,A
944,N,second,89,72,B
945,Y,first,20,50,D
946,N,third,27,51,C
947,N,first,6,6,F
948,Y,second,3,10,F
949,Y,third,12,74,D
950,Y,second,31,48,A
951,Y,third,28,32,A
952,Y,third,21,45,D
953,Y,first,58,64,A
954,Y,third,18,64,B
955,N,third,6,13,A
956,Y,second,26,36,B
957,N,third,9,97,B
958,Y,first,71,2,D
959,Y,first,69,77,D
960,N,third,2,15,A
961,Y,third,38,58,F
962,N,second,92,92,D
963,Y,second,56,85,A
964,N,third,8,13,A
965,N,second,8,3,F
966,Y,second,4,4,F
967,Y,second,17,11,C
968,N,second,10,16,D
969,Y,third,61,68,B
970,N,third,1,16,A
971,Y,third,24,69,A
972,N,second,2,1,A
973,Y,first,62,61,C
974,Y,third,50,79,B
975,N,second,2,4,B
976,Y,third,35,58,D
977,Y,second,4,12,F
978,Y,first,14,14,F
979,Y,third,32,51,D
980,N,second,9,16,A
981,Y,first,15,66,A
982,Y,first,2,6,F
983,N,third,3,3,A
984,Y,third,6,2,F
985,Y,third,18,14,B
986,N,second,49,79,A
987,N,third,47,97,D
988,Y,third,7,5,A
989,Y,second,57,55,D
990,Y,third,43,38,A
991,N,first,38,47,D
992,Y,third,33,39,C
993,Y,third,65,60,F
994,Y,second,96,34,A
995,Y,first,1,12,D
996,N,third,4,9,A
997,Y,third,62,76,F
998,N,third,8,13,A
999,N,third,3,13,A
1000,Y,third,57,55,F
1001,Y,second,2,6,A
1002,N,first,10,13,A
1003,N,third,54,66,C
1004,Y,first,22,22,C
1005,N,second,3,20,D
1006,Y,third,37,65,A
1007,Y,third,14,18,F
1008,Y,second,9,19,F
1009,N,third,2,10,A
1010,N,second,70,53,A
1011,N,third,4,5,A
1012,Y,second,19,15,D
1013,Y,third,35,11,A
1014,Y,third,63,60,A
1015,N,third,1,14,F
1016,Y,second,3,64,C
1017,Y,third,2,24,F
1018,Y,first,9,10,A
1019,Y,third,66,63,F
1020,Y,second,93,92,D
1021,Y,second,21,50,C
1022,N,second,5,22,F
1023,Y,third,56,63,A
1024,Y,first,30,78,F
1025,Y,second,2,13,A
1026,Y,first,30,63,B
1027,N,first,37,27,D
1028,N,second,10,15,B
1029,N,first,75,39,D
1030,Y,second,26,49,C
1031,Y,second,46,79,D
1032,Y,first,11,5,F
1033,Y,second,4,7,F
1034,Y,second,18,17,F
1035,Y,third,21,76,C
1036,N,second,7,12,A
1037,Y,second,62,54,A
1038,Y,first,8,39,B
1039,N,first,70,36,A
1040,Y,first,79,21,C
1041,Y,third,46,59,A
1042,Y,second,82,66,F
1043,N,first,2,23,F
1044,Y,third,71,66,D
1045,N,second,30,36,D
1046,N,third,65,63,D
1047,Y,second,18,1,D
1048,N,second,9,6,F
1049,N,third,23,80,F
1050,Y,third,7,58,F
1051,Y,first,6,27,F
1052,Y,first,89,68,A
1053,Y,second,53,41,B
1054,Y,second,14,7,F
1055,N,second,6,5,B
1056,Y,first,50,45,C
1057,Y,third,60,58,F
1058,Y,second,18,40,D
1059,N,third,71,44,A
1060,N,second,3,16,F
1061,N,first,17,17,D
1062,Y,first,36,18,B
1063,Y,third,23,7,B
1064,Y,first,63,27,D
1065,Y,first,44,58,D
1066,Y,second,93,73,D
1067,Y,first,59,31,A
1068,Y,third,40,23,A
1069,Y,third,16,19,D
1070,N,first,5,18,F
1071,Y,third,42,50,A
1072,N,second,78,67,A
1073,Y,first,12,73,F
1074,Y,third,90,43,C
1075,Y,second,16,1,F
1076,Y,third,81,65,B
1077,N,third,77,66,F
1078,Y,third,1,2,A
1079,N,third,5,12,A
1080,Y,first,44,53,B
1081,N,third,2,11,A
1082,Y,first,6,19,B
1083,N,second,84,88,A
1084,N,second,94,62,B
1085,Y,second,7,11,D
1086,Y,first,72,9,A
1087,Y,first,25,15,A
1088,Y,third,4,14,A
1089,Y,second,65,51,C
1090,Y,third,51,35,D
1091,Y,first,63,35,B
1092,N,third,30,54,A
1093,Y,second,77,63,C
1094,N,third,3,3,A
1095,N,third,55,65,C
1096,N,second,60,69,B
1097,N,first,11,3,F
1098,Y,third,62,60,F
