,session 5,test 3,dropout
110,52.0,C,Y
111,,,Y
112,,,Y
113,,,Y
114,21.0,D,Y
115,26.0,D,N
116,57.0,A,N
117,60.0,C,N
118,59.0,B,Y
119,77.0,B,N
120,55.0,A,N
121,37.0,D,Y
122,25.0,F,N
123,70.0,F,N
124,31.0,A,N
125,9.0,D,N
126,75.0,C,N
127,25.0,B,N
128,,,Y
129,77.0,D,Y
130,36.0,A,N
131,94.0,C,N
132,42.0,B,N
133,50.0,F,N
134,36.0,C,N
135,,,Y
136,46.0,D,Y
137,,,Y
138,16.0,C,N
139,20.0,C,N
140,91.0,C,N
141,,,Y
142,30.0,C,N
143,49.0,D,Y
144,23.0,C,Y
145,57.0,B,N
146,44.0,D,Y
147,18.0,A,N
148,42.0,D,N
149,22.0,B,N
150,35.0,A,N
151,37.0,C,Y
152,28.0,F,Y
153,37.0,B,N
154,84.0,F,N
155,36.0,A,N
156,79.0,D,N
157,41.0,D,N
158,53.0,D,N
159,38.0,D,N
160,,,Y
161,46.0,D,N
162,32.0,B,N
163,37.0,B,N
164,98.0,F,N
165,31.0,D,N
166,,,Y
167,,,Y
168,19.0,D,N
169,49.0,F,N
170,73.0,F,Y
171,31.0,B,N
172,17.0,A,N
173,38.0,D,Y
174,87.0,F,Y
175,27.0,D,N
176,33.0,B,N
177,67.0,C,N
178,22.0,B,N
179,70.0,B,N
180,,,Y
181,78.0,A,N
182,25.0,A,N
183,45.0,B,N
184,39.0,A,N
185,57.0,F,N
186,,,Y
187,81.0,B,N
188,1.0,A,Y
189,62.0,B,N
190,50.0,B,N
191,98.0,B,N
192,,,Y
193,20.0,C,Y
194,67.0,F,N
195,4.0,F,Y
196,56.0,A,N
197,57.0,C,N
198,35.0,A,N
199,97.0,C,N
200,50.0,F,N
201,,,Y
202,3.0,D,N
203,,,Y
204,57.0,F,N
205,,,Y
206,79.0,D,N
207,71.0,A,N
208,24.0,C,Y
209,26.0,F,N
210,8.0,A,N
211,,,Y
212,50.0,F,N
213,50.0,D,N
214,19.0,A,Y
215,,,Y
216,70.0,C,N
217,42.0,B,N
218,36.0,B,N
219,35.0,D,Y
220,31.0,B,N
221,,,Y
222,0.0,D,N
223,,,Y
224,93.0,D,N
225,3.0,B,N
226,37.0,A,N
227,76.0,F,N
228,46.0,C,Y
229,,,Y
230,18.0,A,N
231,60.0,F,N
232,38.0,B,Y
233,,,Y
234,69.0,D,N
235,89.0,A,N
236,17.0,A,N
237,,,Y
238,49.0,A,N
239,72.0,A,Y
240,49.0,B,N
241,28.0,C,Y
242,20.0,B,N
243,59.0,F,N
244,34.0,D,N
245,34.0,B,N
246,40.0,A,N
247,41.0,F,Y
248,72.0,C,N
249,,,Y
250,28.0,F,Y
251,56.0,C,Y
252,50.0,B,N
253,24.0,B,N
254,18.0,D,Y
255,53.0,B,N
256,35.0,A,N
257,71.0,D,Y
258,67.0,F,N
259,,,Y
260,32.0,F,N
261,,,Y
262,,,Y
263,67.0,C,N
264,62.0,B,N
265,,,Y
266,75.0,F,N
267,19.0,A,Y
268,86.0,B,N
269,76.0,B,N
270,97.0,C,N
271,14.0,F,N
272,49.0,C,N
273,7.0,F,N
274,89.0,C,N
275,29.0,B,N
276,,,Y
277,80.0,C,N
278,94.0,D,Y
279,48.0,F,N
280,39.0,A,N
281,32.0,F,Y
282,,,Y
283,55.0,A,N
284,,,Y
285,,,Y
286,24.0,F,N
287,55.0,C,N
288,44.0,B,N
289,70.0,F,N
290,94.0,B,N
291,84.0,D,N
292,49.0,B,N
293,31.0,D,N
294,44.0,D,N
295,23.0,F,N
296,26.0,F,N
297,42.0,A,N
298,37.0,D,Y
299,37.0,B,N
300,,,Y
301,47.0,A,N
302,,,Y
303,37.0,A,N
304,94.0,F,N
305,,,Y
306,,,Y
307,,,Y
308,47.0,A,N
309,78.0,D,N
310,,,Y
311,,,Y
312,21.0,F,N
313,85.0,C,N
314,,,Y
315,28.0,B,N
316,33.0,B,N
317,26.0,F,N
318,,,Y
319,32.0,A,N
320,37.0,B,N
321,88.0,C,N
322,47.0,D,N
323,47.0,C,N
324,45.0,A,Y
325,,,Y
326,50.0,F,N
327,17.0,D,Y
328,18.0,D,Y
329,47.0,A,N
330,78.0,B,N
331,47.0,D,N
332,92.0,F,N
333,66.0,C,N
334,77.0,B,N
335,49.0,A,N
336,27.0,F,N
337,68.0,B,N
338,27.0,B,N
339,47.0,A,N
340,38.0,B,N
341,31.0,D,N
342,94.0,B,Y
343,29.0,A,N
344,,,Y
345,28.0,A,N
346,,,Y
347,45.0,D,N
348,14.0,F,Y
349,,,Y
350,70.0,F,N
351,58.0,A,N
352,,,Y
353,57.0,C,N
354,,,Y
355,,,Y
356,41.0,A,N
357,44.0,B,N
358,61.0,F,N
359,66.0,F,N
360,,,Y
361,,,Y
362,86.0,D,N
363,,,Y
364,,,Y
365,80.0,A,N
366,0.0,F,N
367,,,Y
368,13.0,B,N
369,49.0,F,N
370,,,Y
371,19.0,F,Y
372,47.0,A,N
373,56.0,F,N
374,57.0,F,N
375,,,Y
376,60.0,C,Y
377,9.0,F,N
378,89.0,F,N
379,49.0,A,N
380,88.0,C,N
381,17.0,F,N
382,43.0,B,N
383,,,Y
384,59.0,C,N
385,70.0,F,N
386,,,Y
387,,,Y
388,49.0,B,N
389,74.0,A,N
390,,,Y
391,93.0,B,N
392,9.0,D,Y
393,,,Y
394,,,Y
395,60.0,A,N
396,74.0,B,N
397,22.0,C,Y
398,38.0,F,N
399,78.0,C,N
400,,,Y
401,33.0,F,N
402,30.0,B,N
403,12.0,F,N
404,7.0,B,Y
405,,,Y
406,94.0,D,N
407,85.0,F,Y
408,11.0,F,N
409,,,Y
410,40.0,F,N
411,36.0,A,N
412,94.0,B,N
413,74.0,D,N
414,,,Y
415,7.0,C,N
416,39.0,D,Y
417,,,Y
418,,,Y
419,84.0,B,N
420,4.0,B,N
421,26.0,D,Y
422,,,Y
423,27.0,B,N
424,7.0,B,N
425,46.0,B,N
426,87.0,F,Y
427,8.0,B,Y
428,32.0,B,N
429,49.0,D,N
430,0.0,D,N
431,44.0,F,Y
432,40.0,D,N
433,94.0,B,N
434,99.0,F,N
435,,,Y
436,39.0,A,N
437,27.0,D,Y
438,30.0,B,N
439,,,Y
440,68.0,A,N
441,12.0,C,N
442,,,Y
443,,,Y
444,87.0,F,N
445,4.0,A,N
446,64.0,B,N
447,3.0,B,N
448,39.0,F,N
449,,,Y
450,58.0,D,N
451,,,Y
452,43.0,B,N
453,41.0,C,N
454,,,Y
455,63.0,B,N
456,49.0,B,N
457,40.0,A,Y
458,88.0,C,N
459,39.0,B,N
460,,,Y
461,77.0,A,N
462,61.0,D,Y
463,,,Y
464,,,Y
465,31.0,A,N
466,28.0,B,N
467,71.0,C,N
468,96.0,B,N
469,25.0,D,N
470,91.0,B,N
471,,,Y
472,58.0,D,Y
473,,,Y
474,90.0,D,N
475,98.0,F,N
476,,,Y
477,20.0,F,N
478,64.0,F,Y
479,72.0,B,N
480,90.0,A,N
481,84.0,F,N
482,23.0,C,Y
483,44.0,A,N
484,23.0,C,Y
485,92.0,F,Y
486,51.0,D,N
487,50.0,F,N
488,48.0,D,N
489,,,Y
490,52.0,A,N
491,,,Y
492,45.0,A,N
493,75.0,A,N
494,52.0,C,N
495,25.0,A,N
496,8.0,D,N
497,32.0,A,N
498,38.0,F,N
499,24.0,C,N
500,,,Y
501,30.0,D,Y
502,,,Y
503,6.0,D,N
504,62.0,F,N
505,35.0,F,N
506,37.0,F,N
507,,,Y
508,53.0,F,N
509,39.0,B,N
510,55.0,C,N
511,,,Y
512,98.0,B,N
513,44.0,A,N
514,36.0,F,N
515,38.0,D,Y
516,37.0,F,N
517,68.0,C,N
518,58.0,D,N
519,72.0,F,N
520,78.0,B,N
521,,,Y
522,76.0,F,N
523,46.0,C,N
524,46.0,B,N
525,64.0,B,N
526,97.0,F,N
527,48.0,C,N
528,39.0,B,N
529,,,Y
530,22.0,C,N
531,40.0,A,N
532,31.0,F,Y
533,57.0,D,N
534,79.0,C,Y
535,,,Y
536,59.0,C,N
537,76.0,A,N
538,46.0,C,N
539,,,Y
540,18.0,C,N
541,27.0,C,N
542,65.0,F,Y
543,,,Y
544,,,Y
545,,,Y
546,62.0,B,N
547,41.0,F,N
548,3.0,F,N
549,61.0,B,Y
550,,,Y
551,,,Y
552,,,Y
553,57.0,D,Y
554,61.0,F,Y
555,46.0,C,N
556,32.0,F,N
557,91.0,B,N
558,72.0,D,Y
559,28.0,D,N
560,84.0,F,N
561,20.0,C,Y
562,87.0,D,Y
563,10.0,F,N
564,57.0,B,N
565,29.0,B,N
566,34.0,F,N
567,,,Y
568,,,Y
569,22.0,F,N
570,,,Y
571,,,Y
572,30.0,B,N
573,35.0,A,N
574,59.0,A,N
575,13.0,D,N
576,85.0,F,N
577,96.0,B,N
578,76.0,D,Y
579,75.0,D,N
580,44.0,A,N
581,87.0,D,Y
582,,,Y
583,60.0,A,N
584,89.0,A,N
585,61.0,A,N
586,30.0,A,N
587,57.0,B,N
588,,,Y
589,15.0,B,Y
590,81.0,C,N
591,31.0,A,N
592,19.0,D,N
593,67.0,B,N
594,50.0,A,N
595,68.0,F,N
596,73.0,A,N
597,65.0,F,N
598,41.0,A,N
599,88.0,F,N
600,57.0,D,N
601,,,Y
602,63.0,A,N
603,77.0,B,N
604,26.0,A,N
605,23.0,F,N
606,12.0,D,Y
607,48.0,A,N
608,57.0,F,N
609,69.0,B,N
610,,,Y
611,73.0,D,N
612,52.0,F,N
613,,,Y
614,,,Y
615,34.0,F,N
616,70.0,C,N
617,64.0,A,N
618,36.0,D,N
619,21.0,F,N
620,30.0,F,Y
621,52.0,B,N
622,64.0,B,N
623,49.0,B,N
624,47.0,D,Y
625,71.0,F,N
626,45.0,A,N
627,37.0,D,N
628,90.0,C,N
629,92.0,D,Y
630,66.0,D,N
631,48.0,B,N
632,80.0,F,Y
633,21.0,A,N
634,57.0,B,N
635,2.0,F,N
636,73.0,F,N
637,55.0,C,N
638,1.0,C,N
639,44.0,B,N
640,45.0,B,N
641,14.0,F,N
642,23.0,D,N
643,,,Y
644,22.0,D,N
645,43.0,F,N
646,26.0,B,N
647,10.0,F,Y
648,,,Y
649,79.0,D,N
650,98.0,C,N
651,32.0,C,N
652,56.0,A,N
653,70.0,B,N
654,48.0,B,N
655,97.0,A,N
656,69.0,B,N
657,,,Y
658,47.0,A,N
659,34.0,A,N
660,78.0,F,N
661,94.0,B,N
662,69.0,C,N
663,70.0,B,N
664,,,Y
665,30.0,D,N
666,45.0,B,N
667,55.0,C,N
668,8.0,C,N
669,62.0,B,N
670,98.0,B,N
671,55.0,C,Y
672,66.0,C,N
673,33.0,F,N
674,98.0,C,N
675,58.0,B,N
676,96.0,B,N
677,,,Y
678,65.0,C,N
679,95.0,C,N
680,60.0,A,N
681,,,Y
682,79.0,B,Y
683,24.0,B,N
684,26.0,A,N
685,13.0,B,N
686,42.0,A,N
687,60.0,A,N
688,64.0,A,N
689,71.0,D,Y
690,92.0,B,N
691,,,Y
692,73.0,B,N
693,66.0,A,N
694,54.0,F,Y
695,53.0,C,N
696,67.0,F,Y
697,49.0,B,N
698,63.0,B,N
699,8.0,D,N
700,85.0,A,N
701,68.0,D,N
702,,,Y
703,41.0,A,N
704,13.0,A,Y
705,33.0,B,Y
706,,,Y
707,91.0,D,N
708,90.0,D,N
709,,,Y
710,59.0,F,Y
711,47.0,C,N
712,57.0,D,Y
713,80.0,F,N
714,13.0,A,N
715,,,Y
716,,,Y
717,12.0,B,N
718,87.0,C,N
719,14.0,D,N
720,32.0,A,N
721,41.0,B,N
722,41.0,A,N
723,4.0,A,N
724,37.0,A,N
725,1.0,B,N
726,,,Y
727,2.0,A,N
728,,,Y
729,32.0,B,N
730,63.0,C,N
731,38.0,D,N
732,84.0,F,Y
733,35.0,F,N
734,74.0,B,N
735,10.0,F,Y
736,,,Y
737,,,Y
738,24.0,A,N
739,10.0,B,N
740,96.0,B,N
741,24.0,A,N
742,,,Y
743,,,Y
744,23.0,D,Y
745,31.0,F,Y
746,66.0,B,N
747,98.0,C,N
748,,,Y
749,29.0,D,N
750,,,Y
751,55.0,C,N
752,,,Y
753,93.0,A,N
754,37.0,D,N
755,20.0,D,Y
756,,,Y
757,17.0,A,N
758,25.0,A,N
759,39.0,D,N
760,8.0,B,N
761,26.0,D,Y
762,26.0,A,N
763,38.0,B,N
764,54.0,C,N
765,52.0,B,Y
766,50.0,D,N
767,14.0,F,Y
768,28.0,C,N
769,74.0,C,N
770,31.0,A,N
771,80.0,B,N
772,84.0,C,N
773,36.0,D,Y
774,,,Y
775,57.0,C,N
776,99.0,B,N
777,,,Y
778,30.0,A,N
779,28.0,A,N
780,92.0,B,N
781,15.0,F,N
782,53.0,C,N
783,26.0,A,N
784,93.0,B,N
785,47.0,D,Y
786,87.0,F,Y
787,6.0,F,Y
788,37.0,A,N
789,26.0,D,N
790,73.0,B,N
791,24.0,A,Y
792,83.0,D,N
793,9.0,B,N
794,,,Y
795,47.0,A,N
796,,,Y
797,42.0,D,N
798,,,Y
799,45.0,F,Y
800,34.0,B,N
801,97.0,C,N
802,,,Y
803,44.0,B,N
804,98.0,A,N
805,43.0,F,N
806,60.0,D,N
807,70.0,F,N
808,37.0,A,N
809,40.0,F,N
810,51.0,D,Y
811,14.0,B,N
812,9.0,C,N
813,67.0,B,N
814,36.0,A,N
815,70.0,C,N
816,6.0,F,N
817,61.0,B,N
818,49.0,C,N
819,47.0,A,N
820,,,Y
821,8.0,D,N
822,86.0,D,Y
823,55.0,C,N
824,55.0,B,N
825,3.0,B,N
826,53.0,F,N
827,31.0,D,N
828,73.0,C,Y
829,24.0,D,Y
830,26.0,F,N
831,27.0,D,N
832,41.0,B,N
833,31.0,C,N
834,2.0,F,N
835,2.0,A,N
836,57.0,B,N
837,90.0,F,N
838,57.0,F,N
839,47.0,B,Y
840,,,Y
841,39.0,A,N
842,,,Y
843,,,Y
844,,,Y
845,65.0,B,N
846,,,Y
847,49.0,B,N
848,96.0,A,N
849,41.0,D,N
850,24.0,B,N
851,50.0,C,N
852,96.0,F,N
853,39.0,D,N
854,68.0,B,N
855,,,Y
856,,,Y
857,38.0,A,N
858,,,Y
859,,,Y
860,60.0,D,N
861,11.0,D,N
862,,,Y
863,73.0,C,Y
864,46.0,A,N
865,63.0,F,Y
866,,,Y
867,57.0,C,N
868,26.0,A,N
869,22.0,D,N
870,,,Y
871,12.0,F,Y
872,,,Y
873,57.0,A,N
874,23.0,D,N
875,17.0,B,Y
876,69.0,A,N
877,46.0,A,N
878,11.0,D,Y
879,28.0,A,N
880,45.0,A,N
881,,,Y
882,,,Y
883,28.0,C,N
884,86.0,F,N
885,49.0,F,Y
886,,,Y
887,5.0,F,N
888,80.0,A,N
889,81.0,B,N
890,20.0,F,N
891,,,Y
892,88.0,B,N
893,50.0,B,N
894,54.0,F,N
895,36.0,C,Y
896,27.0,B,N
897,88.0,F,Y
898,67.0,F,N
899,50.0,B,N
900,38.0,D,Y
901,27.0,D,N
902,45.0,A,N
903,61.0,C,N
904,72.0,C,N
905,16.0,B,N
906,92.0,C,N
907,89.0,D,Y
908,,,Y
909,,,Y
910,33.0,D,Y
911,68.0,B,N
912,99.0,D,N
913,12.0,F,Y
914,,,Y
915,11.0,D,N
916,19.0,F,N
917,68.0,F,N
918,45.0,D,N
919,77.0,C,Y
920,22.0,C,N
921,,,Y
922,17.0,D,N
923,34.0,B,Y
924,6.0,D,N
925,26.0,D,N
926,77.0,A,N
927,,,Y
928,0.0,B,N
929,6.0,C,N
930,,,Y
931,,,Y
932,49.0,F,N
933,42.0,B,N
934,73.0,A,N
935,51.0,F,Y
936,39.0,D,N
937,25.0,C,N
938,28.0,D,N
939,46.0,A,N
940,50.0,D,N
941,35.0,D,N
942,,,Y
943,92.0,F,Y
944,39.0,F,N
945,,,Y
946,,,Y
947,83.0,F,N
948,79.0,C,N
949,1.0,B,N
950,63.0,C,Y
951,54.0,D,Y
952,,,Y
953,82.0,D,Y
954,77.0,A,N
955,46.0,A,N
956,,,Y
957,82.0,C,Y
958,31.0,B,Y
959,41.0,A,N
960,36.0,A,N
961,45.0,F,N
962,,,Y
963,81.0,D,Y
964,46.0,D,N
965,89.0,C,N
966,24.0,A,N
967,,,Y
968,49.0,A,N
969,85.0,B,N
970,47.0,D,N
971,96.0,B,N
972,25.0,B,N
973,14.0,B,N
974,34.0,C,N
975,30.0,B,N
976,55.0,C,N
977,44.0,D,N
978,,,Y
979,46.0,A,N
980,48.0,F,N
981,5.0,C,Y
982,,,Y
983,31.0,D,N
984,31.0,A,N
985,,,Y
986,86.0,F,Y
987,93.0,D,N
988,25.0,D,N
989,,,Y
990,44.0,F,N
991,65.0,F,N
992,4.0,D,Y
993,77.0,D,N
994,75.0,B,N
995,,,Y
996,37.0,A,N
997,22.0,F,N
998,26.0,B,N
999,26.0,B,N
1000,37.0,F,N
1001,28.0,A,N
1002,79.0,F,N
1003,,,Y
1004,,,Y
1005,83.0,C,N
1006,92.0,D,N
1007,,,Y
1008,58.0,A,N
1009,39.0,A,N
1010,47.0,A,N
1011,27.0,A,N
1012,47.0,B,N
1013,67.0,D,Y
1014,2.0,C,N
1015,26.0,B,N
1016,6.0,D,N
1017,20.0,D,Y
1018,71.0,D,Y
1019,10.0,A,N
1020,15.0,B,N
1021,67.0,D,N
1022,80.0,B,N
1023,21.0,F,Y
1024,24.0,D,Y
1025,43.0,A,N
1026,50.0,F,N
1027,23.0,B,N
1028,,,Y
1029,43.0,B,N
1030,51.0,F,N
1031,81.0,F,Y
1032,,,Y
1033,,,Y
1034,77.0,D,N
1035,51.0,F,N
1036,29.0,A,N
1037,56.0,D,Y
1038,42.0,C,Y
1039,92.0,A,N
1040,38.0,D,Y
1041,21.0,B,N
1042,44.0,D,N
1043,85.0,F,N
1044,65.0,F,N
1045,56.0,C,Y
1046,10.0,F,N
1047,92.0,C,N
1048,33.0,A,N
1049,59.0,C,N
1050,88.0,C,N
1051,51.0,B,N
1052,53.0,C,N
1053,,,Y
1054,76.0,C,N
1055,38.0,A,N
1056,,,Y
1057,71.0,D,N
1058,,,Y
1059,50.0,B,N
1060,51.0,C,N
1061,51.0,B,N
1062,68.0,B,Y
1063,,,Y
1064,72.0,C,N
1065,,,Y
1066,27.0,F,N
1067,6.0,D,Y
1068,37.0,F,N
1069,75.0,B,N
1070,87.0,C,N
1071,83.0,A,N
1072,64.0,D,N
1073,83.0,F,N
1074,53.0,A,N
1075,70.0,C,N
1076,17.0,D,Y
1077,36.0,B,N
1078,24.0,B,N
1079,38.0,B,N
1080,91.0,A,N
1081,26.0,B,N
1082,,,Y
1083,43.0,D,N
1084,17.0,C,N
1085,,,Y
1086,95.0,B,N
1087,78.0,D,Y
1088,12.0,C,N
1089,36.0,F,N
1090,,,Y
1091,42.0,A,N
1092,63.0,F,Y
1093,29.0,C,Y
1094,41.0,A,N
1095,65.0,C,Y
1096,15.0,B,N
1097,47.0,B,N
1098,41.0,F,N
1099,84.0,C,Y
1100,44.0,F,N
1101,26.0,F,N
1102,49.0,D,N
1103,,,Y
1104,,,Y
1105,17.0,C,N
1106,49.0,B,N
1107,,,Y
1108,44.0,B,N
1109,78.0,A,N
1110,,,Y
1111,69.0,D,N
1112,28.0,D,N
1113,11.0,A,N
1114,,,Y
1115,21.0,F,N
1116,36.0,C,N
1117,,,Y
1118,62.0,F,Y
1119,,,Y
1120,74.0,B,N
1121,36.0,D,N
1122,93.0,F,N
1123,32.0,B,N
1124,40.0,A,N
1125,84.0,C,N
1126,,,Y
1127,,,Y
1128,,,Y
1129,90.0,B,N
1130,,,Y
1131,,,Y
1132,,,Y
1133,,,Y
1134,43.0,A,N
1135,,,Y
1136,,,Y
1137,67.0,C,N
1138,,,Y
1139,26.0,F,N
1140,30.0,C,N
1141,67.0,C,N
1142,,,Y
1143,38.0,F,N
1144,97.0,D,N
1145,,,Y
1146,38.0,A,N
1147,53.0,D,N
1148,42.0,B,N
1149,36.0,B,N
1150,12.0,F,N
1151,,,Y
1152,81.0,C,Y
1153,,,Y
1154,,,Y
1155,57.0,D,Y
1156,34.0,A,N
1157,,,Y
1158,37.0,F,Y
1159,49.0,B,N
1160,38.0,B,N
1161,,,Y
1162,46.0,B,N
1163,70.0,C,N
1164,49.0,B,N
1165,,,Y
1166,80.0,A,N
1167,42.0,B,Y
1168,63.0,A,Y
1169,86.0,B,N
1170,47.0,B,N
1171,34.0,F,N
1172,8.0,D,N
1173,92.0,D,N
1174,68.0,F,Y
1175,,,Y
1176,50.0,C,N
1177,7.0,A,N
1178,,,Y
1179,93.0,B,N
1180,3.0,C,N
1181,59.0,D,N
1182,60.0,C,N
1183,9.0,A,Y
1184,20.0,D,Y
1185,56.0,F,Y
1186,62.0,C,N
1187,30.0,A,N
1188,77.0,C,N
1189,35.0,A,N
1190,,,Y
1191,,,Y
1192,,,Y
1193,53.0,B,N
1194,58.0,C,N
1195,35.0,A,N
1196,68.0,F,Y
1197,83.0,C,N
1198,58.0,C,N
1199,55.0,B,N
1200,46.0,F,N
1201,,,Y
1202,42.0,F,N
1203,20.0,D,Y
1204,,,Y
1205,57.0,A,N
1206,66.0,C,N
1207,62.0,F,Y
1208,39.0,F,Y
1209,38.0,D,Y
1210,46.0,D,N
1211,71.0,A,N
1212,29.0,B,N
1213,,,Y
1214,6.0,C,N
1215,52.0,B,N
1216,28.0,A,N
1217,61.0,C,N
1218,48.0,A,N
1219,47.0,B,N
1220,76.0,F,N
1221,,,Y
1222,27.0,C,N
1223,47.0,F,N
1224,64.0,D,N
1225,63.0,C,Y
1226,44.0,D,N
1227,,,Y
1228,,,Y
1229,,,Y
1230,41.0,F,N
1231,14.0,F,N
1232,77.0,F,N
1233,29.0,D,N
1234,28.0,A,N
1235,89.0,D,N
1236,63.0,F,N
1237,35.0,A,N
1238,50.0,C,Y
1239,49.0,C,N
1240,59.0,B,N
1241,94.0,C,N
1242,30.0,F,N
1243,,,Y
1244,48.0,B,N
1245,85.0,F,N
1246,38.0,A,N
1247,50.0,F,N
1248,,,Y
1249,14.0,F,N
1250,33.0,A,N
1251,8.0,A,N
1252,46.0,B,N
1253,67.0,F,Y
1254,,,Y
1255,21.0,F,N
1256,69.0,C,Y
1257,83.0,F,N
1258,,,Y
1259,44.0,D,N
1260,,,Y
1261,78.0,B,N
1262,78.0,F,N
1263,88.0,F,N
1264,48.0,D,N
1265,29.0,D,Y
1266,79.0,D,N
1267,24.0,A,N
1268,59.0,D,N
1269,,,Y
1270,91.0,B,N
1271,40.0,F,Y
1272,36.0,D,Y
1273,,,Y
1274,,,Y
1275,30.0,D,N
1276,41.0,F,Y
1277,,,Y
1278,12.0,D,N
1279,25.0,C,N
1280,47.0,C,N
1281,85.0,A,N
1282,60.0,B,N
1283,,,Y
1284,50.0,D,Y
1285,33.0,D,N
1286,46.0,A,N
1287,31.0,C,Y
1288,54.0,D,Y
1289,40.0,D,Y
1290,44.0,B,N
1291,,,Y
1292,,,Y
1293,,,Y
1294,70.0,B,N
1295,,,Y
1296,,,Y
1297,,,Y
1298,,,Y
1299,12.0,D,N
1300,,,Y
1301,80.0,D,N
1302,58.0,A,Y
1303,53.0,B,N
1304,20.0,F,N
1305,24.0,B,N
1306,31.0,F,N
1307,48.0,A,N
1308,64.0,C,N
1309,,,Y
1310,,,Y
1311,33.0,F,N
1312,,,Y
1313,,,Y
1314,35.0,D,Y
1315,60.0,C,Y
1316,33.0,D,N
1317,4.0,B,N
1318,,,Y
1319,93.0,D,N
1320,28.0,C,Y
1321,36.0,A,N
1322,97.0,F,N
1323,78.0,F,N
1324,75.0,F,N
1325,96.0,D,N
1326,76.0,B,N
1327,58.0,A,N
1328,5.0,D,Y
1329,73.0,F,N
1330,,,Y
1331,45.0,C,Y
1332,52.0,B,N
1333,3.0,A,Y
1334,85.0,D,N
1335,49.0,C,N
1336,84.0,B,N
1337,20.0,C,Y
1338,46.0,B,N
1339,44.0,F,Y
1340,24.0,A,N
1341,11.0,F,N
1342,40.0,D,N
1343,46.0,A,N
1344,49.0,D,Y
1345,,,Y
1346,79.0,C,N
1347,25.0,A,N
1348,73.0,D,Y
1349,17.0,F,Y
1350,59.0,D,Y
1351,80.0,C,N
1352,,,Y
1353,,,Y
1354,,,Y
1355,64.0,F,N
1356,74.0,A,N
1357,64.0,B,N
1358,17.0,F,Y
1359,42.0,F,Y
1360,50.0,C,N
1361,65.0,A,N
1362,50.0,F,N
1363,12.0,C,Y
1364,,,Y
1365,86.0,F,N
1366,68.0,D,Y
1367,36.0,B,Y
1368,96.0,B,N
1369,,,Y
1370,40.0,F,N
1371,,,Y
1372,36.0,B,N
1373,,,Y
1374,,,Y
1375,70.0,D,Y
1376,86.0,A,N
1377,42.0,C,N
1378,89.0,D,N
1379,69.0,D,Y
1380,37.0,A,N
1381,32.0,F,N
1382,81.0,C,N
1383,,,Y
1384,20.0,C,Y
1385,28.0,D,N
1386,87.0,A,N
1387,48.0,A,N
1388,,,Y
1389,59.0,F,N
1390,8.0,A,N
1391,28.0,F,Y
1392,73.0,C,N
1393,20.0,B,Y
1394,81.0,C,N
1395,63.0,C,N
1396,83.0,B,N
1397,74.0,B,N
1398,99.0,A,N
1399,15.0,D,Y
1400,79.0,A,N
1401,49.0,D,N
1402,53.0,C,Y
1403,65.0,C,N
1404,66.0,A,N
1405,62.0,F,N
1406,,,Y
1407,46.0,A,N
1408,70.0,D,Y
1409,23.0,F,N
1410,91.0,D,N
1411,49.0,B,N
1412,97.0,F,N
1413,99.0,B,N
1414,80.0,B,N
1415,81.0,C,N
1416,11.0,D,Y
1417,97.0,B,N
