,session 3,session 4,test 2
330,68.0,50.0,A
331,98.0,2.0,A
332,72.0,76.0,A
333,21.0,32.0,F
334,28.0,35.0,F
335,13.0,42.0,C
336,13.0,17.0,A
337,77.0,58.0,B
338,8.0,32.0,F
339,13.0,19.0,A
340,62.0,92.0,B
341,5.0,40.0,B
342,31.0,15.0,B
343,83.0,5.0,A
344,28.0,12.0,F
345,80.0,51.0,A
346,,,
347,2.0,33.0,C
348,13.0,38.0,D
349,,,
350,44.0,78.0,A
351,56.0,36.0,D
352,58.0,78.0,C
353,46.0,56.0,A
354,40.0,33.0,F
355,83.0,83.0,D
356,8.0,14.0,A
357,9.0,21.0,A
358,60.0,45.0,B
359,82.0,92.0,A
360,54.0,91.0,D
361,,,
362,51.0,31.0,D
363,,,
364,55.0,1.0,D
365,56.0,42.0,A
366,47.0,11.0,B
367,59.0,10.0,F
368,62.0,45.0,C
369,69.0,67.0,B
370,14.0,21.0,F
371,64.0,2.0,C
372,4.0,26.0,D
373,69.0,24.0,B
374,86.0,96.0,D
375,37.0,7.0,F
376,71.0,94.0,C
377,52.0,37.0,A
378,74.0,20.0,C
379,6.0,44.0,C
380,32.0,35.0,D
381,54.0,43.0,C
382,12.0,44.0,A
383,62.0,34.0,F
384,25.0,39.0,C
385,80.0,22.0,C
386,31.0,63.0,F
387,25.0,39.0,F
388,3.0,57.0,B
389,47.0,81.0,D
390,,,
391,22.0,51.0,F
392,20.0,98.0,A
393,,,
394,57.0,6.0,F
395,33.0,46.0,D
396,27.0,44.0,B
397,71.0,13.0,B
398,4.0,8.0,A
399,80.0,73.0,B
400,,,
401,99.0,60.0,C
402,76.0,48.0,A
403,81.0,24.0,C
404,25.0,99.0,F
405,38.0,22.0,F
406,52.0,24.0,C
407,32.0,56.0,F
408,85.0,74.0,A
409,27.0,24.0,F
410,78.0,70.0,A
411,4.0,38.0,D
412,50.0,74.0,B
413,82.0,48.0,F
414,40.0,10.0,F
415,67.0,62.0,A
416,60.0,61.0,C
417,9.0,49.0,F
418,,,
419,25.0,33.0,B
420,67.0,44.0,F
421,82.0,4.0,F
422,,,
423,82.0,66.0,F
424,81.0,88.0,A
425,34.0,39.0,B
426,26.0,63.0,C
427,51.0,43.0,D
428,8.0,40.0,D
429,4.0,23.0,D
430,92.0,33.0,D
431,58.0,19.0,C
432,12.0,23.0,B
433,35.0,35.0,D
434,95.0,24.0,F
435,4.0,37.0,F
436,11.0,31.0,C
437,71.0,7.0,C
438,12.0,39.0,B
439,59.0,67.0,D
440,85.0,73.0,B
441,64.0,33.0,C
442,,,
443,,,
444,56.0,65.0,C
445,31.0,84.0,D
446,52.0,45.0,D
447,49.0,90.0,F
448,13.0,23.0,D
449,,,
450,60.0,71.0,C
451,33.0,34.0,C
452,52.0,25.0,A
453,71.0,96.0,C
454,,,
455,87.0,64.0,B
456,82.0,43.0,A
457,20.0,16.0,C
458,51.0,36.0,C
459,1.0,8.0,F
460,,,
461,54.0,93.0,C
462,68.0,40.0,F
463,,,
464,48.0,46.0,A
465,2.0,41.0,C
466,6.0,37.0,D
467,26.0,41.0,D
468,25.0,40.0,F
469,12.0,48.0,A
470,43.0,53.0,D
471,59.0,13.0,F
472,11.0,79.0,D
473,,,
474,39.0,96.0,F
475,77.0,42.0,F
476,,,
477,95.0,49.0,D
478,51.0,60.0,C
479,40.0,32.0,D
480,55.0,54.0,C
481,30.0,40.0,F
482,27.0,44.0,B
483,11.0,67.0,F
484,81.0,18.0,B
485,68.0,30.0,C
486,76.0,47.0,A
487,50.0,44.0,B
488,8.0,55.0,B
489,35.0,22.0,F
490,80.0,32.0,A
491,75.0,87.0,A
492,54.0,46.0,C
493,16.0,38.0,B
494,50.0,33.0,B
495,10.0,21.0,C
496,53.0,32.0,A
497,10.0,12.0,C
498,71.0,11.0,A
499,40.0,33.0,D
500,48.0,20.0,F
501,45.0,59.0,C
502,24.0,33.0,F
503,67.0,73.0,A
504,67.0,20.0,D
505,55.0,54.0,A
506,49.0,36.0,A
507,,,
508,23.0,67.0,B
509,9.0,51.0,C
510,52.0,31.0,D
511,,,
512,93.0,73.0,A
513,2.0,37.0,B
514,68.0,20.0,A
515,12.0,1.0,F
516,78.0,62.0,C
517,75.0,24.0,A
518,45.0,34.0,F
519,72.0,79.0,F
520,20.0,33.0,D
521,,,
522,78.0,41.0,B
523,29.0,47.0,D
524,55.0,33.0,F
525,10.0,4.0,B
526,50.0,69.0,C
527,66.0,22.0,F
528,23.0,1.0,F
529,,,
530,60.0,75.0,C
531,40.0,80.0,A
532,27.0,64.0,C
533,32.0,46.0,C
534,39.0,25.0,A
535,31.0,41.0,C
536,23.0,9.0,C
537,56.0,36.0,B
538,75.0,41.0,A
539,54.0,9.0,F
540,75.0,77.0,A
541,98.0,29.0,F
542,32.0,10.0,D
543,88.0,59.0,D
544,,,
545,38.0,19.0,F
546,20.0,41.0,C
547,67.0,24.0,D
548,70.0,58.0,A
549,71.0,24.0,A
550,59.0,7.0,F
551,63.0,3.0,D
552,,,
553,74.0,43.0,D
554,92.0,16.0,C
555,49.0,5.0,A
556,57.0,73.0,A
557,56.0,68.0,F
558,39.0,35.0,F
559,90.0,57.0,B
560,79.0,94.0,A
561,88.0,20.0,A
562,46.0,37.0,B
563,4.0,43.0,F
564,53.0,39.0,A
565,13.0,24.0,F
566,4.0,18.0,C
567,57.0,22.0,D
568,,,
569,43.0,53.0,B
570,,,
571,42.0,14.0,D
572,1.0,39.0,C
573,3.0,39.0,C
574,78.0,9.0,A
575,98.0,21.0,B
576,57.0,24.0,A
577,25.0,36.0,D
578,79.0,43.0,F
579,81.0,22.0,A
580,5.0,44.0,C
581,6.0,31.0,B
582,40.0,83.0,D
583,71.0,70.0,D
584,52.0,52.0,D
585,51.0,28.0,F
586,9.0,42.0,D
587,59.0,51.0,D
588,89.0,30.0,D
589,30.0,83.0,D
590,26.0,27.0,F
591,3.0,12.0,C
592,95.0,47.0,C
593,87.0,28.0,B
594,58.0,18.0,A
595,43.0,48.0,C
596,61.0,69.0,A
597,80.0,70.0,A
598,93.0,22.0,C
599,91.0,23.0,C
600,69.0,77.0,C
601,29.0,15.0,F
602,9.0,68.0,D
603,46.0,19.0,A
604,10.0,11.0,F
605,67.0,70.0,B
606,80.0,70.0,F
607,19.0,61.0,C
608,77.0,77.0,C
609,46.0,46.0,C
610,66.0,96.0,D
611,56.0,43.0,A
612,83.0,75.0,C
613,63.0,49.0,C
614,64.0,6.0,F
615,6.0,41.0,C
616,58.0,51.0,D
617,52.0,37.0,B
618,10.0,9.0,B
619,63.0,38.0,F
620,8.0,20.0,F
621,56.0,43.0,D
622,39.0,54.0,D
623,10.0,33.0,B
624,52.0,81.0,C
625,98.0,37.0,C
626,91.0,35.0,F
627,9.0,73.0,F
628,20.0,48.0,D
629,96.0,59.0,C
630,34.0,39.0,C
631,8.0,10.0,D
632,22.0,62.0,B
633,46.0,91.0,D
634,4.0,89.0,C
635,72.0,41.0,B
636,22.0,53.0,C
637,36.0,31.0,C
638,98.0,9.0,C
639,51.0,30.0,A
640,5.0,19.0,C
641,26.0,56.0,C
642,70.0,48.0,B
643,,,
644,94.0,54.0,A
645,90.0,29.0,C
646,79.0,26.0,C
647,50.0,5.0,A
648,14.0,8.0,F
649,44.0,13.0,C
650,42.0,34.0,D
651,79.0,9.0,F
652,92.0,35.0,B
653,44.0,34.0,D
654,8.0,24.0,C
655,53.0,74.0,F
656,79.0,85.0,A
657,30.0,45.0,A
658,82.0,19.0,F
659,1.0,38.0,B
660,55.0,46.0,F
661,51.0,44.0,B
662,43.0,36.0,D
663,84.0,79.0,A
664,88.0,51.0,F
665,3.0,24.0,C
666,9.0,48.0,B
667,42.0,39.0,C
668,95.0,57.0,A
669,67.0,56.0,D
670,28.0,50.0,C
671,27.0,16.0,D
672,31.0,32.0,B
673,56.0,25.0,F
674,30.0,51.0,B
675,90.0,85.0,F
676,31.0,34.0,D
677,27.0,1.0,D
678,60.0,45.0,A
679,75.0,88.0,A
680,94.0,35.0,A
681,,,
682,79.0,48.0,A
683,7.0,46.0,D
684,8.0,27.0,C
685,90.0,45.0,A
686,2.0,12.0,C
687,55.0,63.0,B
688,24.0,51.0,D
689,58.0,49.0,C
690,50.0,47.0,F
691,62.0,18.0,F
692,55.0,93.0,A
693,54.0,76.0,C
694,88.0,96.0,D
695,57.0,30.0,D
696,1.0,40.0,B
697,8.0,19.0,C
698,47.0,30.0,D
699,64.0,63.0,B
700,15.0,13.0,F
701,61.0,93.0,B
702,56.0,93.0,D
703,60.0,23.0,A
704,38.0,46.0,C
705,50.0,76.0,C
706,37.0,39.0,F
707,17.0,83.0,A
708,24.0,86.0,C
709,48.0,85.0,F
710,88.0,38.0,B
711,21.0,46.0,D
712,74.0,52.0,B
713,45.0,43.0,D
714,85.0,33.0,F
715,56.0,5.0,F
716,,,
717,74.0,54.0,C
718,83.0,68.0,A
719,66.0,37.0,B
720,46.0,10.0,C
721,2.0,55.0,A
722,65.0,20.0,C
723,14.0,52.0,A
724,3.0,29.0,F
725,61.0,8.0,A
726,65.0,62.0,D
727,63.0,39.0,F
728,,,
729,13.0,14.0,D
730,25.0,33.0,F
731,18.0,42.0,C
732,45.0,53.0,A
733,69.0,52.0,A
734,89.0,68.0,B
735,71.0,8.0,C
736,,,
737,,,
738,87.0,33.0,A
739,70.0,12.0,A
740,47.0,35.0,D
741,51.0,17.0,D
742,66.0,26.0,D
743,28.0,19.0,F
744,77.0,11.0,D
745,70.0,38.0,F
746,46.0,90.0,A
747,83.0,52.0,B
748,26.0,19.0,D
749,11.0,55.0,C
750,42.0,95.0,D
751,50.0,27.0,B
752,,,
753,50.0,49.0,F
754,40.0,67.0,C
755,67.0,25.0,C
756,40.0,66.0,A
757,68.0,11.0,A
758,13.0,48.0,D
759,48.0,78.0,C
760,74.0,8.0,B
761,40.0,32.0,C
762,66.0,45.0,B
763,8.0,54.0,F
764,60.0,19.0,B
765,10.0,24.0,C
766,1.0,75.0,A
767,63.0,25.0,B
768,81.0,47.0,A
769,24.0,34.0,D
770,16.0,53.0,A
771,32.0,74.0,F
772,50.0,58.0,F
773,38.0,66.0,A
774,11.0,74.0,F
775,60.0,2.0,D
776,67.0,76.0,F
777,80.0,45.0,A
778,6.0,14.0,B
779,6.0,50.0,B
780,64.0,61.0,F
781,51.0,50.0,F
782,50.0,44.0,C
783,10.0,48.0,C
784,35.0,34.0,C
785,42.0,88.0,B
786,73.0,8.0,F
787,7.0,44.0,F
788,3.0,29.0,D
789,2.0,52.0,A
790,56.0,72.0,A
791,72.0,34.0,C
792,96.0,65.0,F
793,67.0,53.0,F
794,53.0,9.0,F
795,4.0,9.0,C
796,42.0,59.0,D
797,68.0,86.0,B
798,,,
799,66.0,46.0,A
800,2.0,47.0,D
801,12.0,96.0,F
802,19.0,19.0,D
803,1.0,26.0,C
804,46.0,38.0,D
805,42.0,54.0,D
806,61.0,88.0,F
807,50.0,76.0,A
808,2.0,47.0,A
809,45.0,43.0,A
810,68.0,71.0,A
811,85.0,43.0,F
812,23.0,26.0,A
813,53.0,36.0,B
814,9.0,36.0,F
815,87.0,59.0,F
816,60.0,52.0,A
817,75.0,26.0,F
818,43.0,44.0,D
819,9.0,24.0,A
820,12.0,11.0,C
821,84.0,66.0,F
822,4.0,43.0,D
823,50.0,42.0,C
824,37.0,51.0,C
825,96.0,76.0,F
826,44.0,53.0,D
827,7.0,50.0,D
828,65.0,69.0,D
829,46.0,7.0,B
830,86.0,23.0,B
831,3.0,8.0,B
832,95.0,57.0,D
833,73.0,77.0,B
834,84.0,40.0,A
835,63.0,9.0,F
836,81.0,22.0,A
837,28.0,11.0,B
838,49.0,35.0,D
839,6.0,91.0,C
840,27.0,9.0,F
841,5.0,41.0,B
842,,,
843,,,
844,0.0,77.0,D
845,81.0,58.0,C
846,15.0,28.0,F
847,88.0,79.0,B
848,39.0,30.0,D
849,45.0,8.0,B
850,33.0,61.0,B
851,36.0,33.0,D
852,92.0,65.0,A
853,2.0,17.0,C
854,75.0,70.0,A
855,,,
856,71.0,97.0,F
857,11.0,52.0,D
858,,,
859,57.0,3.0,F
860,56.0,57.0,A
861,25.0,25.0,F
862,71.0,93.0,D
863,41.0,51.0,F
864,55.0,48.0,F
865,15.0,57.0,D
866,42.0,23.0,F
867,58.0,47.0,F
868,11.0,18.0,B
869,69.0,90.0,B
870,28.0,51.0,D
871,68.0,52.0,F
872,,,
873,23.0,30.0,C
874,82.0,25.0,A
875,30.0,99.0,C
876,41.0,38.0,C
877,13.0,50.0,C
878,60.0,5.0,F
879,12.0,25.0,B
880,75.0,52.0,D
881,25.0,12.0,F
882,,,
883,22.0,22.0,C
884,46.0,4.0,C
885,61.0,66.0,C
886,,,
887,87.0,72.0,A
888,8.0,40.0,C
889,22.0,47.0,D
890,66.0,77.0,D
891,,,
892,54.0,36.0,D
893,27.0,46.0,D
894,23.0,28.0,F
895,58.0,19.0,F
896,8.0,49.0,D
897,72.0,37.0,F
898,46.0,41.0,A
899,24.0,8.0,B
900,47.0,89.0,B
901,12.0,41.0,B
902,10.0,32.0,D
903,33.0,38.0,D
904,39.0,33.0,D
905,35.0,85.0,B
906,20.0,33.0,D
907,18.0,7.0,F
908,,,
909,61.0,11.0,F
910,66.0,3.0,C
911,2.0,20.0,C
912,1.0,94.0,A
913,33.0,41.0,B
914,31.0,30.0,F
915,82.0,53.0,B
916,66.0,76.0,A
917,55.0,66.0,D
918,2.0,88.0,F
919,35.0,3.0,D
920,78.0,25.0,D
921,,,
922,4.0,85.0,B
923,29.0,55.0,C
924,29.0,34.0,C
925,2.0,53.0,C
926,47.0,86.0,C
927,,,
928,79.0,76.0,A
929,62.0,44.0,A
930,65.0,1.0,D
931,37.0,13.0,F
932,11.0,24.0,D
933,3.0,35.0,C
934,57.0,52.0,A
935,49.0,10.0,B
936,65.0,59.0,A
937,54.0,32.0,A
938,12.0,41.0,C
939,5.0,43.0,C
940,43.0,57.0,B
941,13.0,57.0,B
942,,,
943,99.0,40.0,A
944,86.0,64.0,D
945,41.0,42.0,D
946,61.0,58.0,F
947,44.0,47.0,D
948,37.0,52.0,D
949,73.0,62.0,D
950,97.0,76.0,B
951,17.0,65.0,C
952,38.0,58.0,F
953,29.0,42.0,B
954,51.0,34.0,B
955,7.0,56.0,D
956,2.0,37.0,F
957,46.0,67.0,A
958,36.0,36.0,F
959,66.0,33.0,C
960,1.0,45.0,B
961,72.0,79.0,F
962,62.0,40.0,D
963,43.0,29.0,D
964,7.0,28.0,A
965,38.0,50.0,D
966,13.0,54.0,A
967,,,
968,37.0,54.0,C
969,80.0,35.0,A
970,9.0,18.0,D
971,96.0,49.0,A
972,5.0,36.0,A
973,47.0,39.0,A
974,52.0,48.0,C
975,3.0,51.0,B
976,66.0,36.0,D
977,9.0,48.0,F
978,,,
979,80.0,28.0,C
980,9.0,27.0,D
981,82.0,62.0,F
982,,,
983,8.0,38.0,B
984,9.0,20.0,B
985,,,
986,62.0,13.0,F
987,29.0,20.0,A
988,3.0,8.0,B
989,57.0,12.0,D
990,59.0,20.0,A
991,25.0,13.0,D
992,29.0,20.0,D
993,87.0,83.0,D
994,65.0,35.0,F
995,,,
996,4.0,15.0,D
997,80.0,74.0,A
998,4.0,21.0,D
999,10.0,35.0,D
1000,62.0,72.0,D
1001,13.0,49.0,A
1002,16.0,58.0,D
1003,58.0,56.0,D
1004,,,
1005,26.0,44.0,D
1006,81.0,69.0,A
1007,,,
1008,33.0,48.0,D
1009,6.0,34.0,D
1010,66.0,64.0,C
1011,5.0,37.0,F
1012,40.0,36.0,C
1013,21.0,36.0,D
1014,69.0,60.0,C
1015,5.0,15.0,A
1016,72.0,71.0,F
1017,75.0,32.0,C
1018,49.0,80.0,A
1019,96.0,54.0,A
1020,89.0,98.0,A
1021,50.0,47.0,C
1022,59.0,44.0,D
1023,37.0,45.0,D
1024,71.0,35.0,A
1025,10.0,52.0,F
1026,4.0,7.0,C
1027,25.0,76.0,F
1028,,,
1029,75.0,56.0,A
1030,14.0,70.0,A
1031,5.0,32.0,B
1032,,,
1033,,,
1034,53.0,35.0,D
1035,86.0,25.0,A
1036,7.0,35.0,D
1037,5.0,16.0,C
1038,25.0,34.0,C
1039,18.0,5.0,D
1040,62.0,69.0,D
1041,68.0,34.0,A
1042,75.0,77.0,D
1043,46.0,43.0,C
1044,8.0,3.0,B
1045,95.0,79.0,C
1046,83.0,64.0,D
1047,28.0,52.0,B
1048,6.0,19.0,B
1049,19.0,71.0,F
1050,78.0,57.0,C
1051,28.0,48.0,D
1052,81.0,34.0,A
1053,35.0,10.0,F
1054,41.0,46.0,D
1055,9.0,11.0,D
1056,51.0,1.0,F
1057,80.0,75.0,A
1058,,,
1059,57.0,95.0,F
1060,55.0,37.0,B
1061,50.0,30.0,D
1062,74.0,44.0,C
1063,,,
1064,75.0,36.0,D
1065,31.0,19.0,D
1066,68.0,64.0,C
1067,82.0,79.0,A
1068,85.0,55.0,B
1069,52.0,43.0,B
1070,48.0,45.0,D
1071,66.0,49.0,A
1072,65.0,11.0,C
1073,56.0,79.0,A
1074,76.0,4.0,D
1075,29.0,46.0,D
1076,22.0,50.0,A
1077,61.0,38.0,D
1078,13.0,9.0,D
1079,9.0,51.0,D
1080,64.0,59.0,C
1081,12.0,46.0,B
1082,,,
1083,59.0,70.0,D
1084,66.0,85.0,A
1085,,,
1086,68.0,80.0,A
1087,33.0,78.0,A
1088,17.0,49.0,C
1089,85.0,44.0,A
1090,44.0,1.0,D
1091,82.0,42.0,A
1092,5.0,42.0,C
1093,4.0,45.0,B
1094,1.0,47.0,F
1095,15.0,63.0,C
1096,72.0,15.0,F
1097,23.0,49.0,D
1098,52.0,76.0,B
1099,84.0,37.0,F
1100,81.0,34.0,C
1101,58.0,30.0,A
1102,5.0,49.0,C
1103,51.0,24.0,F
1104,43.0,9.0,D
1105,20.0,98.0,D
1106,69.0,68.0,A
1107,61.0,53.0,F
1108,44.0,5.0,D
1109,83.0,57.0,B
1110,27.0,10.0,F
1111,41.0,49.0,C
1112,10.0,36.0,B
1113,85.0,82.0,D
1114,66.0,1.0,D
1115,42.0,46.0,A
1116,61.0,51.0,F
1117,,,
1118,86.0,20.0,F
1119,,,
1120,54.0,97.0,F
1121,89.0,78.0,A
1122,90.0,66.0,A
1123,71.0,96.0,F
1124,53.0,60.0,D
1125,49.0,40.0,B
1126,55.0,38.0,F
1127,,,
1128,89.0,30.0,F
1129,74.0,94.0,B
1130,,,
1131,34.0,26.0,F
1132,,,
1133,,,
1134,6.0,33.0,A
1135,18.0,0.0,D
1136,,,
1137,77.0,28.0,A
1138,,,
1139,59.0,83.0,D
1140,52.0,27.0,A
1141,45.0,27.0,C
1142,,,
1143,50.0,3.0,A
1144,16.0,73.0,B
1145,43.0,40.0,C
1146,49.0,92.0,F
1147,63.0,92.0,F
1148,2.0,23.0,B
1149,58.0,52.0,A
1150,91.0,61.0,B
1151,73.0,28.0,A
1152,90.0,64.0,A
1153,,,
1154,,,
1155,49.0,23.0,F
1156,2.0,33.0,B
1157,,,
1158,74.0,40.0,B
1159,44.0,36.0,D
1160,67.0,94.0,D
1161,29.0,19.0,F
1162,30.0,30.0,D
1163,32.0,36.0,C
1164,3.0,51.0,F
1165,,,
1166,61.0,77.0,D
1167,58.0,27.0,D
1168,53.0,90.0,B
1169,38.0,49.0,D
1170,3.0,25.0,F
1171,80.0,34.0,B
1172,26.0,31.0,D
1173,59.0,41.0,D
1174,65.0,70.0,F
1175,0.0,53.0,F
1176,49.0,44.0,D
1177,44.0,44.0,F
1178,88.0,87.0,F
1179,78.0,76.0,B
1180,51.0,81.0,F
1181,41.0,42.0,D
1182,45.0,43.0,D
1183,14.0,95.0,F
1184,31.0,64.0,B
1185,86.0,55.0,B
1186,21.0,45.0,D
1187,3.0,16.0,A
1188,49.0,52.0,D
1189,1.0,25.0,D
1190,,,
1191,42.0,13.0,F
1192,,,
1193,53.0,57.0,B
1194,30.0,36.0,C
1195,3.0,50.0,F
1196,78.0,29.0,C
1197,55.0,43.0,F
1198,93.0,71.0,A
1199,96.0,75.0,A
1200,5.0,38.0,D
1201,57.0,6.0,F
1202,77.0,93.0,A
1203,15.0,75.0,B
1204,39.0,64.0,F
1205,86.0,90.0,B
