,session 3,session 4,test 2,dropout
103,20.0,51.0,D,N
104,48.0,49.0,B,Y
105,81.0,86.0,D,N
106,46.0,37.0,B,N
107,95.0,75.0,A,N
108,53.0,31.0,C,N
109,29.0,55.0,C,N
110,15.0,43.0,A,Y
111,7.0,44.0,D,Y
112,,,,Y
113,2.0,42.0,F,Y
114,47.0,6.0,C,Y
115,4.0,37.0,C,N
116,43.0,28.0,F,N
117,44.0,30.0,D,N
118,30.0,64.0,C,Y
119,28.0,31.0,F,N
120,55.0,47.0,B,N
121,8.0,85.0,F,Y
122,4.0,55.0,F,N
123,22.0,46.0,D,N
124,2.0,37.0,A,N
125,73.0,99.0,B,N
126,53.0,33.0,D,N
127,1.0,41.0,D,N
128,,,,Y
129,93.0,29.0,A,Y
130,6.0,46.0,A,N
131,99.0,70.0,B,N
132,3.0,33.0,C,N
133,58.0,47.0,C,N
134,51.0,84.0,A,N
135,61.0,66.0,A,Y
136,34.0,76.0,D,Y
137,,,,Y
138,50.0,55.0,B,N
139,89.0,67.0,A,N
140,50.0,55.0,B,N
141,62.0,4.0,F,Y
142,32.0,48.0,C,N
143,48.0,11.0,C,Y
144,1.0,30.0,B,Y
145,46.0,45.0,D,N
146,19.0,13.0,C,Y
147,51.0,53.0,C,N
148,82.0,55.0,F,N
149,28.0,7.0,D,N
150,8.0,16.0,F,N
151,2.0,9.0,B,Y
152,40.0,28.0,F,Y
153,2.0,11.0,C,N
154,64.0,64.0,C,N
155,3.0,44.0,C,N
156,79.0,71.0,D,N
157,12.0,54.0,D,N
158,50.0,78.0,C,N
159,81.0,18.0,D,N
160,,,,Y
161,61.0,33.0,B,N
162,17.0,65.0,F,N
163,7.0,42.0,B,N
164,54.0,4.0,A,N
165,20.0,63.0,D,N
166,32.0,2.0,F,Y
167,43.0,16.0,F,Y
168,65.0,40.0,A,N
169,59.0,17.0,A,N
170,18.0,77.0,B,Y
171,1.0,48.0,D,N
172,71.0,60.0,A,N
173,34.0,30.0,D,Y
174,27.0,62.0,C,Y
175,9.0,14.0,F,N
176,95.0,72.0,B,N
177,42.0,34.0,B,N
178,72.0,68.0,A,N
179,70.0,37.0,C,N
180,41.0,1.0,F,Y
181,72.0,4.0,D,N
182,12.0,8.0,B,N
183,8.0,43.0,C,N
184,13.0,53.0,F,N
185,30.0,38.0,D,N
186,45.0,61.0,D,Y
187,18.0,48.0,D,N
188,66.0,69.0,C,Y
189,31.0,48.0,B,N
190,78.0,82.0,C,N
191,90.0,53.0,D,N
192,31.0,17.0,F,Y
193,22.0,26.0,A,Y
194,14.0,58.0,C,N
195,37.0,40.0,D,Y
196,41.0,50.0,B,N
197,40.0,92.0,C,N
198,8.0,55.0,A,N
199,31.0,52.0,F,N
200,54.0,68.0,D,N
201,,,,Y
202,20.0,47.0,C,N
203,,,,Y
204,40.0,24.0,A,N
205,45.0,32.0,F,Y
206,89.0,36.0,D,N
207,54.0,99.0,A,N
208,24.0,4.0,C,Y
209,3.0,49.0,B,N
210,94.0,34.0,A,N
211,52.0,86.0,F,Y
212,93.0,65.0,B,N
213,21.0,35.0,B,N
214,70.0,5.0,D,Y
215,34.0,16.0,D,Y
216,53.0,73.0,A,N
217,99.0,58.0,B,N
218,89.0,78.0,D,N
219,53.0,6.0,B,Y
220,9.0,24.0,C,N
221,32.0,5.0,D,Y
222,72.0,42.0,A,N
223,,,,Y
224,14.0,52.0,F,N
225,9.0,56.0,F,N
226,1.0,30.0,A,N
227,50.0,66.0,F,N
228,56.0,45.0,C,Y
229,,,,Y
230,81.0,6.0,F,N
231,29.0,52.0,D,N
232,67.0,75.0,D,Y
233,58.0,87.0,D,Y
234,23.0,34.0,D,N
235,79.0,36.0,A,N
236,57.0,34.0,A,N
237,26.0,1.0,F,Y
238,11.0,56.0,C,N
239,55.0,31.0,C,Y
240,92.0,63.0,A,N
241,52.0,54.0,A,Y
242,79.0,88.0,C,N
243,59.0,42.0,D,N
244,4.0,17.0,B,N
245,19.0,22.0,C,N
246,93.0,37.0,C,N
247,65.0,63.0,C,Y
248,43.0,42.0,F,N
249,30.0,0.0,D,Y
250,12.0,98.0,B,Y
251,94.0,17.0,A,Y
252,36.0,54.0,D,N
253,11.0,8.0,C,N
254,27.0,43.0,D,Y
255,96.0,47.0,B,N
256,7.0,35.0,D,N
257,39.0,42.0,C,Y
258,72.0,41.0,C,N
259,,,,Y
260,65.0,77.0,C,N
261,,,,Y
262,,,,Y
263,88.0,4.0,F,N
264,65.0,76.0,B,N
265,78.0,96.0,F,Y
266,68.0,67.0,A,N
267,70.0,38.0,C,Y
268,90.0,63.0,A,N
269,40.0,39.0,C,N
270,48.0,48.0,D,N
271,58.0,88.0,D,N
272,62.0,74.0,B,N
273,43.0,17.0,A,N
274,41.0,52.0,C,N
275,40.0,73.0,D,N
276,15.0,12.0,F,Y
277,28.0,51.0,D,N
278,44.0,29.0,C,Y
279,40.0,50.0,D,N
280,8.0,15.0,D,N
281,10.0,12.0,F,Y
282,,,,Y
283,66.0,49.0,A,N
284,54.0,30.0,D,Y
285,27.0,47.0,D,Y
286,89.0,81.0,F,N
287,26.0,43.0,D,N
288,13.0,56.0,B,N
289,56.0,60.0,F,N
290,33.0,38.0,F,N
291,98.0,21.0,B,N
292,68.0,9.0,B,N
293,2.0,32.0,B,N
294,12.0,55.0,C,N
295,73.0,18.0,C,N
296,8.0,28.0,B,N
297,73.0,71.0,B,N
298,46.0,82.0,B,Y
299,10.0,12.0,F,N
300,76.0,83.0,C,Y
301,48.0,31.0,C,N
302,21.0,39.0,C,Y
303,8.0,48.0,B,N
304,83.0,69.0,A,N
305,,,,Y
306,,,,Y
307,,,,Y
308,8.0,26.0,D,N
309,18.0,56.0,A,N
310,,,,Y
311,,,,Y
312,82.0,37.0,B,N
313,33.0,42.0,B,N
314,55.0,8.0,F,Y
315,8.0,51.0,C,N
316,72.0,83.0,A,N
317,99.0,66.0,A,N
318,78.0,99.0,D,Y
319,3.0,16.0,B,N
320,11.0,26.0,C,N
321,49.0,36.0,D,N
322,2.0,30.0,B,N
323,31.0,36.0,C,N
324,24.0,6.0,D,Y
325,58.0,19.0,D,Y
326,45.0,53.0,D,N
327,4.0,51.0,C,Y
328,15.0,48.0,F,Y
329,13.0,49.0,C,N
330,68.0,50.0,A,N
331,98.0,2.0,A,N
332,72.0,76.0,A,N
333,21.0,32.0,F,N
334,28.0,35.0,F,N
335,13.0,42.0,C,N
336,13.0,17.0,A,N
337,77.0,58.0,B,N
338,8.0,32.0,F,N
339,13.0,19.0,A,N
340,62.0,92.0,B,N
341,5.0,40.0,B,N
342,31.0,15.0,B,Y
343,83.0,5.0,A,N
344,28.0,12.0,F,Y
345,80.0,51.0,A,N
346,,,,Y
347,2.0,33.0,C,N
348,13.0,38.0,D,Y
349,,,,Y
350,44.0,78.0,A,N
351,56.0,36.0,D,N
352,58.0,78.0,C,Y
353,46.0,56.0,A,N
354,40.0,33.0,F,Y
355,83.0,83.0,D,Y
356,8.0,14.0,A,N
357,9.0,21.0,A,N
358,60.0,45.0,B,N
359,82.0,92.0,A,N
360,54.0,91.0,D,Y
361,,,,Y
362,51.0,31.0,D,N
363,,,,Y
364,55.0,1.0,D,Y
365,56.0,42.0,A,N
366,47.0,11.0,B,N
367,59.0,10.0,F,Y
368,62.0,45.0,C,N
369,69.0,67.0,B,N
370,14.0,21.0,F,Y
371,64.0,2.0,C,Y
372,4.0,26.0,D,N
373,69.0,24.0,B,N
374,86.0,96.0,D,N
375,37.0,7.0,F,Y
376,71.0,94.0,C,Y
377,52.0,37.0,A,N
378,74.0,20.0,C,N
379,6.0,44.0,C,N
380,32.0,35.0,D,N
381,54.0,43.0,C,N
382,12.0,44.0,A,N
383,62.0,34.0,F,Y
384,25.0,39.0,C,N
385,80.0,22.0,C,N
386,31.0,63.0,F,Y
387,25.0,39.0,F,Y
388,3.0,57.0,B,N
389,47.0,81.0,D,N
390,,,,Y
391,22.0,51.0,F,N
392,20.0,98.0,A,Y
393,,,,Y
394,57.0,6.0,F,Y
395,33.0,46.0,D,N
396,27.0,44.0,B,N
397,71.0,13.0,B,Y
398,4.0,8.0,A,N
399,80.0,73.0,B,N
400,,,,Y
401,99.0,60.0,C,N
402,76.0,48.0,A,N
403,81.0,24.0,C,N
404,25.0,99.0,F,Y
405,38.0,22.0,F,Y
406,52.0,24.0,C,N
407,32.0,56.0,F,Y
408,85.0,74.0,A,N
409,27.0,24.0,F,Y
410,78.0,70.0,A,N
411,4.0,38.0,D,N
412,50.0,74.0,B,N
413,82.0,48.0,F,N
414,40.0,10.0,F,Y
415,67.0,62.0,A,N
416,60.0,61.0,C,Y
417,9.0,49.0,F,Y
418,,,,Y
419,25.0,33.0,B,N
420,67.0,44.0,F,N
421,82.0,4.0,F,Y
422,,,,Y
423,82.0,66.0,F,N
424,81.0,88.0,A,N
425,34.0,39.0,B,N
426,26.0,63.0,C,Y
427,51.0,43.0,D,Y
428,8.0,40.0,D,N
429,4.0,23.0,D,N
430,92.0,33.0,D,N
431,58.0,19.0,C,Y
432,12.0,23.0,B,N
433,35.0,35.0,D,N
434,95.0,24.0,F,N
435,4.0,37.0,F,Y
436,11.0,31.0,C,N
437,71.0,7.0,C,Y
438,12.0,39.0,B,N
439,59.0,67.0,D,Y
440,85.0,73.0,B,N
441,64.0,33.0,C,N
442,,,,Y
443,,,,Y
444,56.0,65.0,C,N
445,31.0,84.0,D,N
446,52.0,45.0,D,N
447,49.0,90.0,F,N
448,13.0,23.0,D,N
449,,,,Y
450,60.0,71.0,C,N
451,33.0,34.0,C,Y
452,52.0,25.0,A,N
453,71.0,96.0,C,N
454,,,,Y
455,87.0,64.0,B,N
456,82.0,43.0,A,N
457,20.0,16.0,C,Y
458,51.0,36.0,C,N
459,1.0,8.0,F,N
460,,,,Y
461,54.0,93.0,C,N
462,68.0,40.0,F,Y
463,,,,Y
464,48.0,46.0,A,Y
465,2.0,41.0,C,N
466,6.0,37.0,D,N
467,26.0,41.0,D,N
468,25.0,40.0,F,N
469,12.0,48.0,A,N
470,43.0,53.0,D,N
471,59.0,13.0,F,Y
472,11.0,79.0,D,Y
473,,,,Y
474,39.0,96.0,F,N
475,77.0,42.0,F,N
476,,,,Y
477,95.0,49.0,D,N
478,51.0,60.0,C,Y
479,40.0,32.0,D,N
480,55.0,54.0,C,N
481,30.0,40.0,F,N
482,27.0,44.0,B,Y
483,11.0,67.0,F,N
484,81.0,18.0,B,Y
485,68.0,30.0,C,Y
486,76.0,47.0,A,N
487,50.0,44.0,B,N
488,8.0,55.0,B,N
489,35.0,22.0,F,Y
490,80.0,32.0,A,N
491,75.0,87.0,A,Y
492,54.0,46.0,C,N
493,16.0,38.0,B,N
494,50.0,33.0,B,N
495,10.0,21.0,C,N
496,53.0,32.0,A,N
497,10.0,12.0,C,N
498,71.0,11.0,A,N
499,40.0,33.0,D,N
500,48.0,20.0,F,Y
501,45.0,59.0,C,Y
502,24.0,33.0,F,Y
503,67.0,73.0,A,N
504,67.0,20.0,D,N
505,55.0,54.0,A,N
506,49.0,36.0,A,N
507,,,,Y
508,23.0,67.0,B,N
509,9.0,51.0,C,N
510,52.0,31.0,D,N
511,,,,Y
512,93.0,73.0,A,N
513,2.0,37.0,B,N
514,68.0,20.0,A,N
515,12.0,1.0,F,Y
516,78.0,62.0,C,N
517,75.0,24.0,A,N
518,45.0,34.0,F,N
519,72.0,79.0,F,N
520,20.0,33.0,D,N
521,,,,Y
522,78.0,41.0,B,N
523,29.0,47.0,D,N
524,55.0,33.0,F,N
525,10.0,4.0,B,N
526,50.0,69.0,C,N
527,66.0,22.0,F,N
528,23.0,1.0,F,N
529,,,,Y
530,60.0,75.0,C,N
531,40.0,80.0,A,N
532,27.0,64.0,C,Y
533,32.0,46.0,C,N
534,39.0,25.0,A,Y
535,31.0,41.0,C,Y
536,23.0,9.0,C,N
537,56.0,36.0,B,N
538,75.0,41.0,A,N
539,54.0,9.0,F,Y
540,75.0,77.0,A,N
541,98.0,29.0,F,N
542,32.0,10.0,D,Y
543,88.0,59.0,D,Y
544,,,,Y
545,38.0,19.0,F,Y
546,20.0,41.0,C,N
547,67.0,24.0,D,N
548,70.0,58.0,A,N
549,71.0,24.0,A,Y
550,59.0,7.0,F,Y
551,63.0,3.0,D,Y
552,,,,Y
553,74.0,43.0,D,Y
554,92.0,16.0,C,Y
555,49.0,5.0,A,N
556,57.0,73.0,A,N
557,56.0,68.0,F,N
558,39.0,35.0,F,Y
559,90.0,57.0,B,N
560,79.0,94.0,A,N
561,88.0,20.0,A,Y
562,46.0,37.0,B,Y
563,4.0,43.0,F,N
564,53.0,39.0,A,N
565,13.0,24.0,F,N
566,4.0,18.0,C,N
567,57.0,22.0,D,Y
568,,,,Y
569,43.0,53.0,B,N
570,,,,Y
571,42.0,14.0,D,Y
572,1.0,39.0,C,N
573,3.0,39.0,C,N
574,78.0,9.0,A,N
575,98.0,21.0,B,N
576,57.0,24.0,A,N
577,25.0,36.0,D,N
578,79.0,43.0,F,Y
579,81.0,22.0,A,N
580,5.0,44.0,C,N
581,6.0,31.0,B,Y
582,40.0,83.0,D,Y
583,71.0,70.0,D,N
584,52.0,52.0,D,N
585,51.0,28.0,F,N
586,9.0,42.0,D,N
587,59.0,51.0,D,N
588,89.0,30.0,D,Y
589,30.0,83.0,D,Y
590,26.0,27.0,F,N
591,3.0,12.0,C,N
592,95.0,47.0,C,N
593,87.0,28.0,B,N
594,58.0,18.0,A,N
595,43.0,48.0,C,N
596,61.0,69.0,A,N
597,80.0,70.0,A,N
598,93.0,22.0,C,N
599,91.0,23.0,C,N
600,69.0,77.0,C,N
601,29.0,15.0,F,Y
602,9.0,68.0,D,N
603,46.0,19.0,A,N
604,10.0,11.0,F,N
605,67.0,70.0,B,N
606,80.0,70.0,F,Y
607,19.0,61.0,C,N
608,77.0,77.0,C,N
609,46.0,46.0,C,N
610,66.0,96.0,D,Y
611,56.0,43.0,A,N
612,83.0,75.0,C,N
613,63.0,49.0,C,Y
614,64.0,6.0,F,Y
615,6.0,41.0,C,N
616,58.0,51.0,D,N
617,52.0,37.0,B,N
618,10.0,9.0,B,N
619,63.0,38.0,F,N
620,8.0,20.0,F,Y
621,56.0,43.0,D,N
622,39.0,54.0,D,N
623,10.0,33.0,B,N
624,52.0,81.0,C,Y
625,98.0,37.0,C,N
626,91.0,35.0,F,N
627,9.0,73.0,F,N
628,20.0,48.0,D,N
629,96.0,59.0,C,Y
630,34.0,39.0,C,N
631,8.0,10.0,D,N
632,22.0,62.0,B,Y
633,46.0,91.0,D,N
634,4.0,89.0,C,N
635,72.0,41.0,B,N
636,22.0,53.0,C,N
637,36.0,31.0,C,N
638,98.0,9.0,C,N
639,51.0,30.0,A,N
640,5.0,19.0,C,N
641,26.0,56.0,C,N
642,70.0,48.0,B,N
643,,,,Y
644,94.0,54.0,A,N
645,90.0,29.0,C,N
646,79.0,26.0,C,N
647,50.0,5.0,A,Y
648,14.0,8.0,F,Y
649,44.0,13.0,C,N
650,42.0,34.0,D,N
651,79.0,9.0,F,N
652,92.0,35.0,B,N
653,44.0,34.0,D,N
654,8.0,24.0,C,N
655,53.0,74.0,F,N
656,79.0,85.0,A,N
657,30.0,45.0,A,Y
658,82.0,19.0,F,N
659,1.0,38.0,B,N
660,55.0,46.0,F,N
661,51.0,44.0,B,N
662,43.0,36.0,D,N
663,84.0,79.0,A,N
664,88.0,51.0,F,Y
665,3.0,24.0,C,N
666,9.0,48.0,B,N
667,42.0,39.0,C,N
668,95.0,57.0,A,N
669,67.0,56.0,D,N
670,28.0,50.0,C,N
671,27.0,16.0,D,Y
672,31.0,32.0,B,N
673,56.0,25.0,F,N
674,30.0,51.0,B,N
675,90.0,85.0,F,N
676,31.0,34.0,D,N
677,27.0,1.0,D,Y
678,60.0,45.0,A,N
679,75.0,88.0,A,N
680,94.0,35.0,A,N
681,,,,Y
682,79.0,48.0,A,Y
683,7.0,46.0,D,N
684,8.0,27.0,C,N
685,90.0,45.0,A,N
686,2.0,12.0,C,N
687,55.0,63.0,B,N
688,24.0,51.0,D,N
689,58.0,49.0,C,Y
690,50.0,47.0,F,N
691,62.0,18.0,F,Y
692,55.0,93.0,A,N
693,54.0,76.0,C,N
694,88.0,96.0,D,Y
695,57.0,30.0,D,N
696,1.0,40.0,B,Y
697,8.0,19.0,C,N
698,47.0,30.0,D,N
699,64.0,63.0,B,N
700,15.0,13.0,F,N
701,61.0,93.0,B,N
702,56.0,93.0,D,Y
703,60.0,23.0,A,N
704,38.0,46.0,C,Y
705,50.0,76.0,C,Y
706,37.0,39.0,F,Y
707,17.0,83.0,A,N
708,24.0,86.0,C,N
709,48.0,85.0,F,Y
710,88.0,38.0,B,Y
711,21.0,46.0,D,N
712,74.0,52.0,B,Y
713,45.0,43.0,D,N
714,85.0,33.0,F,N
715,56.0,5.0,F,Y
716,,,,Y
717,74.0,54.0,C,N
718,83.0,68.0,A,N
719,66.0,37.0,B,N
720,46.0,10.0,C,N
721,2.0,55.0,A,N
722,65.0,20.0,C,N
723,14.0,52.0,A,N
724,3.0,29.0,F,N
725,61.0,8.0,A,N
726,65.0,62.0,D,Y
727,63.0,39.0,F,N
728,,,,Y
729,13.0,14.0,D,N
730,25.0,33.0,F,N
731,18.0,42.0,C,N
732,45.0,53.0,A,Y
733,69.0,52.0,A,N
734,89.0,68.0,B,N
735,71.0,8.0,C,Y
736,,,,Y
737,,,,Y
738,87.0,33.0,A,N
739,70.0,12.0,A,N
740,47.0,35.0,D,N
741,51.0,17.0,D,N
742,66.0,26.0,D,Y
743,28.0,19.0,F,Y
744,77.0,11.0,D,Y
745,70.0,38.0,F,Y
746,46.0,90.0,A,N
747,83.0,52.0,B,N
748,26.0,19.0,D,Y
749,11.0,55.0,C,N
750,42.0,95.0,D,Y
751,50.0,27.0,B,N
752,,,,Y
753,50.0,49.0,F,N
754,40.0,67.0,C,N
755,67.0,25.0,C,Y
756,40.0,66.0,A,Y
757,68.0,11.0,A,N
758,13.0,48.0,D,N
759,48.0,78.0,C,N
760,74.0,8.0,B,N
761,40.0,32.0,C,Y
762,66.0,45.0,B,N
763,8.0,54.0,F,N
764,60.0,19.0,B,N
765,10.0,24.0,C,Y
766,1.0,75.0,A,N
767,63.0,25.0,B,Y
768,81.0,47.0,A,N
769,24.0,34.0,D,N
770,16.0,53.0,A,N
771,32.0,74.0,F,N
772,50.0,58.0,F,N
773,38.0,66.0,A,Y
774,11.0,74.0,F,Y
775,60.0,2.0,D,N
776,67.0,76.0,F,N
777,80.0,45.0,A,Y
778,6.0,14.0,B,N
779,6.0,50.0,B,N
780,64.0,61.0,F,N
781,51.0,50.0,F,N
782,50.0,44.0,C,N
783,10.0,48.0,C,N
784,35.0,34.0,C,N
785,42.0,88.0,B,Y
786,73.0,8.0,F,Y
787,7.0,44.0,F,Y
788,3.0,29.0,D,N
789,2.0,52.0,A,N
790,56.0,72.0,A,N
791,72.0,34.0,C,Y
792,96.0,65.0,F,N
793,67.0,53.0,F,N
794,53.0,9.0,F,Y
795,4.0,9.0,C,N
796,42.0,59.0,D,Y
797,68.0,86.0,B,N
798,,,,Y
799,66.0,46.0,A,Y
800,2.0,47.0,D,N
801,12.0,96.0,F,N
802,19.0,19.0,D,Y
803,1.0,26.0,C,N
804,46.0,38.0,D,N
805,42.0,54.0,D,N
806,61.0,88.0,F,N
807,50.0,76.0,A,N
808,2.0,47.0,A,N
809,45.0,43.0,A,N
810,68.0,71.0,A,Y
811,85.0,43.0,F,N
812,23.0,26.0,A,N
813,53.0,36.0,B,N
814,9.0,36.0,F,N
815,87.0,59.0,F,N
816,60.0,52.0,A,N
817,75.0,26.0,F,N
818,43.0,44.0,D,N
819,9.0,24.0,A,N
820,12.0,11.0,C,Y
821,84.0,66.0,F,N
822,4.0,43.0,D,Y
823,50.0,42.0,C,N
824,37.0,51.0,C,N
825,96.0,76.0,F,N
826,44.0,53.0,D,N
827,7.0,50.0,D,N
828,65.0,69.0,D,Y
829,46.0,7.0,B,Y
830,86.0,23.0,B,N
831,3.0,8.0,B,N
832,95.0,57.0,D,N
833,73.0,77.0,B,N
834,84.0,40.0,A,N
835,63.0,9.0,F,N
836,81.0,22.0,A,N
837,28.0,11.0,B,N
838,49.0,35.0,D,N
839,6.0,91.0,C,Y
840,27.0,9.0,F,Y
841,5.0,41.0,B,N
842,,,,Y
843,,,,Y
844,0.0,77.0,D,Y
845,81.0,58.0,C,N
846,15.0,28.0,F,Y
847,88.0,79.0,B,N
848,39.0,30.0,D,N
849,45.0,8.0,B,N
850,33.0,61.0,B,N
851,36.0,33.0,D,N
852,92.0,65.0,A,N
853,2.0,17.0,C,N
854,75.0,70.0,A,N
855,,,,Y
856,71.0,97.0,F,Y
857,11.0,52.0,D,N
858,,,,Y
859,57.0,3.0,F,Y
860,56.0,57.0,A,N
861,25.0,25.0,F,N
862,71.0,93.0,D,Y
863,41.0,51.0,F,Y
864,55.0,48.0,F,N
865,15.0,57.0,D,Y
866,42.0,23.0,F,Y
867,58.0,47.0,F,N
868,11.0,18.0,B,N
869,69.0,90.0,B,N
870,28.0,51.0,D,Y
871,68.0,52.0,F,Y
872,,,,Y
873,23.0,30.0,C,N
874,82.0,25.0,A,N
875,30.0,99.0,C,Y
876,41.0,38.0,C,N
877,13.0,50.0,C,N
878,60.0,5.0,F,Y
879,12.0,25.0,B,N
880,75.0,52.0,D,N
881,25.0,12.0,F,Y
882,,,,Y
883,22.0,22.0,C,N
884,46.0,4.0,C,N
885,61.0,66.0,C,Y
886,,,,Y
887,87.0,72.0,A,N
888,8.0,40.0,C,N
889,22.0,47.0,D,N
890,66.0,77.0,D,N
891,,,,Y
892,54.0,36.0,D,N
893,27.0,46.0,D,N
894,23.0,28.0,F,N
895,58.0,19.0,F,Y
896,8.0,49.0,D,N
897,72.0,37.0,F,Y
898,46.0,41.0,A,N
899,24.0,8.0,B,N
900,47.0,89.0,B,Y
901,12.0,41.0,B,N
902,10.0,32.0,D,N
903,33.0,38.0,D,N
904,39.0,33.0,D,N
905,35.0,85.0,B,N
906,20.0,33.0,D,N
907,18.0,7.0,F,Y
908,,,,Y
909,61.0,11.0,F,Y
910,66.0,3.0,C,Y
911,2.0,20.0,C,N
912,1.0,94.0,A,N
913,33.0,41.0,B,Y
914,31.0,30.0,F,Y
915,82.0,53.0,B,N
916,66.0,76.0,A,N
917,55.0,66.0,D,N
918,2.0,88.0,F,N
919,35.0,3.0,D,Y
920,78.0,25.0,D,N
921,,,,Y
922,4.0,85.0,B,N
923,29.0,55.0,C,Y
924,29.0,34.0,C,N
925,2.0,53.0,C,N
926,47.0,86.0,C,N
927,,,,Y
928,79.0,76.0,A,N
929,62.0,44.0,A,N
930,65.0,1.0,D,Y
931,37.0,13.0,F,Y
932,11.0,24.0,D,N
933,3.0,35.0,C,N
934,57.0,52.0,A,N
935,49.0,10.0,B,Y
936,65.0,59.0,A,N
937,54.0,32.0,A,N
938,12.0,41.0,C,N
939,5.0,43.0,C,N
940,43.0,57.0,B,N
941,13.0,57.0,B,N
942,,,,Y
943,99.0,40.0,A,Y
944,86.0,64.0,D,N
945,41.0,42.0,D,Y
946,61.0,58.0,F,Y
947,44.0,47.0,D,N
948,37.0,52.0,D,N
949,73.0,62.0,D,N
950,97.0,76.0,B,Y
951,17.0,65.0,C,Y
952,38.0,58.0,F,Y
953,29.0,42.0,B,Y
954,51.0,34.0,B,N
955,7.0,56.0,D,N
956,2.0,37.0,F,Y
957,46.0,67.0,A,Y
958,36.0,36.0,F,Y
959,66.0,33.0,C,N
960,1.0,45.0,B,N
961,72.0,79.0,F,N
962,62.0,40.0,D,Y
963,43.0,29.0,D,Y
964,7.0,28.0,A,N
965,38.0,50.0,D,N
966,13.0,54.0,A,N
967,,,,Y
968,37.0,54.0,C,N
969,80.0,35.0,A,N
970,9.0,18.0,D,N
971,96.0,49.0,A,N
972,5.0,36.0,A,N
973,47.0,39.0,A,N
974,52.0,48.0,C,N
975,3.0,51.0,B,N
976,66.0,36.0,D,N
977,9.0,48.0,F,N
978,,,,Y
979,80.0,28.0,C,N
980,9.0,27.0,D,N
981,82.0,62.0,F,Y
982,,,,Y
983,8.0,38.0,B,N
984,9.0,20.0,B,N
985,,,,Y
986,62.0,13.0,F,Y
987,29.0,20.0,A,N
988,3.0,8.0,B,N
989,57.0,12.0,D,Y
990,59.0,20.0,A,N
991,25.0,13.0,D,N
992,29.0,20.0,D,Y
993,87.0,83.0,D,N
994,65.0,35.0,F,N
995,,,,Y
996,4.0,15.0,D,N
997,80.0,74.0,A,N
998,4.0,21.0,D,N
999,10.0,35.0,D,N
1000,62.0,72.0,D,N
1001,13.0,49.0,A,N
1002,16.0,58.0,D,N
1003,58.0,56.0,D,Y
1004,,,,Y
1005,26.0,44.0,D,N
1006,81.0,69.0,A,N
1007,,,,Y
1008,33.0,48.0,D,N
1009,6.0,34.0,D,N
1010,66.0,64.0,C,N
