,External,Year,session 1,session 2,test 1,dropout
302,Y,first,20,40,C,Y
303,N,third,3,16,F,N
304,Y,second,13,53,A,N
305,N,second,4,13,B,Y
306,Y,third,18,6,D,Y
307,Y,first,28,8,D,Y
308,Y,third,7,9,F,N
309,Y,second,93,46,C,N
310,N,third,12,8,F,Y
311,Y,second,8,0,F,Y
312,Y,second,82,68,A,N
313,N,third,4,3,F,N
314,Y,first,54,26,C,Y
315,N,second,4,11,A,N
316,Y,third,75,68,A,N
317,Y,third,60,57,A,N
318,N,third,59,65,C,Y
319,N,third,3,11,B,N
320,N,third,2,9,B,N
321,N,second,9,25,D,N
322,N,third,6,12,A,N
323,N,first,10,21,F,N
324,Y,first,57,2,A,Y
325,Y,first,51,22,C,Y
326,N,second,8,23,D,N
327,Y,third,2,20,D,Y
328,Y,first,20,78,F,Y
329,N,third,8,1,A,N
330,Y,third,67,63,F,N
331,Y,first,16,81,D,N
332,Y,third,55,75,A,N
333,N,second,18,8,F,N
334,N,second,6,19,F,N
335,N,third,5,12,A,N
336,N,third,9,2,F,N
337,Y,third,77,93,C,N
338,N,third,5,15,A,N
339,Y,third,6,3,A,N
340,N,third,80,35,F,N
341,N,third,3,14,A,N
342,N,third,44,56,D,Y
343,N,third,75,57,B,N
344,Y,third,35,42,A,Y
345,Y,third,77,94,F,N
346,Y,first,6,15,D,Y
347,N,third,8,6,A,N
348,Y,second,4,74,F,Y
349,Y,first,21,34,F,Y
350,N,first,47,11,D,N
351,N,second,17,4,D,N
352,N,second,29,68,B,Y
353,Y,second,98,54,B,N
354,Y,second,22,36,D,Y
355,N,third,68,66,A,Y
356,N,third,7,1,B,N
357,N,third,7,10,A,N
358,Y,third,27,63,F,N
359,N,third,77,70,A,N
360,N,second,43,67,A,Y
361,Y,first,15,1,D,Y
362,Y,first,8,11,D,N
363,N,third,6,34,B,Y
364,Y,first,54,51,B,Y
365,Y,third,86,78,B,N
366,N,second,99,89,A,N
367,Y,second,50,32,B,Y
368,N,third,51,29,D,N
369,Y,third,76,77,A,N
370,Y,second,29,57,D,Y
371,Y,first,28,29,D,Y
372,N,third,2,6,A,N
373,Y,second,30,60,D,N
374,Y,second,97,57,C,N
375,N,third,62,56,C,Y
376,Y,first,43,17,D,Y
377,Y,second,75,76,A,N
378,Y,third,44,63,A,N
379,N,third,2,3,B,N
380,N,second,8,17,F,N
381,Y,first,28,58,B,N
382,N,third,7,7,F,N
383,N,first,50,84,D,Y
384,N,second,9,23,D,N
385,Y,second,48,12,A,N
386,N,second,96,67,F,Y
387,Y,first,43,46,D,Y
388,N,third,3,2,A,N
389,N,second,95,13,F,N
390,Y,first,0,6,F,Y
391,Y,second,18,9,D,N
392,Y,second,65,75,A,Y
393,Y,first,18,29,B,Y
394,Y,second,54,29,A,Y
395,N,first,4,4,F,N
396,N,second,1,27,F,N
397,Y,first,3,34,F,Y
398,N,second,3,3,B,N
399,N,second,59,23,A,N
400,N,third,11,7,B,Y
401,Y,third,44,65,A,N
402,Y,first,23,70,A,N
403,Y,third,48,52,A,N
404,Y,second,38,39,D,Y
405,Y,third,33,56,D,Y
406,Y,third,24,75,F,N
407,Y,first,99,67,A,Y
408,Y,first,24,51,F,N
409,Y,second,59,34,C,Y
410,Y,second,58,59,F,N
411,N,third,3,16,B,N
412,Y,third,14,55,B,N
413,Y,third,57,31,A,N
414,Y,second,52,41,C,Y
415,Y,first,46,66,A,N
416,Y,third,89,18,B,Y
417,Y,first,41,35,D,Y
418,N,third,24,38,F,Y
419,N,third,4,27,D,N
420,Y,second,71,60,F,N
421,Y,first,36,26,F,Y
422,Y,second,12,1,F,Y
423,Y,second,73,52,B,N
424,Y,second,79,77,D,N
425,N,first,15,3,F,N
426,N,third,84,17,B,Y
427,Y,first,91,30,A,Y
428,N,second,4,4,F,N
429,N,third,7,8,A,N
430,Y,third,73,57,C,N
431,Y,second,6,76,B,Y
432,N,second,8,16,A,N
433,N,second,19,14,D,N
434,Y,third,56,57,B,N
435,Y,second,42,37,F,Y
436,N,second,9,3,B,N
437,Y,first,75,57,D,Y
438,N,third,5,6,A,N
439,N,second,48,54,A,Y
440,Y,third,44,71,F,N
441,Y,first,94,37,D,N
442,Y,third,7,7,C,Y
443,Y,first,11,15,F,Y
444,Y,third,70,37,A,N
445,N,first,67,74,D,N
446,N,first,5,26,F,N
447,N,first,77,86,D,N
448,N,second,5,12,B,N
449,Y,second,6,10,F,Y
450,Y,second,70,1,B,N
451,Y,first,30,52,B,Y
452,Y,third,23,77,A,N
453,Y,first,75,71,A,N
454,Y,first,3,6,D,Y
455,Y,third,75,31,A,N
456,Y,third,43,68,B,N
457,Y,second,59,16,A,Y
458,Y,second,15,3,F,N
459,N,second,4,7,A,N
460,Y,first,16,18,B,Y
461,Y,first,84,54,A,N
462,Y,first,24,28,B,Y
463,Y,first,16,8,D,Y
464,N,first,91,51,A,Y
465,N,second,6,5,F,N
466,N,third,5,10,F,N
467,Y,first,15,26,F,N
468,N,first,6,15,F,N
469,Y,second,8,2,B,N
470,N,third,16,16,F,N
471,Y,first,58,44,A,Y
472,Y,first,35,10,A,Y
473,N,third,11,20,F,Y
474,N,first,67,35,C,N
475,Y,third,46,76,F,N
476,Y,third,19,48,D,Y
477,Y,third,49,65,F,N
478,Y,third,14,22,A,Y
479,N,second,17,24,F,N
480,N,third,28,76,D,N
481,Y,first,10,17,F,N
482,Y,second,73,69,F,Y
483,Y,first,26,97,D,N
484,Y,second,87,33,A,Y
485,N,third,2,40,A,Y
486,Y,first,66,66,A,N
487,Y,third,70,66,D,N
488,N,second,4,12,B,N
489,Y,first,52,36,A,Y
490,Y,third,85,65,D,N
491,N,second,67,67,A,Y
492,N,first,2,26,D,N
493,N,first,71,2,D,N
494,Y,third,58,78,F,N
495,Y,second,4,16,A,N
496,Y,second,71,85,A,N
497,Y,third,4,10,B,N
498,N,second,71,70,C,N
499,N,second,70,66,B,N
500,Y,second,57,59,C,Y
501,Y,third,62,59,D,Y
502,Y,second,28,50,D,Y
503,Y,second,27,10,D,N
504,Y,third,57,66,B,N
505,Y,third,45,50,A,N
506,Y,second,97,37,B,N
507,Y,first,10,21,F,Y
508,Y,third,42,7,B,N
509,N,second,5,12,F,N
510,Y,first,19,12,F,N
511,Y,first,8,11,F,Y
512,Y,first,26,68,B,N
513,N,third,3,15,F,N
514,Y,second,96,53,C,N
515,Y,third,25,54,B,Y
516,N,third,61,62,B,N
517,Y,first,14,94,C,N
518,N,first,9,11,F,N
519,Y,third,55,52,D,N
520,Y,second,8,8,D,N
521,Y,first,12,5,F,Y
522,Y,third,77,51,A,N
523,Y,first,3,24,F,N
524,Y,first,14,27,F,N
525,N,third,46,79,A,N
526,Y,third,11,73,B,N
527,Y,third,12,68,F,N
528,Y,third,1,79,A,N
529,N,second,4,32,B,Y
530,N,second,20,74,B,N
531,Y,second,76,82,F,N
532,Y,third,78,72,F,Y
533,Y,second,17,20,F,N
534,N,third,3,96,F,Y
535,Y,third,49,54,D,Y
536,Y,third,64,10,B,N
537,Y,third,16,76,F,N
538,Y,second,84,74,A,N
539,Y,second,56,51,B,Y
540,Y,second,95,63,C,N
541,N,first,93,79,C,N
542,Y,second,41,12,F,Y
543,N,third,32,68,A,Y
544,N,third,7,25,F,Y
545,Y,first,55,25,C,Y
546,N,first,18,12,D,N
547,Y,third,59,70,C,N
548,Y,third,35,56,B,N
549,Y,third,31,97,A,Y
550,Y,first,50,36,D,Y
551,Y,first,58,25,A,Y
552,Y,third,18,23,D,Y
553,Y,third,32,44,A,Y
554,N,second,33,67,A,Y
555,N,third,80,38,C,N
556,Y,second,60,57,B,N
557,Y,third,77,70,A,N
558,Y,first,66,7,A,Y
559,Y,third,34,73,A,N
560,N,second,70,15,B,N
561,Y,first,53,98,B,Y
562,Y,third,8,23,A,Y
563,N,third,94,55,A,N
564,Y,second,41,48,C,N
565,N,third,9,4,A,N
566,N,third,6,11,A,N
567,Y,second,53,43,D,Y
568,N,third,13,23,F,Y
569,Y,first,61,86,A,N
570,Y,third,5,14,C,Y
571,Y,first,52,28,D,Y
572,Y,third,5,10,F,N
573,Y,third,1,4,A,N
574,Y,second,86,66,C,N
575,N,second,29,21,A,N
576,Y,second,53,62,A,N
577,N,second,18,25,F,N
578,Y,third,54,85,D,Y
579,Y,third,39,66,B,N
580,N,third,5,13,A,N
581,Y,first,84,14,F,Y
582,N,third,56,80,A,Y
583,Y,third,66,69,F,N
584,N,first,7,4,D,N
585,Y,first,69,35,D,N
586,N,third,8,16,B,N
587,N,first,2,18,F,N
588,Y,third,53,66,A,Y
589,Y,first,2,57,A,Y
590,N,second,62,92,C,N
591,Y,third,9,12,A,N
592,Y,third,61,62,D,N
593,Y,third,47,9,A,N
594,N,second,77,33,F,N
595,N,first,13,13,F,N
596,Y,third,67,62,C,N
597,Y,third,40,73,B,N
598,Y,first,67,49,A,N
599,Y,third,13,57,F,N
600,Y,first,69,77,C,N
601,Y,first,54,49,A,Y
602,N,first,40,36,C,N
603,Y,third,91,51,B,N
604,N,second,1,1,A,N
605,N,first,81,56,A,N
606,Y,third,23,35,A,Y
607,Y,first,58,15,A,N
608,Y,third,42,75,C,N
609,Y,third,8,23,D,N
610,Y,third,74,68,F,Y
611,Y,first,84,32,B,N
612,Y,second,58,54,B,N
613,N,third,40,50,B,Y
614,Y,third,50,27,B,Y
615,N,third,2,7,F,N
616,N,third,10,1,F,N
617,Y,third,16,58,C,N
618,N,third,3,10,F,N
619,Y,second,30,37,B,N
620,Y,third,56,10,C,Y
621,N,first,10,20,F,N
622,Y,second,15,13,D,N
623,Y,second,1,6,F,N
624,Y,third,31,42,D,Y
625,Y,third,61,78,B,N
626,Y,third,86,3,A,N
627,Y,second,26,26,C,N
628,Y,first,8,23,F,N
629,N,third,95,80,A,Y
630,N,second,12,12,D,N
631,N,third,6,7,A,N
632,Y,third,59,86,D,Y
633,Y,second,23,27,B,N
634,Y,first,18,8,A,N
635,Y,second,18,63,B,N
636,N,second,19,2,D,N
637,Y,second,13,24,D,N
638,Y,first,97,35,C,N
639,Y,third,80,52,A,N
640,N,second,5,3,A,N
641,Y,second,51,31,D,N
642,Y,second,94,78,D,N
643,Y,first,19,14,C,Y
644,Y,first,24,15,A,N
645,N,second,99,38,D,N
646,Y,third,10,55,A,N
647,Y,second,25,13,D,Y
648,N,second,46,61,A,Y
649,Y,second,88,14,D,N
650,N,third,14,18,D,N
651,Y,second,17,81,A,N
652,Y,third,69,31,A,N
653,Y,second,30,21,F,N
654,N,third,8,6,F,N
655,N,third,27,49,C,N
656,N,third,75,74,F,N
657,N,second,71,94,F,Y
658,N,second,95,84,A,N
659,Y,second,8,7,A,N
660,Y,third,67,62,C,N
661,N,first,4,23,D,N
662,Y,second,17,28,F,N
663,Y,third,16,77,B,N
664,Y,second,52,98,D,Y
665,N,third,8,9,A,N
666,N,third,9,12,A,N
667,N,second,19,16,D,N
668,Y,third,45,58,B,N
669,N,first,72,78,B,N
670,N,second,9,7,F,N
671,Y,second,76,27,D,Y
672,N,first,3,9,D,N
673,Y,third,77,71,C,N
674,Y,second,19,14,F,N
675,N,second,34,9,B,N
676,N,first,5,23,D,N
677,Y,third,53,43,C,Y
678,Y,third,48,73,C,N
679,Y,third,43,22,B,N
680,Y,first,6,86,F,N
681,Y,second,27,57,C,Y
682,Y,third,19,26,D,Y
683,N,third,8,1,F,N
684,N,third,8,14,A,N
685,Y,third,67,58,D,N
686,N,third,8,15,A,N
687,N,second,12,76,F,N
688,N,first,10,27,F,N
689,Y,first,82,81,C,Y
690,N,first,12,7,F,N
691,Y,second,54,46,C,Y
692,N,second,88,43,C,N
693,Y,third,39,44,D,N
694,Y,third,10,46,B,Y
695,N,second,3,6,D,N
696,Y,third,20,32,A,Y
697,N,second,5,15,A,N
698,N,second,2,17,F,N
699,N,first,63,96,D,N
700,Y,second,45,75,B,N
701,N,third,20,43,A,N
702,Y,first,70,99,D,Y
703,N,first,96,47,A,N
704,Y,first,82,84,A,Y
705,Y,second,9,33,C,Y
706,Y,first,46,37,B,Y
707,Y,second,78,59,B,N
708,Y,third,97,87,C,N
709,N,third,63,73,A,Y
710,Y,second,57,27,B,Y
711,N,first,10,12,D,N
712,Y,third,25,76,A,Y
713,N,second,18,12,D,N
714,N,first,67,76,A,N
715,Y,first,58,31,B,Y
716,N,second,23,6,B,Y
717,Y,second,95,34,C,N
718,Y,second,87,2,A,N
719,Y,second,48,64,A,N
720,N,second,97,33,A,N
721,Y,third,1,6,F,N
722,N,second,94,33,A,N
723,Y,third,59,99,A,N
724,N,second,8,6,B,N
725,Y,second,80,76,A,N
726,N,first,96,90,A,Y
727,Y,third,83,70,A,N
728,N,second,16,0,B,Y
729,N,third,6,6,B,N
730,N,third,19,29,F,N
731,Y,second,93,38,D,N
732,N,third,89,6,A,Y
733,Y,third,14,52,A,N
734,Y,second,35,60,A,N
735,Y,third,37,6,D,Y
736,Y,first,17,0,F,Y
737,N,third,19,31,B,Y
738,Y,second,92,53,A,N
739,N,third,86,47,A,N
740,N,first,12,20,D,N
741,N,second,60,92,A,N
742,N,second,96,65,A,Y
743,Y,third,53,20,C,Y
744,Y,second,88,65,F,Y
745,Y,third,12,10,D,Y
746,N,second,64,62,A,N
747,Y,second,37,57,A,N
748,Y,first,56,46,B,Y
749,Y,third,7,11,F,N
750,N,third,59,58,B,Y
751,Y,first,90,79,A,N
752,Y,first,23,9,B,Y
753,N,third,5,20,C,N
754,N,third,77,63,A,N
755,Y,first,24,95,A,Y
756,N,third,68,79,C,Y
757,Y,second,86,45,A,N
758,N,second,1,2,B,N
759,Y,second,86,41,B,N
760,Y,second,95,45,C,N
761,Y,first,66,13,A,Y
762,Y,third,10,71,A,N
763,N,third,2,15,F,N
764,Y,third,69,55,C,N
765,Y,third,9,65,B,Y
766,Y,third,88,46,B,N
767,Y,second,40,25,B,Y
768,Y,second,92,49,F,N
769,N,first,6,17,F,N
770,N,first,63,38,F,N
771,N,first,80,10,D,N
772,Y,first,89,41,A,N
773,Y,first,22,38,B,Y
774,N,third,26,66,C,Y
775,Y,second,25,27,B,N
776,Y,third,44,51,F,N
777,Y,second,70,71,C,Y
778,Y,second,9,2,B,N
779,N,third,5,4,A,N
780,Y,second,27,50,C,N
781,N,third,90,96,B,N
782,N,third,11,16,F,N
783,N,third,6,8,B,N
784,N,first,7,8,D,N
785,Y,third,79,5,D,Y
786,Y,third,92,91,D,Y
787,Y,third,33,35,A,Y
788,N,third,7,13,F,N
789,N,third,7,4,F,N
790,Y,third,25,75,D,N
791,Y,third,41,51,A,Y
792,Y,third,55,71,F,N
793,Y,third,64,68,A,N
794,Y,first,52,27,C,Y
795,N,third,8,14,B,N
796,Y,third,41,51,B,Y
797,Y,third,36,39,D,N
798,Y,second,6,3,B,Y
799,Y,third,14,22,F,Y
800,N,third,1,10,A,N
801,N,second,27,98,B,N
802,Y,third,31,40,F,Y
803,N,second,6,8,A,N
804,Y,first,1,3,F,N
805,Y,second,79,98,C,N
806,N,third,8,41,A,N
807,N,first,73,89,A,N
808,N,second,1,8,B,N
809,N,second,79,38,C,N
810,Y,second,29,75,A,Y
811,Y,third,62,57,A,N
812,Y,second,79,10,C,N
813,Y,first,6,23,F,N
814,Y,third,53,14,F,N
815,Y,second,80,3,B,N
816,Y,third,40,56,F,N
817,N,third,97,94,B,N
818,N,second,1,3,F,N
819,N,third,8,8,F,N
820,Y,first,47,51,A,Y
821,N,third,44,23,C,N
822,Y,first,54,28,C,Y
823,Y,second,5,27,F,N
824,N,first,5,20,D,N
825,Y,third,38,78,B,N
826,N,second,15,5,D,N
827,N,third,5,12,A,N
828,Y,first,7,15,A,Y
829,Y,third,53,20,A,Y
830,Y,second,57,51,F,N
831,N,third,9,12,A,N
832,N,second,42,49,C,N
833,Y,third,75,92,C,N
834,Y,third,66,62,F,N
835,N,second,64,37,A,N
836,Y,third,41,57,B,N
837,N,third,82,25,D,N
838,Y,second,1,25,D,N
839,Y,first,4,76,C,Y
840,Y,first,48,50,D,Y
841,Y,third,6,13,B,N
842,N,third,18,22,F,Y
843,Y,first,9,7,C,Y
844,N,second,24,50,B,Y
845,Y,first,43,38,B,N
846,Y,second,33,59,C,Y
847,Y,third,46,79,B,N
848,Y,third,4,15,F,N
849,Y,third,34,53,C,N
850,N,second,66,99,D,N
851,Y,first,3,18,D,N
852,Y,second,58,50,A,N
853,N,third,5,1,A,N
854,N,first,78,61,B,N
855,Y,third,25,30,C,Y
856,Y,first,85,72,F,Y
857,N,third,7,8,F,N
858,Y,second,14,6,B,Y
859,Y,third,55,36,C,Y
860,Y,third,93,75,C,N
861,Y,first,92,14,B,N
862,N,second,99,86,D,Y
863,Y,third,36,14,D,Y
864,Y,third,24,53,F,N
865,Y,third,13,82,B,Y
866,Y,second,51,40,A,Y
867,Y,third,94,24,D,N
868,N,third,5,10,F,N
869,N,second,95,43,C,N
870,Y,first,36,39,C,Y
871,Y,first,40,50,F,Y
872,N,third,8,12,F,Y
873,N,first,16,2,F,N
874,N,second,84,96,F,N
875,Y,third,85,79,A,Y
876,Y,second,85,52,C,N
877,Y,third,6,8,A,N
878,Y,first,56,31,B,Y
879,Y,third,6,6,A,N
880,Y,second,73,75,F,N
881,Y,first,55,27,C,Y
882,Y,third,18,43,F,Y
883,N,first,25,85,D,N
884,N,first,20,43,F,N
885,Y,third,67,79,D,Y
886,Y,third,11,39,C,Y
887,Y,third,17,71,B,N
888,N,second,40,30,C,N
889,Y,first,11,17,F,N
890,Y,third,55,68,F,N
891,Y,third,20,59,D,Y
892,N,third,10,11,D,N
893,Y,second,3,12,F,N
894,N,first,33,62,C,N
895,Y,second,10,57,F,Y
896,N,third,8,2,A,N
897,N,second,51,12,C,Y
898,Y,second,93,41,F,N
899,Y,third,94,17,B,N
900,Y,second,93,2,A,Y
901,Y,third,2,16,A,N
902,N,third,5,2,F,N
903,N,first,1,23,D,N
904,N,second,3,4,D,N
905,Y,third,92,17,D,N
906,Y,first,16,16,F,N
907,Y,third,80,66,C,Y
908,Y,third,23,47,D,Y
909,Y,first,59,32,C,Y
910,Y,second,7,43,F,Y
911,Y,second,96,56,F,N
912,N,third,31,93,C,N
913,Y,first,29,5,C,Y
914,Y,first,33,37,D,Y
915,Y,second,77,70,C,N
916,Y,first,69,69,D,N
917,N,third,80,71,A,N
918,N,third,63,59,C,N
919,Y,first,76,71,B,Y
920,N,third,91,84,D,N
921,Y,third,26,26,F,Y
922,N,first,12,22,D,N
923,Y,third,65,15,A,Y
924,Y,first,68,25,A,N
925,N,third,5,15,A,N
926,N,first,55,57,F,N
927,Y,first,8,1,F,Y
928,N,second,69,59,A,N
929,Y,third,21,53,A,N
930,Y,third,59,38,C,Y
931,Y,third,55,47,D,Y
932,Y,second,6,14,B,N
