,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout,passed_checkpoint_1,passed_checkpoint_2,passed_checkpoint_3
147,N,first,3,56,B,51.0,53.0,C,18.0,A,75.0,B,A,C,8,6,5,N,True,True,True
148,N,first,66,94,F,82.0,55.0,F,42.0,D,48.0,D,B,B,15,9,3,N,True,True,True
149,N,first,49,86,F,28.0,7.0,D,22.0,B,27.0,F,A,C,8,4,6,N,True,True,True
150,N,second,1,15,A,8.0,16.0,F,35.0,A,25.0,A,C,C,4,2,1,N,True,True,True
151,Y,first,15,90,B,2.0,9.0,B,37.0,C,,,,,7,2,0,Y,True,True,False
152,Y,third,1,13,F,40.0,28.0,F,28.0,F,,,,,7,4,0,Y,True,True,False
153,N,third,1,7,A,2.0,11.0,C,37.0,B,27.0,A,B,B,4,2,2,N,True,True,True
154,Y,third,27,72,C,64.0,64.0,C,84.0,F,72.0,B,F,A,7,9,5,N,True,True,True
155,N,second,6,3,A,3.0,44.0,C,36.0,A,24.0,B,B,D,4,3,2,N,True,True,True
156,N,second,75,61,A,79.0,71.0,D,79.0,D,76.0,A,D,D,17,10,5,N,True,True,True
157,Y,third,3,2,A,12.0,54.0,D,41.0,D,26.0,A,F,C,0,1,1,N,True,True,True
158,Y,third,11,60,A,50.0,78.0,C,53.0,D,67.0,D,F,B,10,6,2,N,True,True,True
159,N,second,99,44,A,81.0,18.0,D,38.0,D,77.0,C,A,A,17,10,3,N,True,True,True
160,Y,first,11,10,F,,,,,,,,,,2,0,0,Y,False,False,False
161,Y,third,42,71,B,61.0,33.0,B,46.0,D,70.0,C,F,D,13,8,5,N,True,True,True
162,Y,third,3,54,A,17.0,65.0,F,32.0,B,39.0,A,A,C,17,13,2,N,True,True,True
163,N,third,5,10,A,7.0,42.0,B,37.0,B,24.0,A,C,D,3,2,2,N,True,True,True
164,Y,first,15,31,F,54.0,4.0,A,98.0,F,26.0,F,C,F,8,7,1,N,True,True,True
165,Y,first,34,33,B,20.0,63.0,D,31.0,D,28.0,C,D,A,1,21,2,N,True,True,True
166,Y,first,51,42,C,32.0,2.0,F,,,,,,,1,0,0,Y,True,False,False
167,Y,first,48,43,C,43.0,16.0,F,,,,,,,1,1,1,Y,True,False,False
168,N,second,79,49,A,65.0,40.0,A,19.0,D,53.0,C,B,A,12,5,4,N,True,True,True
169,Y,third,18,81,A,59.0,17.0,A,49.0,F,22.0,A,D,A,19,17,6,N,True,True,True
170,N,third,56,23,B,18.0,77.0,B,73.0,F,,,,,10,1,1,Y,True,True,False
171,N,third,4,14,A,1.0,48.0,D,31.0,B,22.0,A,A,D,0,2,2,N,True,True,True
172,N,third,73,68,D,71.0,60.0,A,17.0,A,23.0,A,A,D,6,6,4,N,True,True,True
173,Y,second,45,73,F,34.0,30.0,D,38.0,D,,,,,7,3,1,Y,True,True,False
174,N,third,79,95,D,27.0,62.0,C,87.0,F,,,,,7,2,0,Y,True,True,False
175,N,third,3,12,A,9.0,14.0,F,27.0,D,23.0,A,D,A,3,2,2,N,True,True,True
176,Y,second,50,68,A,95.0,72.0,B,33.0,B,85.0,D,F,A,9,5,5,N,True,True,True
177,Y,second,92,51,B,42.0,34.0,B,67.0,C,52.0,F,B,F,7,10,5,N,True,True,True
178,Y,third,96,0,B,72.0,68.0,A,22.0,B,37.0,A,B,D,8,6,2,N,True,True,True
179,N,third,80,88,F,70.0,37.0,C,70.0,B,98.0,F,A,F,13,6,4,N,True,True,True
180,Y,third,58,56,C,41.0,1.0,F,,,,,,,1,1,1,Y,True,False,False
181,N,first,97,34,A,72.0,4.0,D,78.0,A,30.0,A,B,C,19,11,5,N,True,True,True
182,N,third,2,16,B,12.0,8.0,B,25.0,A,21.0,A,B,C,1,2,1,N,True,True,True
183,Y,second,6,13,B,8.0,43.0,C,45.0,B,20.0,A,C,C,4,2,2,N,True,True,True
184,N,third,5,10,F,13.0,53.0,F,39.0,A,27.0,D,A,B,1,3,1,N,True,True,True
185,Y,first,9,15,F,30.0,38.0,D,57.0,F,49.0,A,F,D,6,13,5,N,True,True,True
186,N,third,61,57,A,45.0,61.0,D,,,,,,,5,3,0,Y,True,False,False
187,Y,third,96,80,F,18.0,48.0,D,81.0,B,63.0,B,A,A,17,9,3,N,True,True,True
188,Y,third,1,45,A,66.0,69.0,C,1.0,A,14.0,D,B,D,14,3,3,Y,True,True,True
189,N,first,11,3,D,31.0,48.0,B,62.0,B,29.0,C,B,B,4,12,8,N,True,True,True
190,N,second,64,32,A,78.0,82.0,C,50.0,B,63.0,C,A,F,9,8,4,N,True,True,True
191,N,second,42,48,D,90.0,53.0,D,98.0,B,90.0,C,B,A,11,19,6,N,True,True,True
192,Y,second,41,59,D,31.0,17.0,F,,,,,,,4,0,1,Y,True,False,False
193,Y,third,1,85,C,22.0,26.0,A,20.0,C,,,,,0,3,0,Y,True,True,False
194,Y,third,19,66,A,14.0,58.0,C,67.0,F,34.0,B,B,A,12,17,5,N,True,True,True
195,Y,first,41,74,C,37.0,40.0,D,4.0,F,14.0,C,D,D,12,3,2,Y,True,True,True
196,N,first,3,15,F,41.0,50.0,B,56.0,A,36.0,B,B,C,15,8,5,N,True,True,True
197,Y,third,61,99,B,40.0,92.0,C,57.0,C,86.0,C,C,A,12,5,1,N,True,True,True
198,N,second,6,8,A,8.0,55.0,A,35.0,A,23.0,A,D,A,2,2,1,N,True,True,True
199,N,second,4,11,D,31.0,52.0,F,97.0,C,61.0,A,B,D,11,3,6,N,True,True,True
200,Y,third,70,66,C,54.0,68.0,D,50.0,F,94.0,A,F,A,14,8,3,N,True,True,True
201,Y,second,12,6,D,,,,,,,,,,2,0,1,Y,False,False,False
202,Y,third,58,39,F,20.0,47.0,C,3.0,D,5.0,B,B,F,8,9,9,N,True,True,True
203,Y,first,27,29,C,,,,,,,,,,3,0,0,Y,False,False,False
204,Y,third,69,98,D,40.0,24.0,A,57.0,F,56.0,A,A,C,5,10,3,N,True,True,True
205,Y,first,28,40,B,45.0,32.0,F,,,,,,,3,0,0,Y,True,False,False
206,N,second,21,71,C,89.0,36.0,D,79.0,D,35.0,F,B,B,5,14,4,N,True,True,True
207,N,third,93,55,A,54.0,99.0,A,71.0,A,60.0,A,B,F,11,4,4,N,True,True,True
208,Y,second,80,18,C,24.0,4.0,C,24.0,C,38.0,F,A,D,13,0,3,Y,True,True,True
209,Y,third,6,14,F,3.0,49.0,B,26.0,F,20.0,A,B,C,4,3,2,N,True,True,True
210,Y,third,20,54,A,94.0,34.0,A,8.0,A,72.0,B,F,B,14,8,4,N,True,True,True
211,N,second,52,52,D,52.0,86.0,F,,,,,,,5,4,1,Y,True,False,False
212,N,first,26,9,F,93.0,65.0,B,50.0,F,63.0,A,B,C,14,3,4,N,True,True,True
213,N,third,23,84,D,21.0,35.0,B,50.0,D,19.0,A,C,D,16,10,5,N,True,True,True
214,Y,third,5,49,A,70.0,5.0,D,19.0,A,3.0,C,D,F,10,5,1,Y,True,True,True
215,Y,first,22,41,F,34.0,16.0,D,,,,,,,3,0,1,Y,True,False,False
216,Y,third,73,98,A,53.0,73.0,A,70.0,C,48.0,A,B,D,6,3,3,N,True,True,True
217,Y,third,59,74,A,99.0,58.0,B,42.0,B,95.0,A,C,A,14,7,2,N,True,True,True
218,N,third,96,46,A,89.0,78.0,D,36.0,B,51.0,F,F,C,17,24,7,N,True,True,True
219,Y,first,42,79,B,53.0,6.0,B,35.0,D,,,,,3,1,1,Y,True,True,False
220,N,third,8,8,A,9.0,24.0,C,31.0,B,23.0,A,A,A,1,1,2,N,True,True,True
221,Y,first,34,45,F,32.0,5.0,D,,,,,,,4,0,0,Y,True,False,False
222,Y,third,99,87,B,72.0,42.0,A,0.0,D,28.0,A,B,C,6,5,3,N,True,True,True
223,Y,first,18,2,D,,,,,,,,,,0,0,1,Y,False,False,False
224,N,third,83,24,C,14.0,52.0,F,93.0,D,3.0,B,C,A,2,22,5,N,True,True,True
225,Y,third,97,38,A,9.0,56.0,F,3.0,B,8.0,C,C,A,19,6,4,N,True,True,True
226,Y,third,5,2,A,1.0,30.0,A,37.0,A,29.0,A,C,C,2,3,1,N,True,True,True
227,Y,third,50,50,A,50.0,66.0,F,76.0,F,57.0,A,C,B,9,5,3,N,True,True,True
228,Y,third,37,53,A,56.0,45.0,C,46.0,C,32.0,F,A,B,3,5,0,Y,True,True,True
229,N,third,21,27,F,,,,,,,,,,1,1,0,Y,False,False,False
230,Y,third,72,60,C,81.0,6.0,F,18.0,A,38.0,C,F,B,5,8,3,N,True,True,True
231,Y,first,2,3,D,29.0,52.0,D,60.0,F,83.0,C,B,C,20,19,8,N,True,True,True
232,Y,third,54,72,A,67.0,75.0,D,38.0,B,53.0,D,C,F,5,3,0,Y,True,True,True
233,N,third,27,68,D,58.0,87.0,D,,,,,,,1,3,1,Y,True,False,False
234,N,third,17,7,D,23.0,34.0,D,69.0,D,48.0,C,B,A,21,12,8,N,True,True,True
235,Y,third,53,69,A,79.0,36.0,A,89.0,A,82.0,A,A,D,13,5,5,N,True,True,True
236,Y,second,94,52,F,57.0,34.0,A,17.0,A,99.0,F,B,D,5,4,2,N,True,True,True
237,Y,third,56,28,B,26.0,1.0,F,,,,,,,1,1,1,Y,True,False,False
238,N,third,5,4,B,11.0,56.0,C,49.0,A,28.0,A,C,C,4,3,1,N,True,True,True
239,Y,second,19,44,A,55.0,31.0,C,72.0,A,33.0,B,C,D,2,5,3,Y,True,True,True
240,N,second,56,34,F,92.0,63.0,A,49.0,B,75.0,D,A,B,3,8,7,N,True,True,True
241,Y,third,19,3,D,52.0,54.0,A,28.0,C,20.0,F,D,D,0,4,1,Y,True,True,True
242,Y,third,7,59,C,79.0,88.0,C,20.0,B,73.0,D,A,F,17,20,6,N,True,True,True
243,N,first,5,11,F,59.0,42.0,D,59.0,F,62.0,C,C,D,19,18,8,N,True,True,True
244,N,third,4,15,A,4.0,17.0,B,34.0,D,28.0,A,A,C,1,1,2,N,True,True,True
245,N,second,77,88,C,19.0,22.0,C,34.0,B,2.0,A,F,D,0,20,1,N,True,True,True
246,Y,third,23,90,C,93.0,37.0,C,40.0,A,57.0,D,D,A,14,10,8,N,True,True,True
247,Y,second,68,20,D,65.0,63.0,C,41.0,F,,,,,4,1,1,Y,True,True,False
248,N,second,5,12,F,43.0,42.0,F,72.0,C,41.0,C,B,B,24,19,6,N,True,True,True
249,Y,second,22,39,F,30.0,0.0,D,,,,,,,2,0,1,Y,True,False,False
250,Y,third,63,74,A,12.0,98.0,B,28.0,F,31.0,A,D,D,3,2,2,Y,True,True,True
251,N,third,41,76,F,94.0,17.0,A,56.0,C,,,,,1,1,2,Y,True,True,False
252,N,third,14,18,D,36.0,54.0,D,50.0,B,57.0,A,B,D,24,9,7,N,True,True,True
253,N,third,9,16,B,11.0,8.0,C,24.0,B,24.0,A,B,C,4,3,1,N,True,True,True
254,Y,first,86,25,A,27.0,43.0,D,18.0,D,23.0,F,F,D,12,7,0,Y,True,True,True
255,Y,third,44,77,F,96.0,47.0,B,53.0,B,83.0,D,F,A,15,9,2,N,True,True,True
256,Y,third,9,10,A,7.0,35.0,D,35.0,A,28.0,A,D,B,4,1,1,N,True,True,True
257,N,second,88,31,B,39.0,42.0,C,71.0,D,,,,,3,0,0,Y,True,True,False
258,Y,third,45,70,A,72.0,41.0,C,67.0,F,58.0,C,F,A,15,8,5,N,True,True,True
259,Y,first,20,41,D,,,,,,,,,,0,0,1,Y,False,False,False
260,Y,third,59,58,A,65.0,77.0,C,32.0,F,48.0,D,A,A,7,4,1,N,True,True,True
261,N,second,0,24,B,,,,,,,,,,3,2,0,Y,False,False,False
262,N,third,4,21,F,,,,,,,,,,1,1,1,Y,False,False,False
263,Y,third,41,73,C,88.0,4.0,F,67.0,C,79.0,C,C,C,6,23,4,N,True,True,True
264,Y,third,68,69,F,65.0,76.0,B,62.0,B,96.0,B,C,B,7,9,4,N,True,True,True
265,N,third,59,75,C,78.0,96.0,F,,,,,,,1,0,1,Y,True,False,False
266,Y,second,58,31,B,68.0,67.0,A,75.0,F,17.0,C,A,C,15,4,3,N,True,True,True
267,Y,third,86,39,D,70.0,38.0,C,19.0,A,27.0,B,F,F,5,2,0,Y,True,True,True
268,Y,second,86,63,A,90.0,63.0,A,86.0,B,74.0,A,F,B,9,4,1,N,True,True,True
269,Y,first,15,4,D,40.0,39.0,C,76.0,B,30.0,A,B,B,21,9,5,N,True,True,True
270,N,first,4,11,D,48.0,48.0,D,97.0,C,52.0,B,A,D,27,12,8,N,True,True,True
271,N,third,62,36,A,58.0,88.0,D,14.0,F,78.0,A,F,D,18,7,3,N,True,True,True
272,Y,third,19,61,F,62.0,74.0,B,49.0,C,54.0,A,F,A,17,9,2,N,True,True,True
273,Y,second,62,69,A,43.0,17.0,A,7.0,F,35.0,C,B,A,5,4,5,N,True,True,True
274,N,third,11,24,D,41.0,52.0,C,89.0,C,85.0,A,C,B,8,9,8,N,True,True,True
